Hemisphere,ROI,Regression Term,Beta,p.value
L,precentral_A,Intercept,5.21,7.54e-13
L,precentral_A,CP>SP,1.04,0.002
L,precentral_A,CP>NR,3.36,4.11e-17
L,antParietal,Intercept,3.2,1.46e-15
L,antParietal,CP>SP,1.2,8.32e-07
L,antParietal,CP>NR,2.61,1.99e-17
L,medialFrontal,Intercept,2.1,2.10e-11
L,medialFrontal,CP>SP,0.48,0.214
L,medialFrontal,CP>NR,1.35,2.65e-08
L,supFrontal,Intercept,3.8,4.61e-18
L,supFrontal,CP>SP,0.78,0.003
L,supFrontal,CP>NR,2.96,7.43e-19
L,postParietal,Intercept,4.83,1.73e-20
L,postParietal,CP>SP,1.87,6.23e-07
L,postParietal,CP>NR,4.21,3.15e-18
L,midFrontal,Intercept,3.39,1.87e-16
L,midFrontal,CP>SP,0.97,0.002
L,midFrontal,CP>NR,2.51,3.50e-13
L,precentral_B,Intercept,5.01,1.85e-15
L,precentral_B,CP>SP,0.97,0.001
L,precentral_B,CP>NR,3.49,5.75e-19
L,midParietal,Intercept,3.95,1.33e-14
L,midParietal,CP>SP,1.29,3.79e-05
L,midParietal,CP>NR,3,1.70e-15
L,insula,Intercept,1.27,1.57e-15
L,insula,CP>SP,0.29,0.158
L,insula,CP>NR,0.67,1.19e-06
L,midFrontalOrb,Intercept,1.95,4.65e-09
L,midFrontalOrb,CP>SP,0.93,0.004
L,midFrontalOrb,CP>NR,1.05,7.50e-04
R,precentral_A,Intercept,3.62,7.23e-13
R,precentral_A,CP>SP,1.25,3.80e-05
R,precentral_A,CP>NR,2.14,6.00e-11
R,antParietal,Intercept,2.15,7.22e-13
R,antParietal,CP>SP,1.11,8.33e-05
R,antParietal,CP>NR,1.64,1.17e-08
R,medialFrontal,Intercept,1.94,5.44e-11
R,medialFrontal,CP>SP,0.59,0.006
R,medialFrontal,CP>NR,1.08,8.99e-08
R,supFrontal,Intercept,3.15,1.00e-16
R,supFrontal,CP>SP,1.04,0.001
R,supFrontal,CP>NR,2.53,6.31e-13
R,postParietal,Intercept,3.91,4.17e-18
R,postParietal,CP>SP,2.03,2.29e-10
R,postParietal,CP>NR,3.55,5.42e-19
R,midFrontal,Intercept,2.58,2.12e-14
R,midFrontal,CP>SP,1.04,7.07e-04
R,midFrontal,CP>NR,1.74,1.36e-08
R,precentral_B,Intercept,3.61,8.71e-14
R,precentral_B,CP>SP,1.23,4.67e-05
R,precentral_B,CP>NR,2.44,8.56e-13
R,midParietal,Intercept,3.04,8.23e-12
R,midParietal,CP>SP,1.33,1.51e-04
R,midParietal,CP>NR,2.16,2.43e-09
R,insula,Intercept,0.99,1.37e-09
R,insula,CP>SP,0.33,0.18
R,insula,CP>NR,0.52,0.002
R,midFrontalOrb,Intercept,1.42,2.81e-05
R,midFrontalOrb,CP>SP,0.86,0.012
R,midFrontalOrb,CP>NR,0.74,0.048
