Hemisphere,ROI,Regression Term,Beta,p.value
L,postParietal,Intercept,3.45,2.76e-14
L,postParietal,CP>SP,2.13,1.88e-06
L,postParietal,CP>NR,2.65,1.33e-08
L,midParietal,Intercept,2.63,9.39e-13
L,midParietal,CP>SP,1.34,1.23e-04
L,midParietal,CP>NR,1.65,2.75e-06
L,antParietal,Intercept,2.42,2.42e-14
L,antParietal,CP>SP,1.3,0.001
L,antParietal,CP>NR,1.42,2.75e-04
L,supFrontal,Intercept,2.02,4.13e-07
L,supFrontal,CP>SP,0.57,1.173
L,supFrontal,CP>NR,1.14,0.007
L,precentral_A,Intercept,3.17,1.43e-07
L,precentral_A,CP>SP,0.85,1.207
L,precentral_A,CP>NR,0.8,1.544
L,precentral_B,Intercept,3.15,2.98e-10
L,precentral_B,CP>SP,1.05,0.031
L,precentral_B,CP>NR,1.33,0.002
L,midFrontal,Intercept,2.61,2.63e-09
L,midFrontal,CP>SP,1.34,0.01
L,midFrontal,CP>NR,1.5,0.003
L,midFrontalOrb,Intercept,1.7,1.23e-05
L,midFrontalOrb,CP>SP,1.18,0.017
L,midFrontalOrb,CP>NR,0.89,0.182
L,insula,Intercept,1.18,3.61e-07
L,insula,CP>SP,0.58,0.161
L,insula,CP>NR,0.12,11.319
L,medialFrontal,Intercept,1.6,9.49e-07
L,medialFrontal,CP>SP,0.67,0.416
L,medialFrontal,CP>NR,0.47,2.048
R,postParietal,Intercept,3.93,2.11e-16
R,postParietal,CP>SP,2.89,6.90e-07
R,postParietal,CP>NR,3.22,6.16e-08
R,midParietal,Intercept,3.35,1.75e-09
R,midParietal,CP>SP,2.17,2.12e-04
R,midParietal,CP>NR,1.83,0.002
R,antParietal,Intercept,2.4,1.43e-15
R,antParietal,CP>SP,1.59,1.67e-05
R,antParietal,CP>NR,1.53,3.58e-05
R,supFrontal,Intercept,2.32,1.95e-10
R,supFrontal,CP>SP,1.24,0.007
R,supFrontal,CP>NR,1.21,0.009
R,precentral_A,Intercept,3.52,8.22e-09
R,precentral_A,CP>SP,2.02,2.26e-06
R,precentral_A,CP>NR,1.27,0.004
R,precentral_B,Intercept,3.32,1.99e-10
R,precentral_B,CP>SP,2.15,1.67e-07
R,precentral_B,CP>NR,1.48,2.21e-04
R,midFrontal,Intercept,2.91,2.76e-11
R,midFrontal,CP>SP,1.77,4.57e-05
R,midFrontal,CP>NR,1.26,0.007
R,midFrontalOrb,Intercept,1.71,3.49e-06
R,midFrontalOrb,CP>SP,1.26,0.006
R,midFrontalOrb,CP>NR,0.34,5.866
R,insula,Intercept,1.19,1.02e-07
R,insula,CP>SP,0.69,0.088
R,insula,CP>NR,0.2,7.779
R,medialFrontal,Intercept,1.57,4.39e-08
R,medialFrontal,CP>SP,0.89,0.064
R,medialFrontal,CP>NR,0.31,5.484
