ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,H, 465,1.839449
1,730_FED_20190306a_3T2_PL2017,E, 465,1.355348
1,741_FED_20190320a_3T2_PL2017,H, 465,1.807585
1,741_FED_20190320a_3T2_PL2017,E, 465,1.524888
1,746_FED_20190328a_3T2_PL2017,H, 465,1.449356
1,746_FED_20190328a_3T2_PL2017,E, 465,1.022945
1,747_FED_20190328b_3T2_PL2017,H, 465,1.425614
1,747_FED_20190328b_3T2_PL2017,E, 465,1.010265
1,748_FED_20190328c_3T2_PL2017,H, 465,2.414727
1,748_FED_20190328c_3T2_PL2017,E, 465,1.779405
1,749_FED_20190404a_3T2_PL2017,H, 465,3.287075
1,749_FED_20190404a_3T2_PL2017,E, 465,2.436570
1,750_FED_20190404b_3T2_PL2017,H, 465,1.923795
1,750_FED_20190404b_3T2_PL2017,E, 465,1.302587
1,751_FED_20190404c_3T2_PL2017,H, 465,3.082526
1,751_FED_20190404c_3T2_PL2017,E, 465,2.613545
1,752_FED_20190404d_3T2_PL2017,H, 465,2.618489
1,752_FED_20190404d_3T2_PL2017,E, 465,1.924973
1,754_FED_20190405b_3T2_PL2017,H, 465,2.930899
1,754_FED_20190405b_3T2_PL2017,E, 465,2.194808
1,755_FED_20190411a_3T2_PL2017,H, 465,1.218421
1,755_FED_20190411a_3T2_PL2017,E, 465,0.905728
1,756_FED_20190411b_3T2_PL2017,H, 465,0.702079
1,756_FED_20190411b_3T2_PL2017,E, 465,0.780387
1,757_FED_20190411c_3T2_PL2017,H, 465,2.002514
1,757_FED_20190411c_3T2_PL2017,E, 465,1.905489
1,773_FED_20190605c_3T2_PL2017,H, 465,2.330263
1,773_FED_20190605c_3T2_PL2017,E, 465,1.971440
1,774_FED_20190605b_3T2_PL2017,H, 465,2.791656
1,774_FED_20190605b_3T2_PL2017,E, 465,1.931537
1,775_FED_20190611a_3T2_PL2017,H, 465,2.568074
1,775_FED_20190611a_3T2_PL2017,E, 465,2.338988
1,776_FED_20190611b_3T2_PL2017,H, 465,2.083104
1,776_FED_20190611b_3T2_PL2017,E, 465,1.040000
1,777_FED_20190611c_3T2_PL2017,H, 465,1.344121
1,777_FED_20190611c_3T2_PL2017,E, 465,0.901235
