ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,crit_CODE, 465,2.387640
1,730_FED_20190306a_3T2_PL2017,crit_VERB, 465,0.776469
1,741_FED_20190320a_3T2_PL2017,crit_CODE, 465,2.244012
1,741_FED_20190320a_3T2_PL2017,crit_VERB, 465,0.084698
1,746_FED_20190328a_3T2_PL2017,crit_CODE, 465,1.693600
1,746_FED_20190328a_3T2_PL2017,crit_VERB, 465,0.501673
1,747_FED_20190328b_3T2_PL2017,crit_CODE, 465,1.772244
1,747_FED_20190328b_3T2_PL2017,crit_VERB, 465,0.094187
1,748_FED_20190328c_3T2_PL2017,crit_CODE, 465,3.309605
1,748_FED_20190328c_3T2_PL2017,crit_VERB, 465,1.285383
1,749_FED_20190404a_3T2_PL2017,crit_CODE, 465,3.866499
1,749_FED_20190404a_3T2_PL2017,crit_VERB, 465,0.507565
1,750_FED_20190404b_3T2_PL2017,crit_CODE, 465,2.908631
1,750_FED_20190404b_3T2_PL2017,crit_VERB, 465,0.464776
1,751_FED_20190404c_3T2_PL2017,crit_CODE, 465,5.626664
1,751_FED_20190404c_3T2_PL2017,crit_VERB, 465,2.065244
1,752_FED_20190404d_3T2_PL2017,crit_CODE, 465,5.051392
1,752_FED_20190404d_3T2_PL2017,crit_VERB, 465,1.763781
1,754_FED_20190405b_3T2_PL2017,crit_CODE, 465,3.047064
1,754_FED_20190405b_3T2_PL2017,crit_VERB, 465,0.363211
1,755_FED_20190411a_3T2_PL2017,crit_CODE, 465,2.151499
1,755_FED_20190411a_3T2_PL2017,crit_VERB, 465,0.408215
1,756_FED_20190411b_3T2_PL2017,crit_CODE, 465,-0.036835
1,756_FED_20190411b_3T2_PL2017,crit_VERB, 465,0.890550
1,757_FED_20190411c_3T2_PL2017,crit_CODE, 465,3.157246
1,757_FED_20190411c_3T2_PL2017,crit_VERB, 465,0.937801
1,773_FED_20190605c_3T2_PL2017,crit_CODE, 465,4.558031
1,773_FED_20190605c_3T2_PL2017,crit_VERB, 465,1.008497
1,774_FED_20190605b_3T2_PL2017,crit_CODE, 465,5.826862
1,774_FED_20190605b_3T2_PL2017,crit_VERB, 465,2.182012
1,775_FED_20190611a_3T2_PL2017,crit_CODE, 465,4.256428
1,775_FED_20190611a_3T2_PL2017,crit_VERB, 465,2.220288
1,776_FED_20190611b_3T2_PL2017,crit_CODE, 465,3.197858
1,776_FED_20190611b_3T2_PL2017,crit_VERB, 465,0.555755
1,777_FED_20190611c_3T2_PL2017,crit_CODE, 465,2.597542
1,777_FED_20190611c_3T2_PL2017,crit_VERB, 465,0.514868
1,778_FED_20190614b_3T2_PL2017,crit_CODE, 465,5.470276
1,778_FED_20190614b_3T2_PL2017,crit_VERB, 465,0.083852
2,730_FED_20190306a_3T2_PL2017,crit_CODE, 482,2.133478
2,730_FED_20190306a_3T2_PL2017,crit_VERB, 482,0.832948
2,741_FED_20190320a_3T2_PL2017,crit_CODE, 482,3.478584
2,741_FED_20190320a_3T2_PL2017,crit_VERB, 482,0.862282
2,746_FED_20190328a_3T2_PL2017,crit_CODE, 482,1.362072
2,746_FED_20190328a_3T2_PL2017,crit_VERB, 482,0.597332
2,747_FED_20190328b_3T2_PL2017,crit_CODE, 482,1.953200
2,747_FED_20190328b_3T2_PL2017,crit_VERB, 482,-0.248646
2,748_FED_20190328c_3T2_PL2017,crit_CODE, 482,3.964152
2,748_FED_20190328c_3T2_PL2017,crit_VERB, 482,0.940720
2,749_FED_20190404a_3T2_PL2017,crit_CODE, 482,4.958406
2,749_FED_20190404a_3T2_PL2017,crit_VERB, 482,0.301442
2,750_FED_20190404b_3T2_PL2017,crit_CODE, 482,3.636760
2,750_FED_20190404b_3T2_PL2017,crit_VERB, 482,0.995895
2,751_FED_20190404c_3T2_PL2017,crit_CODE, 482,2.135274
2,751_FED_20190404c_3T2_PL2017,crit_VERB, 482,-0.659712
2,752_FED_20190404d_3T2_PL2017,crit_CODE, 482,5.375552
2,752_FED_20190404d_3T2_PL2017,crit_VERB, 482,1.927564
2,754_FED_20190405b_3T2_PL2017,crit_CODE, 482,4.600945
2,754_FED_20190405b_3T2_PL2017,crit_VERB, 482,0.869204
2,755_FED_20190411a_3T2_PL2017,crit_CODE, 482,2.943653
2,755_FED_20190411a_3T2_PL2017,crit_VERB, 482,0.913125
2,756_FED_20190411b_3T2_PL2017,crit_CODE, 482,1.134886
2,756_FED_20190411b_3T2_PL2017,crit_VERB, 482,1.064354
2,757_FED_20190411c_3T2_PL2017,crit_CODE, 482,3.120323
2,757_FED_20190411c_3T2_PL2017,crit_VERB, 482,1.207050
2,773_FED_20190605c_3T2_PL2017,crit_CODE, 482,7.159287
