ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,S, 465,1.077539
1,730_FED_20190306a_3T2_PL2017,N, 465,1.429698
1,741_FED_20190320a_3T2_PL2017,S, 465,1.201599
1,741_FED_20190320a_3T2_PL2017,N, 465,1.461765
1,746_FED_20190328a_3T2_PL2017,S, 465,0.083671
1,746_FED_20190328a_3T2_PL2017,N, 465,0.158062
1,747_FED_20190328b_3T2_PL2017,S, 465,0.511926
1,747_FED_20190328b_3T2_PL2017,N, 465,0.519211
1,748_FED_20190328c_3T2_PL2017,S, 465,1.663765
1,748_FED_20190328c_3T2_PL2017,N, 465,1.703173
1,749_FED_20190404a_3T2_PL2017,S, 465,2.309562
1,749_FED_20190404a_3T2_PL2017,N, 465,3.341670
1,750_FED_20190404b_3T2_PL2017,S, 465,1.182939
1,750_FED_20190404b_3T2_PL2017,N, 465,1.339837
1,751_FED_20190404c_3T2_PL2017,S, 465,3.610253
1,751_FED_20190404c_3T2_PL2017,N, 465,4.301457
1,752_FED_20190404d_3T2_PL2017,S, 465,2.106699
1,752_FED_20190404d_3T2_PL2017,N, 465,2.229659
1,754_FED_20190405b_3T2_PL2017,S, 465,1.513153
1,754_FED_20190405b_3T2_PL2017,N, 465,1.620231
1,755_FED_20190411a_3T2_PL2017,S, 465,1.600883
1,755_FED_20190411a_3T2_PL2017,N, 465,1.724103
1,756_FED_20190411b_3T2_PL2017,S, 465,1.060972
1,756_FED_20190411b_3T2_PL2017,N, 465,1.294996
1,757_FED_20190411c_3T2_PL2017,S, 465,2.578387
1,757_FED_20190411c_3T2_PL2017,N, 465,1.944620
1,773_FED_20190605c_3T2_PL2017,S, 465,1.973875
1,773_FED_20190605c_3T2_PL2017,N, 465,2.340587
1,774_FED_20190605b_3T2_PL2017,S, 465,2.390227
1,774_FED_20190605b_3T2_PL2017,N, 465,2.621628
1,775_FED_20190611a_3T2_PL2017,S, 465,1.005736
1,775_FED_20190611a_3T2_PL2017,N, 465,0.777634
1,776_FED_20190611b_3T2_PL2017,S, 465,0.887319
1,776_FED_20190611b_3T2_PL2017,N, 465,0.710195
1,777_FED_20190611c_3T2_PL2017,S, 465,1.238255
1,777_FED_20190611c_3T2_PL2017,N, 465,1.766922
1,778_FED_20190614b_3T2_PL2017,S, 465,1.195093
1,778_FED_20190614b_3T2_PL2017,N, 465,1.586071
2,730_FED_20190306a_3T2_PL2017,S, 482,0.449796
2,730_FED_20190306a_3T2_PL2017,N, 482,0.717600
2,741_FED_20190320a_3T2_PL2017,S, 482,1.455930
2,741_FED_20190320a_3T2_PL2017,N, 482,1.662940
2,746_FED_20190328a_3T2_PL2017,S, 482,0.049429
2,746_FED_20190328a_3T2_PL2017,N, 482,0.169892
2,747_FED_20190328b_3T2_PL2017,S, 482,-0.041821
2,747_FED_20190328b_3T2_PL2017,N, 482,-0.133813
2,748_FED_20190328c_3T2_PL2017,S, 482,0.238571
2,748_FED_20190328c_3T2_PL2017,N, 482,0.104440
2,749_FED_20190404a_3T2_PL2017,S, 482,2.285728
2,749_FED_20190404a_3T2_PL2017,N, 482,3.487596
2,750_FED_20190404b_3T2_PL2017,S, 482,1.234191
2,750_FED_20190404b_3T2_PL2017,N, 482,1.552581
2,751_FED_20190404c_3T2_PL2017,S, 482,1.038180
2,751_FED_20190404c_3T2_PL2017,N, 482,1.476576
2,752_FED_20190404d_3T2_PL2017,S, 482,2.225001
2,752_FED_20190404d_3T2_PL2017,N, 482,2.225076
2,754_FED_20190405b_3T2_PL2017,S, 482,1.276005
2,754_FED_20190405b_3T2_PL2017,N, 482,1.429661
2,755_FED_20190411a_3T2_PL2017,S, 482,1.637778
2,755_FED_20190411a_3T2_PL2017,N, 482,1.899875
2,756_FED_20190411b_3T2_PL2017,S, 482,1.594581
2,756_FED_20190411b_3T2_PL2017,N, 482,1.844498
2,757_FED_20190411c_3T2_PL2017,S, 482,2.521507
2,757_FED_20190411c_3T2_PL2017,N, 482,2.052291
2,773_FED_20190605c_3T2_PL2017,S, 482,0.828650
2,773_FED_20190605c_3T2_PL2017,N, 482,1.272988
2,774_FED_20190605b_3T2_PL2017,S, 482,-0.379960
2,774_FED_20190605b_3T2_PL2017,N, 482,-0.235063
2,775_FED_20190611a_3T2_PL2017,S, 482,-0.411345
2,775_FED_20190611a_3T2_PL2017,N, 482,-0.693234
2,776_FED_20190611b_3T2_PL2017,S, 482,0.191617
2,776_FED_20190611b_3T2_PL2017,N, 482,-0.106625
2,777_FED_20190611c_3T2_PL2017,S, 482,2.487129
2,777_FED_20190611c_3T2_PL2017,N, 482,3.566279
2,778_FED_20190614b_3T2_PL2017,S, 482,2.076522
2,778_FED_20190614b_3T2_PL2017,N, 482,2.658970
3,730_FED_20190306a_3T2_PL2017,S, 306,0.708620
3,730_FED_20190306a_3T2_PL2017,N, 306,1.007412
3,741_FED_20190320a_3T2_PL2017,S, 306,1.701189
3,741_FED_20190320a_3T2_PL2017,N, 306,2.053038
3,746_FED_20190328a_3T2_PL2017,S, 306,-0.294076
3,746_FED_20190328a_3T2_PL2017,N, 306,-0.233198
3,747_FED_20190328b_3T2_PL2017,S, 306,-0.141656
3,747_FED_20190328b_3T2_PL2017,N, 306,-0.245936
3,748_FED_20190328c_3T2_PL2017,S, 306,0.774484
3,748_FED_20190328c_3T2_PL2017,N, 306,0.785886
3,749_FED_20190404a_3T2_PL2017,S, 306,0.789338
3,749_FED_20190404a_3T2_PL2017,N, 306,1.608198
3,750_FED_20190404b_3T2_PL2017,S, 306,0.173100
3,750_FED_20190404b_3T2_PL2017,N, 306,0.184416
3,751_FED_20190404c_3T2_PL2017,S, 306,1.114365
3,751_FED_20190404c_3T2_PL2017,N, 306,1.601477
3,752_FED_20190404d_3T2_PL2017,S, 306,1.984917
3,752_FED_20190404d_3T2_PL2017,N, 306,2.050116
3,754_FED_20190405b_3T2_PL2017,S, 306,-0.001073
3,754_FED_20190405b_3T2_PL2017,N, 306,0.054304
3,755_FED_20190411a_3T2_PL2017,S, 306,1.286560
3,755_FED_20190411a_3T2_PL2017,N, 306,1.372049
3,756_FED_20190411b_3T2_PL2017,S, 306,0.687950
3,756_FED_20190411b_3T2_PL2017,N, 306,0.829458
