ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017_Anya,H, 786,5.818049
1,725_FED_20190215a_3T2_PL2017_Anya,E, 786,3.307560
1,726_FED_20190226a_3T2_PL2017_Anya,H, 786,3.951592
1,726_FED_20190226a_3T2_PL2017_Anya,E, 786,3.250195
1,727_FED_20190226b_3T2_PL2017_Anya,H, 786,4.581490
1,727_FED_20190226b_3T2_PL2017_Anya,E, 786,2.541204
1,728_FED_20190226c_3T2_PL2017_Anya,H, 786,3.294052
1,728_FED_20190226c_3T2_PL2017_Anya,E, 786,1.846354
1,729_FED_20190226d_3T2_PL2017_Anya,H, 786,7.615503
1,729_FED_20190226d_3T2_PL2017_Anya,E, 786,4.995660
1,731_FED_20190306b_3T2_PL2017,H, 786,4.856948
1,731_FED_20190306b_3T2_PL2017,E, 786,2.347613
1,732_FED_20190307_3T2_PL2017,H, 786,3.839925
1,732_FED_20190307_3T2_PL2017,E, 786,3.130111
1,733_FED_20190307b_3T2_PL2017,H, 786,7.150848
1,733_FED_20190307b_3T2_PL2017,E, 786,4.811458
1,734_FED_20190313a_3T2_PL2017,H, 786,3.760396
1,734_FED_20190313a_3T2_PL2017,E, 786,3.186827
1,735_FED_20190314a_3T2_PL2017,H, 786,5.287486
1,735_FED_20190314a_3T2_PL2017,E, 786,3.810962
1,736_FED_20190314b_3T2_PL2017,H, 786,9.737197
1,736_FED_20190314b_3T2_PL2017,E, 786,5.394882
1,737_FED_20190314c_3T2_PL2017,H, 786,9.651762
1,737_FED_20190314c_3T2_PL2017,E, 786,6.774621
1,738_FED_20190319a_3T2_PL2017,H, 786,4.325421
1,738_FED_20190319a_3T2_PL2017,E, 786,2.648146
1,739_FED_20190319b_3T2_PL2017,H, 786,3.617241
1,739_FED_20190319b_3T2_PL2017,E, 786,2.920885
1,740_FED_20190319c_3T2_PL2017,H, 786,6.114009
1,740_FED_20190319c_3T2_PL2017,E, 786,4.406318
1,743_FED_20190320c_3T2_PL2017,H, 786,4.260166
1,743_FED_20190320c_3T2_PL2017,E, 786,3.440089
1,744_FED_20190320d_3T2_PL2017,H, 786,3.867223
1,744_FED_20190320d_3T2_PL2017,E, 786,3.079698
1,745_FED_20190321a_3T2_PL2017,H, 786,6.810754
1,745_FED_20190321a_3T2_PL2017,E, 786,5.432811
1,759_FED_20190415a_3T2_PL2017,H, 786,4.140087
1,759_FED_20190415a_3T2_PL2017,E, 786,3.094299
1,760_FED_20190415b_3T2_PL2017,H, 786,4.494192
1,760_FED_20190415b_3T2_PL2017,E, 786,3.216490
1,761_FED_20190416a_3T2_PL2017,H, 786,7.491133
1,761_FED_20190416a_3T2_PL2017,E, 786,5.374558
1,762_FED_20190416b_3T2_PL2017,H, 786,5.270269
1,762_FED_20190416b_3T2_PL2017,E, 786,3.440151
1,763_FED_20190416c_3T2_PL2017,H, 786,6.079570
1,763_FED_20190416c_3T2_PL2017,E, 786,4.042409
1,764_FED_20190416d_3T2_PL2017,H, 786,7.054204
1,764_FED_20190416d_3T2_PL2017,E, 786,5.679356
1,766_FED_20190418a_3T2_PL2017,H, 786,2.681463
1,766_FED_20190418a_3T2_PL2017,E, 786,1.911676
2,725_FED_20190215a_3T2_PL2017_Anya,H, 738,4.040563
2,725_FED_20190215a_3T2_PL2017_Anya,E, 738,2.530554
2,726_FED_20190226a_3T2_PL2017_Anya,H, 738,5.443073
2,726_FED_20190226a_3T2_PL2017_Anya,E, 738,4.731882
2,727_FED_20190226b_3T2_PL2017_Anya,H, 738,4.846136
2,727_FED_20190226b_3T2_PL2017_Anya,E, 738,2.990135
2,728_FED_20190226c_3T2_PL2017_Anya,H, 738,1.403268
2,728_FED_20190226c_3T2_PL2017_Anya,E, 738,0.926011
2,729_FED_20190226d_3T2_PL2017_Anya,H, 738,8.916766
2,729_FED_20190226d_3T2_PL2017_Anya,E, 738,6.447875
2,731_FED_20190306b_3T2_PL2017,H, 738,4.500164
2,731_FED_20190306b_3T2_PL2017,E, 738,2.513999
2,732_FED_20190307_3T2_PL2017,H, 738,3.347271
2,732_FED_20190307_3T2_PL2017,E, 738,2.783736
2,733_FED_20190307b_3T2_PL2017,H, 738,4.972113
2,733_FED_20190307b_3T2_PL2017,E, 738,3.120078
2,734_FED_20190313a_3T2_PL2017,H, 738,4.329118
2,734_FED_20190313a_3T2_PL2017,E, 738,3.731900
2,735_FED_20190314a_3T2_PL2017,H, 738,4.927684
2,735_FED_20190314a_3T2_PL2017,E, 738,3.355991
2,736_FED_20190314b_3T2_PL2017,H, 738,9.063293
2,736_FED_20190314b_3T2_PL2017,E, 738,4.667133
2,737_FED_20190314c_3T2_PL2017,H, 738,8.716754
2,737_FED_20190314c_3T2_PL2017,E, 738,6.147941
2,738_FED_20190319a_3T2_PL2017,H, 738,4.144547
2,738_FED_20190319a_3T2_PL2017,E, 738,2.715840
2,739_FED_20190319b_3T2_PL2017,H, 738,4.803841
2,739_FED_20190319b_3T2_PL2017,E, 738,4.096287
2,740_FED_20190319c_3T2_PL2017,H, 738,4.793874
2,740_FED_20190319c_3T2_PL2017,E, 738,3.379187
2,743_FED_20190320c_3T2_PL2017,H, 738,2.849768
2,743_FED_20190320c_3T2_PL2017,E, 738,2.355097
2,744_FED_20190320d_3T2_PL2017,H, 738,4.674110
2,744_FED_20190320d_3T2_PL2017,E, 738,4.089045
2,745_FED_20190321a_3T2_PL2017,H, 738,4.413261
2,745_FED_20190321a_3T2_PL2017,E, 738,3.338717
2,759_FED_20190415a_3T2_PL2017,H, 738,4.399903
2,759_FED_20190415a_3T2_PL2017,E, 738,3.617559
2,760_FED_20190415b_3T2_PL2017,H, 738,4.568667
2,760_FED_20190415b_3T2_PL2017,E, 738,3.432713
2,761_FED_20190416a_3T2_PL2017,H, 738,7.356493
2,761_FED_20190416a_3T2_PL2017,E, 738,5.671685
2,762_FED_20190416b_3T2_PL2017,H, 738,4.671210
2,762_FED_20190416b_3T2_PL2017,E, 738,3.493818
2,763_FED_20190416c_3T2_PL2017,H, 738,5.139689
2,763_FED_20190416c_3T2_PL2017,E, 738,3.430443
2,764_FED_20190416d_3T2_PL2017,H, 738,6.097612
2,764_FED_20190416d_3T2_PL2017,E, 738,5.078033
2,766_FED_20190418a_3T2_PL2017,H, 738,2.608544
2,766_FED_20190418a_3T2_PL2017,E, 738,1.931614
3,725_FED_20190215a_3T2_PL2017_Anya,H, 176,3.653948
3,725_FED_20190215a_3T2_PL2017_Anya,E, 176,2.366036
3,726_FED_20190226a_3T2_PL2017_Anya,H, 176,3.605793
3,726_FED_20190226a_3T2_PL2017_Anya,E, 176,2.927519
3,727_FED_20190226b_3T2_PL2017_Anya,H, 176,5.678898
3,727_FED_20190226b_3T2_PL2017_Anya,E, 176,3.755561
3,728_FED_20190226c_3T2_PL2017_Anya,H, 176,2.509865
3,728_FED_20190226c_3T2_PL2017_Anya,E, 176,2.059247
3,729_FED_20190226d_3T2_PL2017_Anya,H, 176,5.084855
3,729_FED_20190226d_3T2_PL2017_Anya,E, 176,3.556046
3,731_FED_20190306b_3T2_PL2017,H, 176,3.273437
3,731_FED_20190306b_3T2_PL2017,E, 176,1.866189
3,732_FED_20190307_3T2_PL2017,H, 176,2.879516
3,732_FED_20190307_3T2_PL2017,E, 176,2.521477
3,733_FED_20190307b_3T2_PL2017,H, 176,7.498341
3,733_FED_20190307b_3T2_PL2017,E, 176,5.319669
3,734_FED_20190313a_3T2_PL2017,H, 176,2.834363
3,734_FED_20190313a_3T2_PL2017,E, 176,2.397070
3,735_FED_20190314a_3T2_PL2017,H, 176,3.889867
3,735_FED_20190314a_3T2_PL2017,E, 176,2.752674
3,736_FED_20190314b_3T2_PL2017,H, 176,5.513519
3,736_FED_20190314b_3T2_PL2017,E, 176,2.464154
3,737_FED_20190314c_3T2_PL2017,H, 176,6.733749
3,737_FED_20190314c_3T2_PL2017,E, 176,5.080157
3,738_FED_20190319a_3T2_PL2017,H, 176,2.054108
