ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017_Anya,en, 786,1.327010
1,725_FED_20190215a_3T2_PL2017_Anya,jap, 786,1.318296
1,725_FED_20190215a_3T2_PL2017_Anya,sent, 786,0.823116
1,726_FED_20190226a_3T2_PL2017_Anya,en, 786,0.756447
1,726_FED_20190226a_3T2_PL2017_Anya,jap, 786,0.805506
1,726_FED_20190226a_3T2_PL2017_Anya,sent, 786,0.427812
1,727_FED_20190226b_3T2_PL2017_Anya,en, 786,0.184465
1,727_FED_20190226b_3T2_PL2017_Anya,jap, 786,0.360809
1,727_FED_20190226b_3T2_PL2017_Anya,sent, 786,0.019655
1,728_FED_20190226c_3T2_PL2017_Anya,en, 786,0.399789
1,728_FED_20190226c_3T2_PL2017_Anya,jap, 786,0.450274
1,728_FED_20190226c_3T2_PL2017_Anya,sent, 786,-0.148185
1,729_FED_20190226d_3T2_PL2017_Anya,en, 786,1.498826
1,729_FED_20190226d_3T2_PL2017_Anya,jap, 786,1.455956
1,729_FED_20190226d_3T2_PL2017_Anya,sent, 786,0.736549
1,731_FED_20190306b_3T2_PL2017,en, 786,1.090555
1,731_FED_20190306b_3T2_PL2017,jap, 786,1.069573
1,731_FED_20190306b_3T2_PL2017,sent, 786,0.256945
1,732_FED_20190307_3T2_PL2017,en, 786,1.073935
1,732_FED_20190307_3T2_PL2017,jap, 786,1.245774
1,732_FED_20190307_3T2_PL2017,sent, 786,0.545478
1,733_FED_20190307b_3T2_PL2017,en, 786,1.330824
1,733_FED_20190307b_3T2_PL2017,jap, 786,1.409143
1,733_FED_20190307b_3T2_PL2017,sent, 786,0.620191
1,734_FED_20190313a_3T2_PL2017,en, 786,1.061549
1,734_FED_20190313a_3T2_PL2017,jap, 786,1.210226
1,734_FED_20190313a_3T2_PL2017,sent, 786,0.526283
1,735_FED_20190314a_3T2_PL2017,en, 786,1.044394
1,735_FED_20190314a_3T2_PL2017,jap, 786,1.020325
1,735_FED_20190314a_3T2_PL2017,sent, 786,0.536689
1,736_FED_20190314b_3T2_PL2017,en, 786,2.280273
1,736_FED_20190314b_3T2_PL2017,jap, 786,2.019595
1,736_FED_20190314b_3T2_PL2017,sent, 786,0.795835
