ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017,H, 14,0.044391
1,725_FED_20190215a_3T2_PL2017,E, 14,-0.121534
1,726_FED_20190226a_3T2_PL2017,H, 14,2.563566
1,726_FED_20190226a_3T2_PL2017,E, 14,2.005847
1,727_FED_20190226b_3T2_PL2017,H, 14,3.397365
1,727_FED_20190226b_3T2_PL2017,E, 14,1.721487
1,728_FED_20190226c_3T2_PL2017,H, 14,1.315829
1,728_FED_20190226c_3T2_PL2017,E, 14,0.355766
1,729_FED_20190226d_3T2_PL2017,H, 14,2.438952
1,729_FED_20190226d_3T2_PL2017,E, 14,1.548895
1,731_FED_20190306b_3T2_PL2017,H, 14,1.144843
1,731_FED_20190306b_3T2_PL2017,E, 14,0.576394
1,732_FED_20190307_3T2_PL2017,H, 14,0.041808
1,732_FED_20190307_3T2_PL2017,E, 14,0.102785
1,733_FED_20190307b_3T2_PL2017,H, 14,5.742730
1,733_FED_20190307b_3T2_PL2017,E, 14,3.268258
1,734_FED_20190313a_3T2_PL2017,H, 14,2.104029
1,734_FED_20190313a_3T2_PL2017,E, 14,1.699201
1,735_FED_20190314a_3T2_PL2017,H, 14,3.316942
1,735_FED_20190314a_3T2_PL2017,E, 14,2.239096
1,736_FED_20190314b_3T2_PL2017,H, 14,2.085189
1,736_FED_20190314b_3T2_PL2017,E, 14,-0.096798
1,737_FED_20190314c_3T2_PL2017,H, 14,0.143521
1,737_FED_20190314c_3T2_PL2017,E, 14,-0.029949
1,738_FED_20190319a_3T2_PL2017,H, 14,-0.123482
1,738_FED_20190319a_3T2_PL2017,E, 14,-0.097587
1,739_FED_20190319b_3T2_PL2017,H, 14,-0.126801
1,739_FED_20190319b_3T2_PL2017,E, 14,-0.269013
1,740_FED_20190319c_3T2_PL2017,H, 14,0.650666
1,740_FED_20190319c_3T2_PL2017,E, 14,0.510683
1,743_FED_20190320c_3T2_PL2017,H, 14,0.931728
1,743_FED_20190320c_3T2_PL2017,E, 14,0.386665
1,744_FED_20190320d_3T2_PL2017,H, 14,0.098216
1,744_FED_20190320d_3T2_PL2017,E, 14,0.132975
1,745_FED_20190321a_3T2_PL2017,H, 14,-0.869284
1,745_FED_20190321a_3T2_PL2017,E, 14,-0.580180
1,759_FED_20190415a_3T2_PL2017,H, 14,0.834309
1,759_FED_20190415a_3T2_PL2017,E, 14,0.640147
1,760_FED_20190415b_3T2_PL2017,H, 14,0.585444
