ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017,en, 10,0.407966
1,725_FED_20190215a_3T2_PL2017,jap, 10,0.460256
1,725_FED_20190215a_3T2_PL2017,sent, 10,0.347431
1,726_FED_20190226a_3T2_PL2017,en, 9,0.631280
1,726_FED_20190226a_3T2_PL2017,jap, 9,0.773473
1,726_FED_20190226a_3T2_PL2017,sent, 9,0.447724
1,727_FED_20190226b_3T2_PL2017,en, 6,0.247534
1,727_FED_20190226b_3T2_PL2017,jap, 6,0.263049
1,727_FED_20190226b_3T2_PL2017,sent, 6,0.203522
1,728_FED_20190226c_3T2_PL2017,en, 14,0.562707
1,728_FED_20190226c_3T2_PL2017,jap, 14,0.621712
1,728_FED_20190226c_3T2_PL2017,sent, 14,-0.194052
1,729_FED_20190226d_3T2_PL2017,en, 8,0.976855
1,729_FED_20190226d_3T2_PL2017,jap, 8,0.882397
1,729_FED_20190226d_3T2_PL2017,sent, 8,0.306652
1,731_FED_20190306b_3T2_PL2017,en, 4,0.053380
1,731_FED_20190306b_3T2_PL2017,jap, 4,0.030412
1,731_FED_20190306b_3T2_PL2017,sent, 4,-0.247764
1,732_FED_20190307_3T2_PL2017,en, 10,-0.227741
1,732_FED_20190307_3T2_PL2017,jap, 10,0.058061
1,732_FED_20190307_3T2_PL2017,sent, 10,-0.446496
1,733_FED_20190307b_3T2_PL2017,en, 9,1.034697
1,733_FED_20190307b_3T2_PL2017,jap, 9,1.249687
1,733_FED_20190307b_3T2_PL2017,sent, 9,0.363453
1,734_FED_20190313a_3T2_PL2017,en, 4,0.542927
1,734_FED_20190313a_3T2_PL2017,jap, 4,0.597251
1,734_FED_20190313a_3T2_PL2017,sent, 4,0.144153
1,735_FED_20190314a_3T2_PL2017,en, 9,0.607755
1,735_FED_20190314a_3T2_PL2017,jap, 9,0.615526
1,735_FED_20190314a_3T2_PL2017,sent, 9,0.299511
1,736_FED_20190314b_3T2_PL2017,en, 7,1.175026
1,736_FED_20190314b_3T2_PL2017,jap, 7,0.626018
1,736_FED_20190314b_3T2_PL2017,sent, 7,0.239856
1,737_FED_20190314c_3T2_PL2017,en, 14,0.132427
1,737_FED_20190314c_3T2_PL2017,jap, 14,0.174639
1,737_FED_20190314c_3T2_PL2017,sent, 14,-0.274596
1,738_FED_20190319a_3T2_PL2017,en, 12,0.166472
1,738_FED_20190319a_3T2_PL2017,jap, 12,0.175172
1,738_FED_20190319a_3T2_PL2017,sent, 12,-0.088754
1,739_FED_20190319b_3T2_PL2017,en, 12,-0.011929
1,739_FED_20190319b_3T2_PL2017,jap, 12,-0.016635
1,739_FED_20190319b_3T2_PL2017,sent, 12,-0.139179
1,740_FED_20190319c_3T2_PL2017,en, 11,0.233870
1,740_FED_20190319c_3T2_PL2017,jap, 11,0.207034
1,740_FED_20190319c_3T2_PL2017,sent, 11,-0.187473
1,743_FED_20190320c_3T2_PL2017,en, 12,0.625391
1,743_FED_20190320c_3T2_PL2017,jap, 12,0.704158
1,743_FED_20190320c_3T2_PL2017,sent, 12,-0.175153
1,744_FED_20190320d_3T2_PL2017,en, 14,0.085158
1,744_FED_20190320d_3T2_PL2017,jap, 14,0.159457
1,744_FED_20190320d_3T2_PL2017,sent, 14,-0.236187
1,745_FED_20190321a_3T2_PL2017,en, 11,0.695564
1,745_FED_20190321a_3T2_PL2017,jap, 11,0.683883
1,745_FED_20190321a_3T2_PL2017,sent, 11,0.224880
1,759_FED_20190415a_3T2_PL2017,en, 13,0.525140
1,759_FED_20190415a_3T2_PL2017,jap, 13,0.563919
1,759_FED_20190415a_3T2_PL2017,sent, 13,-0.049530
1,760_FED_20190415b_3T2_PL2017,en, 9,0.181956
1,760_FED_20190415b_3T2_PL2017,jap, 9,0.118949
1,760_FED_20190415b_3T2_PL2017,sent, 9,0.114292
1,761_FED_20190416a_3T2_PL2017,en, 10,0.243951
1,761_FED_20190416a_3T2_PL2017,jap, 10,0.309774
1,761_FED_20190416a_3T2_PL2017,sent, 10,0.148907
1,762_FED_20190416b_3T2_PL2017,en, 11,-0.246223
1,762_FED_20190416b_3T2_PL2017,jap, 11,-0.159126
1,762_FED_20190416b_3T2_PL2017,sent, 11,-0.333566
1,763_FED_20190416c_3T2_PL2017,en, 7,0.119080
1,763_FED_20190416c_3T2_PL2017,jap, 7,0.228834
1,763_FED_20190416c_3T2_PL2017,sent, 7,0.078067
1,764_FED_20190416d_3T2_PL2017,en, 10,-0.481453
1,764_FED_20190416d_3T2_PL2017,jap, 10,-0.382557
1,764_FED_20190416d_3T2_PL2017,sent, 10,-0.596801
1,766_FED_20190418a_3T2_PL2017,en, 9,0.428196
1,766_FED_20190418a_3T2_PL2017,jap, 9,0.405617
1,766_FED_20190418a_3T2_PL2017,sent, 9,0.037807
2,725_FED_20190215a_3T2_PL2017,en, 18,0.507860
2,725_FED_20190215a_3T2_PL2017,jap, 18,0.649680
2,725_FED_20190215a_3T2_PL2017,sent, 18,-0.037474
2,726_FED_20190226a_3T2_PL2017,en, 15,1.189372
2,726_FED_20190226a_3T2_PL2017,jap, 15,1.211997
2,726_FED_20190226a_3T2_PL2017,sent, 15,0.629246
2,727_FED_20190226b_3T2_PL2017,en, 13,-0.403153
