ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017,S, 10,-0.316082
1,725_FED_20190215a_3T2_PL2017,N, 10,-0.519503
1,726_FED_20190226a_3T2_PL2017,S, 9,0.342827
1,726_FED_20190226a_3T2_PL2017,N, 9,0.002518
1,727_FED_20190226b_3T2_PL2017,S, 6,0.008679
1,727_FED_20190226b_3T2_PL2017,N, 6,-0.336378
1,728_FED_20190226c_3T2_PL2017,S, 14,-0.798342
1,728_FED_20190226c_3T2_PL2017,N, 14,0.119861
1,729_FED_20190226d_3T2_PL2017,S, 8,0.955227
1,729_FED_20190226d_3T2_PL2017,N, 8,0.638772
1,731_FED_20190306b_3T2_PL2017,S, 4,0.281254
1,731_FED_20190306b_3T2_PL2017,N, 4,0.130366
1,732_FED_20190307_3T2_PL2017,S, 10,-0.557662
1,732_FED_20190307_3T2_PL2017,N, 10,-0.224933
1,733_FED_20190307b_3T2_PL2017,S, 8,-1.793971
1,733_FED_20190307b_3T2_PL2017,N, 8,-1.017966
1,734_FED_20190313a_3T2_PL2017,S, 5,-0.915752
1,734_FED_20190313a_3T2_PL2017,N, 5,-0.536262
1,735_FED_20190314a_3T2_PL2017,S, 9,-0.504614
1,735_FED_20190314a_3T2_PL2017,N, 9,-0.317089
1,736_FED_20190314b_3T2_PL2017,S, 7,-1.246195
1,736_FED_20190314b_3T2_PL2017,N, 7,-0.004603
1,737_FED_20190314c_3T2_PL2017,S, 14,-0.810129
1,737_FED_20190314c_3T2_PL2017,N, 14,-0.228100
1,738_FED_20190319a_3T2_PL2017,S, 12,0.183449
1,738_FED_20190319a_3T2_PL2017,N, 12,0.106531
1,739_FED_20190319b_3T2_PL2017,S, 12,0.770899
1,739_FED_20190319b_3T2_PL2017,N, 12,0.499712
1,740_FED_20190319c_3T2_PL2017,S, 11,-0.314623
1,740_FED_20190319c_3T2_PL2017,N, 11,-0.152292
1,743_FED_20190320c_3T2_PL2017,S, 12,-1.601313
1,743_FED_20190320c_3T2_PL2017,N, 12,-0.956719
1,744_FED_20190320d_3T2_PL2017,S, 14,-1.006707
1,744_FED_20190320d_3T2_PL2017,N, 14,-0.774730
1,745_FED_20190321a_3T2_PL2017,S, 11,0.013035
1,745_FED_20190321a_3T2_PL2017,N, 11,0.594361
1,759_FED_20190415a_3T2_PL2017,S, 13,-0.836923
1,759_FED_20190415a_3T2_PL2017,N, 13,-0.056928
1,760_FED_20190415b_3T2_PL2017,S, 9,-0.476083
1,760_FED_20190415b_3T2_PL2017,N, 9,-0.289362
1,761_FED_20190416a_3T2_PL2017,S, 10,0.206677
1,761_FED_20190416a_3T2_PL2017,N, 10,0.178511
1,762_FED_20190416b_3T2_PL2017,S, 10,-0.115507
1,762_FED_20190416b_3T2_PL2017,N, 10,0.153446
1,763_FED_20190416c_3T2_PL2017,S, 5,-0.106468
1,763_FED_20190416c_3T2_PL2017,N, 5,-0.514623
1,764_FED_20190416d_3T2_PL2017,S, 9,0.059757
1,764_FED_20190416d_3T2_PL2017,N, 9,0.430040
1,766_FED_20190418a_3T2_PL2017,S, 9,-0.354472
1,766_FED_20190418a_3T2_PL2017,N, 9,-0.311065
2,725_FED_20190215a_3T2_PL2017,S, 18,-3.259671
2,725_FED_20190215a_3T2_PL2017,N, 18,-1.125130
2,726_FED_20190226a_3T2_PL2017,S, 15,-0.811508
2,726_FED_20190226a_3T2_PL2017,N, 15,-1.294542
2,727_FED_20190226b_3T2_PL2017,S, 12,-0.629309
2,727_FED_20190226b_3T2_PL2017,N, 12,-0.350520
2,728_FED_20190226c_3T2_PL2017,S, 18,-1.368807
2,728_FED_20190226c_3T2_PL2017,N, 18,-0.801526
2,729_FED_20190226d_3T2_PL2017,S, 8,-0.408892
2,729_FED_20190226d_3T2_PL2017,N, 8,-0.343987
2,731_FED_20190306b_3T2_PL2017,S, 14,-0.647517
2,731_FED_20190306b_3T2_PL2017,N, 14,-0.676979
2,732_FED_20190307_3T2_PL2017,S, 16,-0.626135
2,732_FED_20190307_3T2_PL2017,N, 16,-0.570025
2,733_FED_20190307b_3T2_PL2017,S, 11,-1.057515
2,733_FED_20190307b_3T2_PL2017,N, 11,-0.575574
2,734_FED_20190313a_3T2_PL2017,S, 17,-1.595099
2,734_FED_20190313a_3T2_PL2017,N, 17,-1.111655
2,735_FED_20190314a_3T2_PL2017,S, 12,-0.589352
2,735_FED_20190314a_3T2_PL2017,N, 12,-0.007538
2,736_FED_20190314b_3T2_PL2017,S, 12,-0.475072
2,736_FED_20190314b_3T2_PL2017,N, 12,1.051045
2,737_FED_20190314c_3T2_PL2017,S, 7,-1.185997
2,737_FED_20190314c_3T2_PL2017,N, 7,-0.037553
2,738_FED_20190319a_3T2_PL2017,S, 5,0.149354
2,738_FED_20190319a_3T2_PL2017,N, 5,0.135545
2,739_FED_20190319b_3T2_PL2017,S, 17,-0.245940
2,739_FED_20190319b_3T2_PL2017,N, 17,-0.237438
2,740_FED_20190319c_3T2_PL2017,S, 14,-0.519987
2,740_FED_20190319c_3T2_PL2017,N, 14,-0.354053
2,743_FED_20190320c_3T2_PL2017,S, 18,-1.307222
2,743_FED_20190320c_3T2_PL2017,N, 18,-0.391154
2,744_FED_20190320d_3T2_PL2017,S, 14,-0.637503
2,744_FED_20190320d_3T2_PL2017,N, 14,-0.065472
2,745_FED_20190321a_3T2_PL2017,S, 16,-0.250782
2,745_FED_20190321a_3T2_PL2017,N, 16,0.164525
2,759_FED_20190415a_3T2_PL2017,S, 11,-1.058123
2,759_FED_20190415a_3T2_PL2017,N, 11,-0.445984
2,760_FED_20190415b_3T2_PL2017,S, 12,-0.477313
2,760_FED_20190415b_3T2_PL2017,N, 12,-0.269205
2,761_FED_20190416a_3T2_PL2017,S, 7,-0.909814
2,761_FED_20190416a_3T2_PL2017,N, 7,-0.105011
2,762_FED_20190416b_3T2_PL2017,S, 12,-0.933038
2,762_FED_20190416b_3T2_PL2017,N, 12,0.174197
2,763_FED_20190416c_3T2_PL2017,S, 18,-1.244606
2,763_FED_20190416c_3T2_PL2017,N, 18,-0.935494
2,764_FED_20190416d_3T2_PL2017,S, 14,-0.620454
2,764_FED_20190416d_3T2_PL2017,N, 14,0.065546
2,766_FED_20190418a_3T2_PL2017,S, 9,-0.771559
2,766_FED_20190418a_3T2_PL2017,N, 9,-0.426313
3,725_FED_20190215a_3T2_PL2017,S, 10,-2.135860
3,725_FED_20190215a_3T2_PL2017,N, 10,-0.845997
3,726_FED_20190226a_3T2_PL2017,S, 11,-1.109117
3,726_FED_20190226a_3T2_PL2017,N, 11,-1.766292
3,727_FED_20190226b_3T2_PL2017,S, 10,-0.949732
3,727_FED_20190226b_3T2_PL2017,N, 10,-0.605759
3,728_FED_20190226c_3T2_PL2017,S, 13,-1.036643
3,728_FED_20190226c_3T2_PL2017,N, 13,-0.630853
3,729_FED_20190226d_3T2_PL2017,S, 10,-0.906816
3,729_FED_20190226d_3T2_PL2017,N, 10,-0.556387
3,731_FED_20190306b_3T2_PL2017,S, 8,-0.431285
3,731_FED_20190306b_3T2_PL2017,N, 8,-0.705723
3,732_FED_20190307_3T2_PL2017,S, 6,-0.243014
3,732_FED_20190307_3T2_PL2017,N, 6,-0.502305
3,733_FED_20190307b_3T2_PL2017,S, 6,-1.795003
3,733_FED_20190307b_3T2_PL2017,N, 6,-1.951947
3,734_FED_20190313a_3T2_PL2017,S, 12,-1.627544
3,734_FED_20190313a_3T2_PL2017,N, 12,-0.794766
3,735_FED_20190314a_3T2_PL2017,S, 4,-1.041866
3,735_FED_20190314a_3T2_PL2017,N, 4,-0.353427
3,736_FED_20190314b_3T2_PL2017,S, 4,-0.132554
3,736_FED_20190314b_3T2_PL2017,N, 4,0.954583
3,737_FED_20190314c_3T2_PL2017,S, 11,-1.853250
3,737_FED_20190314c_3T2_PL2017,N, 11,0.137154
3,738_FED_20190319a_3T2_PL2017,S, 10,0.340529
3,738_FED_20190319a_3T2_PL2017,N, 10,0.179189
3,739_FED_20190319b_3T2_PL2017,S, 12,-0.213030
3,739_FED_20190319b_3T2_PL2017,N, 12,-0.076013
3,740_FED_20190319c_3T2_PL2017,S, 8,-0.334105
3,740_FED_20190319c_3T2_PL2017,N, 8,-0.345787
3,743_FED_20190320c_3T2_PL2017,S, 13,-0.568223
3,743_FED_20190320c_3T2_PL2017,N, 13,0.211082
3,744_FED_20190320d_3T2_PL2017,S, 5,-0.275127
3,744_FED_20190320d_3T2_PL2017,N, 5,-0.239512
3,745_FED_20190321a_3T2_PL2017,S, 13,0.047564
3,745_FED_20190321a_3T2_PL2017,N, 13,0.726680
3,759_FED_20190415a_3T2_PL2017,S, 9,-0.942831
3,759_FED_20190415a_3T2_PL2017,N, 9,-0.464639
3,760_FED_20190415b_3T2_PL2017,S, 12,-0.873709
3,760_FED_20190415b_3T2_PL2017,N, 12,-0.205009
