ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017_Anya,S, 786,-0.018437
1,725_FED_20190215a_3T2_PL2017_Anya,N, 786,0.316126
1,726_FED_20190226a_3T2_PL2017_Anya,S, 786,0.029530
1,726_FED_20190226a_3T2_PL2017_Anya,N, 786,-0.145567
1,727_FED_20190226b_3T2_PL2017_Anya,S, 786,-0.086213
1,727_FED_20190226b_3T2_PL2017_Anya,N, 786,-0.036724
1,728_FED_20190226c_3T2_PL2017_Anya,S, 786,-0.625004
1,728_FED_20190226c_3T2_PL2017_Anya,N, 786,-0.111451
1,729_FED_20190226d_3T2_PL2017_Anya,S, 786,-0.177192
1,729_FED_20190226d_3T2_PL2017_Anya,N, 786,-0.045735
1,731_FED_20190306b_3T2_PL2017,S, 786,-0.249286
1,731_FED_20190306b_3T2_PL2017,N, 786,-0.557079
1,732_FED_20190307_3T2_PL2017,S, 786,0.890760
1,732_FED_20190307_3T2_PL2017,N, 786,0.702888
1,733_FED_20190307b_3T2_PL2017,S, 786,-0.696673
1,733_FED_20190307b_3T2_PL2017,N, 786,0.055207
1,734_FED_20190313a_3T2_PL2017,S, 786,-0.466674
1,734_FED_20190313a_3T2_PL2017,N, 786,-0.377804
1,735_FED_20190314a_3T2_PL2017,S, 786,0.773908
1,735_FED_20190314a_3T2_PL2017,N, 786,0.889949
1,736_FED_20190314b_3T2_PL2017,S, 786,0.360980
1,736_FED_20190314b_3T2_PL2017,N, 786,1.510589
1,737_FED_20190314c_3T2_PL2017,S, 786,0.530347
1,737_FED_20190314c_3T2_PL2017,N, 786,0.167767
1,738_FED_20190319a_3T2_PL2017,S, 786,0.150960
1,738_FED_20190319a_3T2_PL2017,N, 786,-0.122979
1,739_FED_20190319b_3T2_PL2017,S, 786,1.185107
1,739_FED_20190319b_3T2_PL2017,N, 786,1.218164
1,740_FED_20190319c_3T2_PL2017,S, 786,0.580531
1,740_FED_20190319c_3T2_PL2017,N, 786,0.661297
1,743_FED_20190320c_3T2_PL2017,S, 786,-0.427006
1,743_FED_20190320c_3T2_PL2017,N, 786,-0.212266
1,744_FED_20190320d_3T2_PL2017,S, 786,0.281950
1,744_FED_20190320d_3T2_PL2017,N, 786,0.297046
1,745_FED_20190321a_3T2_PL2017,S, 786,0.881033
1,745_FED_20190321a_3T2_PL2017,N, 786,0.827311
1,759_FED_20190415a_3T2_PL2017,S, 786,0.042167
1,759_FED_20190415a_3T2_PL2017,N, 786,0.206868
1,760_FED_20190415b_3T2_PL2017,S, 786,-0.184338
1,760_FED_20190415b_3T2_PL2017,N, 786,0.125480
1,761_FED_20190416a_3T2_PL2017,S, 786,1.442882
1,761_FED_20190416a_3T2_PL2017,N, 786,1.794617
1,762_FED_20190416b_3T2_PL2017,S, 786,0.283077
1,762_FED_20190416b_3T2_PL2017,N, 786,0.602718
1,763_FED_20190416c_3T2_PL2017,S, 786,1.237645
1,763_FED_20190416c_3T2_PL2017,N, 786,0.038300
1,764_FED_20190416d_3T2_PL2017,S, 786,-0.578133
1,764_FED_20190416d_3T2_PL2017,N, 786,-0.253806
1,766_FED_20190418a_3T2_PL2017,S, 786,-0.587505
1,766_FED_20190418a_3T2_PL2017,N, 786,-0.057940
2,725_FED_20190215a_3T2_PL2017_Anya,S, 738,-0.625714
2,725_FED_20190215a_3T2_PL2017_Anya,N, 738,-0.234813
2,726_FED_20190226a_3T2_PL2017_Anya,S, 738,0.213382
2,726_FED_20190226a_3T2_PL2017_Anya,N, 738,-0.368049
2,727_FED_20190226b_3T2_PL2017_Anya,S, 738,0.421321
2,727_FED_20190226b_3T2_PL2017_Anya,N, 738,0.547739
2,728_FED_20190226c_3T2_PL2017_Anya,S, 738,-0.507391
2,728_FED_20190226c_3T2_PL2017_Anya,N, 738,-0.242721
2,729_FED_20190226d_3T2_PL2017_Anya,S, 738,-0.149325
2,729_FED_20190226d_3T2_PL2017_Anya,N, 738,0.008572
2,731_FED_20190306b_3T2_PL2017,S, 738,0.196019
2,731_FED_20190306b_3T2_PL2017,N, 738,0.285231
2,732_FED_20190307_3T2_PL2017,S, 738,0.084039
2,732_FED_20190307_3T2_PL2017,N, 738,0.258463
2,733_FED_20190307b_3T2_PL2017,S, 738,-1.595900
2,733_FED_20190307b_3T2_PL2017,N, 738,-1.079908
2,734_FED_20190313a_3T2_PL2017,S, 738,-0.714249
2,734_FED_20190313a_3T2_PL2017,N, 738,-0.437171
2,735_FED_20190314a_3T2_PL2017,S, 738,-0.226505
2,735_FED_20190314a_3T2_PL2017,N, 738,-0.155309
2,736_FED_20190314b_3T2_PL2017,S, 738,-0.152181
2,736_FED_20190314b_3T2_PL2017,N, 738,1.145831
2,737_FED_20190314c_3T2_PL2017,S, 738,-0.012090
2,737_FED_20190314c_3T2_PL2017,N, 738,-0.060503
2,738_FED_20190319a_3T2_PL2017,S, 738,1.331194
2,738_FED_20190319a_3T2_PL2017,N, 738,0.935060
2,739_FED_20190319b_3T2_PL2017,S, 738,1.032294
2,739_FED_20190319b_3T2_PL2017,N, 738,1.310410
2,740_FED_20190319c_3T2_PL2017,S, 738,0.247499
2,740_FED_20190319c_3T2_PL2017,N, 738,0.360388
2,743_FED_20190320c_3T2_PL2017,S, 738,-0.793476
2,743_FED_20190320c_3T2_PL2017,N, 738,0.261138
2,744_FED_20190320d_3T2_PL2017,S, 738,0.553733
2,744_FED_20190320d_3T2_PL2017,N, 738,0.567648
2,745_FED_20190321a_3T2_PL2017,S, 738,0.231571
2,745_FED_20190321a_3T2_PL2017,N, 738,0.576450
2,759_FED_20190415a_3T2_PL2017,S, 738,0.611509
2,759_FED_20190415a_3T2_PL2017,N, 738,0.820307
2,760_FED_20190415b_3T2_PL2017,S, 738,-1.024861
2,760_FED_20190415b_3T2_PL2017,N, 738,-0.450645
2,761_FED_20190416a_3T2_PL2017,S, 738,1.122057
2,761_FED_20190416a_3T2_PL2017,N, 738,1.470212
2,762_FED_20190416b_3T2_PL2017,S, 738,-0.370312
2,762_FED_20190416b_3T2_PL2017,N, 738,0.133541
2,763_FED_20190416c_3T2_PL2017,S, 738,0.507299
2,763_FED_20190416c_3T2_PL2017,N, 738,-0.287044
2,764_FED_20190416d_3T2_PL2017,S, 738,-0.568785
2,764_FED_20190416d_3T2_PL2017,N, 738,-0.094515
2,766_FED_20190418a_3T2_PL2017,S, 738,-0.134629
2,766_FED_20190418a_3T2_PL2017,N, 738,0.332786
3,725_FED_20190215a_3T2_PL2017_Anya,S, 176,0.030952
3,725_FED_20190215a_3T2_PL2017_Anya,N, 176,0.120842
3,726_FED_20190226a_3T2_PL2017_Anya,S, 176,1.123374
3,726_FED_20190226a_3T2_PL2017_Anya,N, 176,0.775817
3,727_FED_20190226b_3T2_PL2017_Anya,S, 176,0.148797
3,727_FED_20190226b_3T2_PL2017_Anya,N, 176,0.089679
3,728_FED_20190226c_3T2_PL2017_Anya,S, 176,0.530250
3,728_FED_20190226c_3T2_PL2017_Anya,N, 176,0.661225
3,729_FED_20190226d_3T2_PL2017_Anya,S, 176,0.373065
3,729_FED_20190226d_3T2_PL2017_Anya,N, 176,0.258155
3,731_FED_20190306b_3T2_PL2017,S, 176,0.138530
3,731_FED_20190306b_3T2_PL2017,N, 176,0.018205
3,732_FED_20190307_3T2_PL2017,S, 176,1.330815
3,732_FED_20190307_3T2_PL2017,N, 176,1.143770
3,733_FED_20190307b_3T2_PL2017,S, 176,-0.763476
3,733_FED_20190307b_3T2_PL2017,N, 176,-0.038491
3,734_FED_20190313a_3T2_PL2017,S, 176,0.208854
3,734_FED_20190313a_3T2_PL2017,N, 176,-0.020317
3,735_FED_20190314a_3T2_PL2017,S, 176,-0.093263
