SubjID,RunNum,TrialNum,ItemNum,ItemType,LangType,TrialOnset,RT,CorrectAnswer,Response,Accuracy
FED_20190306b_3T2,6,2,78,5,jap,10.0677,24.1987,3,4,0
FED_20190306b_3T2,6,3,42,3,en,39.3225,9.184,3,3,1
FED_20190306b_3T2,6,4,6,1,sent,53.558,10.1194,3,3,1
FED_20190306b_3T2,6,6,24,2,sent,78.7454,16.3994,4,4,1
FED_20190306b_3T2,6,7,60,4,en,100.199,9.0702,3,3,1
FED_20190306b_3T2,6,8,96,6,jap,114.3179,10.8352,2,2,1
FED_20190306b_3T2,7,2,61,4,sent,10.0597,20.6064,3,3,1
FED_20190306b_3T2,7,3,25,2,jap,35.7137,21.3282,3,2,0
FED_20190306b_3T2,7,4,97,6,en,62.0845,17.2002,1,1,1
FED_20190306b_3T2,7,6,79,5,en,94.3565,16.8935,2,1,0
FED_20190306b_3T2,7,7,7,1,jap,116.3103,8.1854,3,3,1
FED_20190306b_3T2,7,8,43,3,sent,129.5455,38.0966,2,2,1
FED_20190306b_3T2,12,2,84,5,jap,10.039,25.9631,2,2,1
FED_20190306b_3T2,12,3,48,3,en,41.0442,5.9646,2,2,1
FED_20190306b_3T2,12,4,12,1,sent,52.0626,16.6583,2,4,0
FED_20190306b_3T2,12,6,30,2,sent,83.8011,10.3697,2,2,1
FED_20190306b_3T2,12,7,66,4,en,99.23700000000001,5.2258,1,2,0
FED_20190306b_3T2,12,8,102,6,jap,109.5053,26.0214,1,1,1
FED_20190306b_3T2,1,2,55,4,sent,10.0407,7.5836,1,3,0
FED_20190306b_3T2,1,3,19,2,jap,22.6762,11.0115,2,4,0
FED_20190306b_3T2,1,4,91,6,en,38.7456,11.7392,2,1,0
FED_20190306b_3T2,1,6,73,5,en,65.5498,9.8024,1,1,1
FED_20190306b_3T2,1,7,1,1,jap,80.4022,13.6592,1,1,1
FED_20190306b_3T2,1,8,37,3,sent,99.12200000000001,21.8303,3,1,0
