ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017_Anya,H, 395,5.066703
1,725_FED_20190215a_3T2_PL2017_Anya,E, 395,3.460749
1,726_FED_20190226a_3T2_PL2017_Anya,H, 395,4.502171
1,726_FED_20190226a_3T2_PL2017_Anya,E, 395,3.731930
1,727_FED_20190226b_3T2_PL2017_Anya,H, 395,7.381945
1,727_FED_20190226b_3T2_PL2017_Anya,E, 395,4.675152
1,728_FED_20190226c_3T2_PL2017_Anya,H, 395,2.798734
1,728_FED_20190226c_3T2_PL2017_Anya,E, 395,1.676991
1,729_FED_20190226d_3T2_PL2017_Anya,H, 395,11.468037
1,729_FED_20190226d_3T2_PL2017_Anya,E, 395,8.365573
1,731_FED_20190306b_3T2_PL2017,H, 395,5.624518
1,731_FED_20190306b_3T2_PL2017,E, 395,3.277912
1,732_FED_20190307_3T2_PL2017,H, 395,3.140692
1,732_FED_20190307_3T2_PL2017,E, 395,2.651738
1,733_FED_20190307b_3T2_PL2017,H, 395,6.399127
1,733_FED_20190307b_3T2_PL2017,E, 395,3.963371
1,734_FED_20190313a_3T2_PL2017,H, 395,4.178963
1,734_FED_20190313a_3T2_PL2017,E, 395,3.342188
1,735_FED_20190314a_3T2_PL2017,H, 395,6.357728
1,735_FED_20190314a_3T2_PL2017,E, 395,4.423175
1,736_FED_20190314b_3T2_PL2017,H, 395,11.012793
1,736_FED_20190314b_3T2_PL2017,E, 395,5.524209
1,737_FED_20190314c_3T2_PL2017,H, 395,8.813147
1,737_FED_20190314c_3T2_PL2017,E, 395,6.081646
1,738_FED_20190319a_3T2_PL2017,H, 395,5.112071
1,738_FED_20190319a_3T2_PL2017,E, 395,3.555059
1,739_FED_20190319b_3T2_PL2017,H, 395,5.017309
1,739_FED_20190319b_3T2_PL2017,E, 395,4.265675
1,740_FED_20190319c_3T2_PL2017,H, 395,5.322500
1,740_FED_20190319c_3T2_PL2017,E, 395,3.751876
