ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017,en, 395,4.502858
1,725_FED_20190215a_3T2_PL2017,jap, 395,4.479316
1,725_FED_20190215a_3T2_PL2017,sent, 395,3.347023
1,725_FED_20190215a_3T2_PL2017,code_math, 395,4.539483
1,725_FED_20190215a_3T2_PL2017,code_str, 395,4.442691
1,725_FED_20190215a_3T2_PL2017,en_math, 395,4.192129
1,725_FED_20190215a_3T2_PL2017,en_str, 395,4.813587
1,725_FED_20190215a_3T2_PL2017,jap_math, 395,4.886836
1,725_FED_20190215a_3T2_PL2017,jap_str, 395,4.071795
1,725_FED_20190215a_3T2_PL2017,sent_math, 395,3.536555
1,725_FED_20190215a_3T2_PL2017,sent_str, 395,3.157491
1,725_FED_20190215a_3T2_PL2017,en_seq, 395,3.847229
1,725_FED_20190215a_3T2_PL2017,jap_seq, 395,4.154298
1,725_FED_20190215a_3T2_PL2017,sent_seq, 395,2.957440
1,725_FED_20190215a_3T2_PL2017,en_for, 395,5.126712
1,725_FED_20190215a_3T2_PL2017,jap_for, 395,4.731675
1,725_FED_20190215a_3T2_PL2017,sent_for, 395,4.161689
1,725_FED_20190215a_3T2_PL2017,en_if, 395,4.671084
1,725_FED_20190215a_3T2_PL2017,jap_if, 395,4.687711
1,725_FED_20190215a_3T2_PL2017,sent_if, 395,3.023364
1,726_FED_20190226a_3T2_PL2017,en, 395,3.012285
1,726_FED_20190226a_3T2_PL2017,jap, 395,3.217574
1,726_FED_20190226a_3T2_PL2017,sent, 395,1.737264
1,726_FED_20190226a_3T2_PL2017,code_math, 395,2.981845
1,726_FED_20190226a_3T2_PL2017,code_str, 395,3.248014
1,726_FED_20190226a_3T2_PL2017,en_math, 395,2.988014
1,726_FED_20190226a_3T2_PL2017,en_str, 395,3.036556
1,726_FED_20190226a_3T2_PL2017,jap_math, 395,2.975675
1,726_FED_20190226a_3T2_PL2017,jap_str, 395,3.459472
1,726_FED_20190226a_3T2_PL2017,sent_math, 395,1.823484
1,726_FED_20190226a_3T2_PL2017,sent_str, 395,1.651043
1,726_FED_20190226a_3T2_PL2017,en_seq, 395,3.143983
1,726_FED_20190226a_3T2_PL2017,jap_seq, 395,2.776348
1,726_FED_20190226a_3T2_PL2017,sent_seq, 395,1.259506
1,726_FED_20190226a_3T2_PL2017,en_for, 395,2.772245
1,726_FED_20190226a_3T2_PL2017,jap_for, 395,3.631443
1,726_FED_20190226a_3T2_PL2017,sent_for, 395,2.199681
1,726_FED_20190226a_3T2_PL2017,en_if, 395,3.211909
1,726_FED_20190226a_3T2_PL2017,jap_if, 395,3.342432
1,726_FED_20190226a_3T2_PL2017,sent_if, 395,1.805249
1,727_FED_20190226b_3T2_PL2017,en, 395,2.982783
1,727_FED_20190226b_3T2_PL2017,jap, 395,3.824331
1,727_FED_20190226b_3T2_PL2017,sent, 395,2.233674
1,727_FED_20190226b_3T2_PL2017,code_math, 395,3.427679
1,727_FED_20190226b_3T2_PL2017,code_str, 395,3.379435
1,727_FED_20190226b_3T2_PL2017,en_math, 395,3.267505
1,727_FED_20190226b_3T2_PL2017,en_str, 395,2.698061
