ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017,S,395,0.167647
1,725_FED_20190215a_3T2_PL2017,N,395,-0.06761
1,726_FED_20190226a_3T2_PL2017,S,395,0.446018
1,726_FED_20190226a_3T2_PL2017,N,395,0.135772
1,727_FED_20190226b_3T2_PL2017,S,395,1.068085
1,727_FED_20190226b_3T2_PL2017,N,395,1.211183
1,728_FED_20190226c_3T2_PL2017,S,395,-0.656453
1,728_FED_20190226c_3T2_PL2017,N,395,-0.099414
1,729_FED_20190226d_3T2_PL2017,S,395,-0.122198
1,729_FED_20190226d_3T2_PL2017,N,395,0.057457
1,731_FED_20190306b_3T2_PL2017,S,395,-0.118938
1,731_FED_20190306b_3T2_PL2017,N,395,0.017443
1,732_FED_20190307a_3T2_PL2017,S,395,0.542668
1,732_FED_20190307a_3T2_PL2017,N,395,0.685371
1,733_FED_20190307b_3T2_PL2017,S,395,-1.2351
1,733_FED_20190307b_3T2_PL2017,N,395,-0.616131
1,734_FED_20190313a_3T2_PL2017,S,395,-0.244452
1,734_FED_20190313a_3T2_PL2017,N,395,-0.311976
1,735_FED_20190314a_3T2_PL2017,S,395,0.15716
1,735_FED_20190314a_3T2_PL2017,N,395,0.211827
1,736_FED_20190314b_3T2_PL2017,S,395,0.194055
1,736_FED_20190314b_3T2_PL2017,N,395,1.905608
1,737_FED_20190314c_3T2_PL2017,S,395,0.344245
1,737_FED_20190314c_3T2_PL2017,N,395,0.078327
1,738_FED_20190319a_3T2_PL2017,S,395,1.514337
1,738_FED_20190319a_3T2_PL2017,N,395,1.186981
1,739_FED_20190319b_3T2_PL2017,S,395,1.098084
1,739_FED_20190319b_3T2_PL2017,N,395,1.577433
1,740_FED_20190319c_3T2_PL2017,S,395,0.330673
1,740_FED_20190319c_3T2_PL2017,N,395,0.432346
1,743_FED_20190320c_3T2_PL2017,S,395,-0.153612
1,743_FED_20190320c_3T2_PL2017,N,395,0.261265
1,744_FED_20190320d_3T2_PL2017,S,395,0.658478
1,744_FED_20190320d_3T2_PL2017,N,395,0.655051
1,745_FED_20190321a_3T2_PL2017,S,395,0.940574
1,745_FED_20190321a_3T2_PL2017,N,395,1.275421
1,759_FED_20190415a_3T2_PL2017,S,395,1.499991
1,759_FED_20190415a_3T2_PL2017,N,395,1.618256
1,760_FED_20190415b_3T2_PL2017,S,395,-0.794124
1,760_FED_20190415b_3T2_PL2017,N,395,-0.202984
1,761_FED_20190416a_3T2_PL2017,S,395,1.93723
1,761_FED_20190416a_3T2_PL2017,N,395,2.177283
1,762_FED_20190416b_3T2_PL2017,S,395,0.397124
1,762_FED_20190416b_3T2_PL2017,N,395,0.638674
1,763_FED_20190416c_3T2_PL2017,S,395,1.999087
1,763_FED_20190416c_3T2_PL2017,N,395,1.376728
1,764_FED_20190416d_3T2_PL2017,S,395,-0.477442
1,764_FED_20190416d_3T2_PL2017,N,395,0.007421
1,766_FED_20190418a_3T2_PL2017,S,395,0.275934
1,766_FED_20190418a_3T2_PL2017,N,395,0.882122
2,725_FED_20190215a_3T2_PL2017,S,86,0.556779
2,725_FED_20190215a_3T2_PL2017,N,86,1.077362
2,726_FED_20190226a_3T2_PL2017,S,86,-0.144171
2,726_FED_20190226a_3T2_PL2017,N,86,-0.231261
2,727_FED_20190226b_3T2_PL2017,S,86,1.929396
2,727_FED_20190226b_3T2_PL2017,N,86,1.940684
2,728_FED_20190226c_3T2_PL2017,S,86,-0.354154
2,728_FED_20190226c_3T2_PL2017,N,86,0.180331
2,729_FED_20190226d_3T2_PL2017,S,86,-0.023471
2,729_FED_20190226d_3T2_PL2017,N,86,0.131381
2,731_FED_20190306b_3T2_PL2017,S,86,0.594341
2,731_FED_20190306b_3T2_PL2017,N,86,0.906885
2,732_FED_20190307a_3T2_PL2017,S,86,0.669989
2,732_FED_20190307a_3T2_PL2017,N,86,0.902066
2,733_FED_20190307b_3T2_PL2017,S,86,0.676403
2,733_FED_20190307b_3T2_PL2017,N,86,1.13043
2,734_FED_20190313a_3T2_PL2017,S,86,-0.657903
2,734_FED_20190313a_3T2_PL2017,N,86,-0.141027
2,735_FED_20190314a_3T2_PL2017,S,86,1.756388
2,735_FED_20190314a_3T2_PL2017,N,86,2.118316
