ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017,en, 294,1.051112
1,725_FED_20190215a_3T2_PL2017,jap, 294,0.777417
1,725_FED_20190215a_3T2_PL2017,sent, 294,2.454482
1,725_FED_20190215a_3T2_PL2017,code_math, 294,0.831376
1,725_FED_20190215a_3T2_PL2017,code_str, 294,0.997153
1,725_FED_20190215a_3T2_PL2017,en_math, 294,0.937869
1,725_FED_20190215a_3T2_PL2017,en_str, 294,1.164355
1,725_FED_20190215a_3T2_PL2017,jap_math, 294,0.724882
1,725_FED_20190215a_3T2_PL2017,jap_str, 294,0.829951
1,725_FED_20190215a_3T2_PL2017,sent_math, 294,2.421164
1,725_FED_20190215a_3T2_PL2017,sent_str, 294,2.487799
1,725_FED_20190215a_3T2_PL2017,en_seq, 294,0.648716
1,725_FED_20190215a_3T2_PL2017,jap_seq, 294,1.065222
1,725_FED_20190215a_3T2_PL2017,sent_seq, 294,2.223098
1,725_FED_20190215a_3T2_PL2017,en_for, 294,1.497385
1,725_FED_20190215a_3T2_PL2017,jap_for, 294,0.329157
1,725_FED_20190215a_3T2_PL2017,sent_for, 294,2.265095
1,725_FED_20190215a_3T2_PL2017,en_if, 294,1.039087
1,725_FED_20190215a_3T2_PL2017,jap_if, 294,0.961430
1,725_FED_20190215a_3T2_PL2017,sent_if, 294,2.949631
1,726_FED_20190226a_3T2_PL2017,en, 294,0.919430
1,726_FED_20190226a_3T2_PL2017,jap, 294,1.105735
1,726_FED_20190226a_3T2_PL2017,sent, 294,1.971751
1,726_FED_20190226a_3T2_PL2017,code_math, 294,0.797565
1,726_FED_20190226a_3T2_PL2017,code_str, 294,1.227600
1,726_FED_20190226a_3T2_PL2017,en_math, 294,0.733291
1,726_FED_20190226a_3T2_PL2017,en_str, 294,1.105570
1,726_FED_20190226a_3T2_PL2017,jap_math, 294,0.861839
1,726_FED_20190226a_3T2_PL2017,jap_str, 294,1.349631
1,726_FED_20190226a_3T2_PL2017,sent_math, 294,1.712785
1,726_FED_20190226a_3T2_PL2017,sent_str, 294,2.230717
1,726_FED_20190226a_3T2_PL2017,en_seq, 294,0.765114
1,726_FED_20190226a_3T2_PL2017,jap_seq, 294,0.879919
1,726_FED_20190226a_3T2_PL2017,sent_seq, 294,1.957268
1,726_FED_20190226a_3T2_PL2017,en_for, 294,0.919161
1,726_FED_20190226a_3T2_PL2017,jap_for, 294,1.123618
1,726_FED_20190226a_3T2_PL2017,sent_for, 294,2.190404
1,726_FED_20190226a_3T2_PL2017,en_if, 294,1.101878
1,726_FED_20190226a_3T2_PL2017,jap_if, 294,1.347176
1,726_FED_20190226a_3T2_PL2017,sent_if, 294,1.827332
1,727_FED_20190226b_3T2_PL2017,en, 294,1.506205
1,727_FED_20190226b_3T2_PL2017,jap, 294,1.441185
1,727_FED_20190226b_3T2_PL2017,sent, 294,3.473737
1,727_FED_20190226b_3T2_PL2017,code_math, 294,1.608728
1,727_FED_20190226b_3T2_PL2017,code_str, 294,1.338662
1,727_FED_20190226b_3T2_PL2017,en_math, 294,1.572539
1,727_FED_20190226b_3T2_PL2017,en_str, 294,1.439871
1,727_FED_20190226b_3T2_PL2017,jap_math, 294,1.644917
1,727_FED_20190226b_3T2_PL2017,jap_str, 294,1.237453
1,727_FED_20190226b_3T2_PL2017,sent_math, 294,3.409664
1,727_FED_20190226b_3T2_PL2017,sent_str, 294,3.537811
1,727_FED_20190226b_3T2_PL2017,en_seq, 294,1.449036
1,727_FED_20190226b_3T2_PL2017,jap_seq, 294,1.317586
1,727_FED_20190226b_3T2_PL2017,sent_seq, 294,3.469963
1,727_FED_20190226b_3T2_PL2017,en_for, 294,1.154587
1,727_FED_20190226b_3T2_PL2017,jap_for, 294,1.494752
1,727_FED_20190226b_3T2_PL2017,sent_for, 294,3.440822
1,727_FED_20190226b_3T2_PL2017,en_if, 294,1.960633
1,727_FED_20190226b_3T2_PL2017,jap_if, 294,1.554888
1,727_FED_20190226b_3T2_PL2017,sent_if, 294,3.615691
1,728_FED_20190226c_3T2_PL2017,en, 294,0.335305
1,728_FED_20190226c_3T2_PL2017,jap, 294,0.460567
1,728_FED_20190226c_3T2_PL2017,sent, 294,1.773278
1,728_FED_20190226c_3T2_PL2017,code_math, 294,0.355505
1,728_FED_20190226c_3T2_PL2017,code_str, 294,0.440367
1,728_FED_20190226c_3T2_PL2017,en_math, 294,0.166477
1,728_FED_20190226c_3T2_PL2017,en_str, 294,0.504134
1,728_FED_20190226c_3T2_PL2017,jap_math, 294,0.544533
1,728_FED_20190226c_3T2_PL2017,jap_str, 294,0.376600
1,728_FED_20190226c_3T2_PL2017,sent_math, 294,1.933784
1,728_FED_20190226c_3T2_PL2017,sent_str, 294,1.612773
1,728_FED_20190226c_3T2_PL2017,en_seq, 294,-0.058871
1,728_FED_20190226c_3T2_PL2017,jap_seq, 294,0.245551
1,728_FED_20190226c_3T2_PL2017,sent_seq, 294,2.021867
1,728_FED_20190226c_3T2_PL2017,en_for, 294,0.560916
1,728_FED_20190226c_3T2_PL2017,jap_for, 294,0.462428
1,728_FED_20190226c_3T2_PL2017,sent_for, 294,1.163741
1,728_FED_20190226c_3T2_PL2017,en_if, 294,0.514032
1,728_FED_20190226c_3T2_PL2017,jap_if, 294,0.687679
1,728_FED_20190226c_3T2_PL2017,sent_if, 294,2.187963
1,729_FED_20190226d_3T2_PL2017,en, 294,1.801692
1,729_FED_20190226d_3T2_PL2017,jap, 294,2.038739
1,729_FED_20190226d_3T2_PL2017,sent, 294,3.831861
1,729_FED_20190226d_3T2_PL2017,code_math, 294,1.894078
1,729_FED_20190226d_3T2_PL2017,code_str, 294,1.946353
1,729_FED_20190226d_3T2_PL2017,en_math, 294,1.633742
1,729_FED_20190226d_3T2_PL2017,en_str, 294,1.969642
1,729_FED_20190226d_3T2_PL2017,jap_math, 294,2.154413
1,729_FED_20190226d_3T2_PL2017,jap_str, 294,1.923065
1,729_FED_20190226d_3T2_PL2017,sent_math, 294,3.564947
1,729_FED_20190226d_3T2_PL2017,sent_str, 294,4.098774
1,729_FED_20190226d_3T2_PL2017,en_seq, 294,1.369677
1,729_FED_20190226d_3T2_PL2017,jap_seq, 294,1.778749
1,729_FED_20190226d_3T2_PL2017,sent_seq, 294,3.845835
1,729_FED_20190226d_3T2_PL2017,en_for, 294,1.156785
1,729_FED_20190226d_3T2_PL2017,jap_for, 294,1.885386
1,729_FED_20190226d_3T2_PL2017,sent_for, 294,3.860368
1,729_FED_20190226d_3T2_PL2017,en_if, 294,2.933210
1,729_FED_20190226d_3T2_PL2017,jap_if, 294,2.513862
1,729_FED_20190226d_3T2_PL2017,sent_if, 294,3.905496
1,731_FED_20190306b_3T2_PL2017,en, 294,1.244450
1,731_FED_20190306b_3T2_PL2017,jap, 294,1.235502
1,731_FED_20190306b_3T2_PL2017,sent, 294,2.237168
1,731_FED_20190306b_3T2_PL2017,code_math, 294,1.339590
1,731_FED_20190306b_3T2_PL2017,code_str, 294,1.140363
1,731_FED_20190306b_3T2_PL2017,en_math, 294,1.361120
1,731_FED_20190306b_3T2_PL2017,en_str, 294,1.127781
1,731_FED_20190306b_3T2_PL2017,jap_math, 294,1.318059
1,731_FED_20190306b_3T2_PL2017,jap_str, 294,1.152945
1,731_FED_20190306b_3T2_PL2017,sent_math, 294,2.070809
1,731_FED_20190306b_3T2_PL2017,sent_str, 294,2.403528
1,731_FED_20190306b_3T2_PL2017,en_seq, 294,1.351480
1,731_FED_20190306b_3T2_PL2017,jap_seq, 294,0.784702
1,731_FED_20190306b_3T2_PL2017,sent_seq, 294,2.434994
1,731_FED_20190306b_3T2_PL2017,en_for, 294,1.235773
1,731_FED_20190306b_3T2_PL2017,jap_for, 294,1.561235
1,731_FED_20190306b_3T2_PL2017,sent_for, 294,1.983359
1,731_FED_20190306b_3T2_PL2017,en_if, 294,1.183809
1,731_FED_20190306b_3T2_PL2017,jap_if, 294,1.398007
1,731_FED_20190306b_3T2_PL2017,sent_if, 294,2.360945
1,732_FED_20190307_3T2_PL2017,en, 294,1.344980
1,732_FED_20190307_3T2_PL2017,jap, 294,1.202441
1,732_FED_20190307_3T2_PL2017,sent, 294,2.212818
1,732_FED_20190307_3T2_PL2017,code_math, 294,1.296888
1,732_FED_20190307_3T2_PL2017,code_str, 294,1.250534
1,732_FED_20190307_3T2_PL2017,en_math, 294,1.287320
1,732_FED_20190307_3T2_PL2017,en_str, 294,1.402641
1,732_FED_20190307_3T2_PL2017,jap_math, 294,1.306455
1,732_FED_20190307_3T2_PL2017,jap_str, 294,1.098426
1,732_FED_20190307_3T2_PL2017,sent_math, 294,2.276562
1,732_FED_20190307_3T2_PL2017,sent_str, 294,2.149074
1,732_FED_20190307_3T2_PL2017,en_seq, 294,0.932821
1,732_FED_20190307_3T2_PL2017,jap_seq, 294,1.054353
1,732_FED_20190307_3T2_PL2017,sent_seq, 294,2.345623
1,732_FED_20190307_3T2_PL2017,en_for, 294,1.309862
1,732_FED_20190307_3T2_PL2017,jap_for, 294,0.936084
1,732_FED_20190307_3T2_PL2017,sent_for, 294,1.614679
1,732_FED_20190307_3T2_PL2017,en_if, 294,1.833015
1,732_FED_20190307_3T2_PL2017,jap_if, 294,1.653323
1,732_FED_20190307_3T2_PL2017,sent_if, 294,2.745207
1,733_FED_20190307b_3T2_PL2017,en, 294,1.884499
1,733_FED_20190307b_3T2_PL2017,jap, 294,2.213814
1,733_FED_20190307b_3T2_PL2017,sent, 294,3.784544
1,733_FED_20190307b_3T2_PL2017,code_math, 294,2.166630
1,733_FED_20190307b_3T2_PL2017,code_str, 294,1.931682
1,733_FED_20190307b_3T2_PL2017,en_math, 294,2.142664
1,733_FED_20190307b_3T2_PL2017,en_str, 294,1.626334
1,733_FED_20190307b_3T2_PL2017,jap_math, 294,2.190596
1,733_FED_20190307b_3T2_PL2017,jap_str, 294,2.237031
1,733_FED_20190307b_3T2_PL2017,sent_math, 294,3.929875
1,733_FED_20190307b_3T2_PL2017,sent_str, 294,3.639213
1,733_FED_20190307b_3T2_PL2017,en_seq, 294,1.240825
1,733_FED_20190307b_3T2_PL2017,jap_seq, 294,2.164979
1,733_FED_20190307b_3T2_PL2017,sent_seq, 294,4.150003
1,733_FED_20190307b_3T2_PL2017,en_for, 294,1.674355
1,733_FED_20190307b_3T2_PL2017,jap_for, 294,2.064546
1,733_FED_20190307b_3T2_PL2017,sent_for, 294,3.085643
1,733_FED_20190307b_3T2_PL2017,en_if, 294,2.795422
1,733_FED_20190307b_3T2_PL2017,jap_if, 294,2.479001
1,733_FED_20190307b_3T2_PL2017,sent_if, 294,4.232670
1,734_FED_20190313a_3T2_PL2017,en, 294,0.833543
1,734_FED_20190313a_3T2_PL2017,jap, 294,0.999390
1,734_FED_20190313a_3T2_PL2017,sent, 294,1.672765
1,734_FED_20190313a_3T2_PL2017,code_math, 294,0.527152
1,734_FED_20190313a_3T2_PL2017,code_str, 294,1.305781
1,734_FED_20190313a_3T2_PL2017,en_math, 294,0.562400
1,734_FED_20190313a_3T2_PL2017,en_str, 294,1.104687
1,734_FED_20190313a_3T2_PL2017,jap_math, 294,0.491904
1,734_FED_20190313a_3T2_PL2017,jap_str, 294,1.506875
1,734_FED_20190313a_3T2_PL2017,sent_math, 294,1.607051
1,734_FED_20190313a_3T2_PL2017,sent_str, 294,1.738480
1,734_FED_20190313a_3T2_PL2017,en_seq, 294,0.785511
1,734_FED_20190313a_3T2_PL2017,jap_seq, 294,-0.039895
1,734_FED_20190313a_3T2_PL2017,sent_seq, 294,1.586980
1,734_FED_20190313a_3T2_PL2017,en_for, 294,0.811897
1,734_FED_20190313a_3T2_PL2017,jap_for, 294,1.175795
1,734_FED_20190313a_3T2_PL2017,sent_for, 294,1.285024
1,734_FED_20190313a_3T2_PL2017,en_if, 294,0.928481
1,734_FED_20190313a_3T2_PL2017,jap_if, 294,1.892553
1,734_FED_20190313a_3T2_PL2017,sent_if, 294,2.196982
1,735_FED_20190314a_3T2_PL2017,en, 294,1.123784
1,735_FED_20190314a_3T2_PL2017,jap, 294,0.854643
1,735_FED_20190314a_3T2_PL2017,sent, 294,2.056884
1,735_FED_20190314a_3T2_PL2017,code_math, 294,0.972106
1,735_FED_20190314a_3T2_PL2017,code_str, 294,1.006320
1,735_FED_20190314a_3T2_PL2017,en_math, 294,0.917753
1,735_FED_20190314a_3T2_PL2017,en_str, 294,1.329814
1,735_FED_20190314a_3T2_PL2017,jap_math, 294,1.026459
1,735_FED_20190314a_3T2_PL2017,jap_str, 294,0.682826
1,735_FED_20190314a_3T2_PL2017,sent_math, 294,2.256784
1,735_FED_20190314a_3T2_PL2017,sent_str, 294,1.856984
1,735_FED_20190314a_3T2_PL2017,en_seq, 294,0.502114
1,735_FED_20190314a_3T2_PL2017,jap_seq, 294,0.550812
1,735_FED_20190314a_3T2_PL2017,sent_seq, 294,2.123983
1,735_FED_20190314a_3T2_PL2017,en_for, 294,1.202954
1,735_FED_20190314a_3T2_PL2017,jap_for, 294,0.594224
1,735_FED_20190314a_3T2_PL2017,sent_for, 294,1.210658
1,735_FED_20190314a_3T2_PL2017,en_if, 294,1.700338
1,735_FED_20190314a_3T2_PL2017,jap_if, 294,1.444790
1,735_FED_20190314a_3T2_PL2017,sent_if, 294,2.898341
1,736_FED_20190314b_3T2_PL2017,en, 294,2.523884
1,736_FED_20190314b_3T2_PL2017,jap, 294,1.289172
1,736_FED_20190314b_3T2_PL2017,sent, 294,4.580754
1,736_FED_20190314b_3T2_PL2017,code_math, 294,1.801696
1,736_FED_20190314b_3T2_PL2017,code_str, 294,2.011359
1,736_FED_20190314b_3T2_PL2017,en_math, 294,2.443553
1,736_FED_20190314b_3T2_PL2017,en_str, 294,2.604215
1,736_FED_20190314b_3T2_PL2017,jap_math, 294,1.159839
1,736_FED_20190314b_3T2_PL2017,jap_str, 294,1.418504
1,736_FED_20190314b_3T2_PL2017,sent_math, 294,4.609023
1,736_FED_20190314b_3T2_PL2017,sent_str, 294,4.552485
1,736_FED_20190314b_3T2_PL2017,en_seq, 294,2.053823
1,736_FED_20190314b_3T2_PL2017,jap_seq, 294,1.359396
1,736_FED_20190314b_3T2_PL2017,sent_seq, 294,4.122129
1,736_FED_20190314b_3T2_PL2017,en_for, 294,3.353401
1,736_FED_20190314b_3T2_PL2017,jap_for, 294,1.969599
1,736_FED_20190314b_3T2_PL2017,sent_for, 294,4.567854
1,736_FED_20190314b_3T2_PL2017,en_if, 294,2.240909
1,736_FED_20190314b_3T2_PL2017,jap_if, 294,0.577586
1,736_FED_20190314b_3T2_PL2017,sent_if, 294,5.191089
1,737_FED_20190314c_3T2_PL2017,en, 294,0.833754
