ROI,Subject,Effect, LocalizerSize,EffectSize
1,725_FED_20190215a_3T2_PL2017,S,294,2.471359
1,725_FED_20190215a_3T2_PL2017,N,294,0.657784
1,726_FED_20190226a_3T2_PL2017,S,294,2.387281
1,726_FED_20190226a_3T2_PL2017,N,294,0.313363
1,727_FED_20190226b_3T2_PL2017,S,294,2.868327
1,727_FED_20190226b_3T2_PL2017,N,294,0.625324
1,728_FED_20190226c_3T2_PL2017,S,294,1.221215
1,728_FED_20190226c_3T2_PL2017,N,294,0.12518
1,729_FED_20190226d_3T2_PL2017,S,294,3.746702
1,729_FED_20190226d_3T2_PL2017,N,294,1.583595
1,731_FED_20190306b_3T2_PL2017,S,294,2.438207
1,731_FED_20190306b_3T2_PL2017,N,294,1.049653
1,732_FED_20190307a_3T2_PL2017,S,294,2.71744
1,732_FED_20190307a_3T2_PL2017,N,294,0.971687
1,733_FED_20190307b_3T2_PL2017,S,294,3.118813
1,733_FED_20190307b_3T2_PL2017,N,294,0.747793
1,734_FED_20190313a_3T2_PL2017,S,294,2.265651
1,734_FED_20190313a_3T2_PL2017,N,294,-0.228378
1,735_FED_20190314a_3T2_PL2017,S,294,2.731172
1,735_FED_20190314a_3T2_PL2017,N,294,0.561276
1,736_FED_20190314b_3T2_PL2017,S,294,2.983942
1,736_FED_20190314b_3T2_PL2017,N,294,1.177413
1,737_FED_20190314c_3T2_PL2017,S,294,1.449472
1,737_FED_20190314c_3T2_PL2017,N,294,0.710867
1,738_FED_20190319a_3T2_PL2017,S,294,3.349484
1,738_FED_20190319a_3T2_PL2017,N,294,1.015118
1,739_FED_20190319b_3T2_PL2017,S,294,3.258885
1,739_FED_20190319b_3T2_PL2017,N,294,1.349083
1,740_FED_20190319c_3T2_PL2017,S,294,0.033761
1,740_FED_20190319c_3T2_PL2017,N,294,-0.060982
1,743_FED_20190320c_3T2_PL2017,S,294,1.650881
1,743_FED_20190320c_3T2_PL2017,N,294,0.805744
1,744_FED_20190320d_3T2_PL2017,S,294,2.795281
1,744_FED_20190320d_3T2_PL2017,N,294,1.318261
1,745_FED_20190321a_3T2_PL2017,S,294,1.918507
1,745_FED_20190321a_3T2_PL2017,N,294,0.572533
1,759_FED_20190415a_3T2_PL2017,S,294,2.289484
1,759_FED_20190415a_3T2_PL2017,N,294,0.699674
1,760_FED_20190415b_3T2_PL2017,S,294,2.067829
1,760_FED_20190415b_3T2_PL2017,N,294,0.67931
1,761_FED_20190416a_3T2_PL2017,S,294,3.707023
1,761_FED_20190416a_3T2_PL2017,N,294,1.140647
1,762_FED_20190416b_3T2_PL2017,S,294,2.267527
1,762_FED_20190416b_3T2_PL2017,N,294,1.079744
1,763_FED_20190416c_3T2_PL2017,S,294,2.295388
1,763_FED_20190416c_3T2_PL2017,N,294,0.685434
1,764_FED_20190416d_3T2_PL2017,S,294,4.284619
1,764_FED_20190416d_3T2_PL2017,N,294,1.351713
1,766_FED_20190418a_3T2_PL2017,S,294,2.595407
1,766_FED_20190418a_3T2_PL2017,N,294,0.978519
2,725_FED_20190215a_3T2_PL2017,S,162,1.252596
2,725_FED_20190215a_3T2_PL2017,N,162,0.075231
2,726_FED_20190226a_3T2_PL2017,S,162,1.698123
2,726_FED_20190226a_3T2_PL2017,N,162,0.120954
2,727_FED_20190226b_3T2_PL2017,S,162,1.692416
2,727_FED_20190226b_3T2_PL2017,N,162,0.232471
2,728_FED_20190226c_3T2_PL2017,S,162,0.729029
2,728_FED_20190226c_3T2_PL2017,N,162,0.196636
2,729_FED_20190226d_3T2_PL2017,S,162,1.993052
2,729_FED_20190226d_3T2_PL2017,N,162,0.204799
2,731_FED_20190306b_3T2_PL2017,S,162,1.948308
2,731_FED_20190306b_3T2_PL2017,N,162,0.608576
2,732_FED_20190307a_3T2_PL2017,S,162,2.35866
2,732_FED_20190307a_3T2_PL2017,N,162,0.554961
2,733_FED_20190307b_3T2_PL2017,S,162,1.782543
2,733_FED_20190307b_3T2_PL2017,N,162,-0.083536
2,734_FED_20190313a_3T2_PL2017,S,162,1.802511
2,734_FED_20190313a_3T2_PL2017,N,162,-0.174974
2,735_FED_20190314a_3T2_PL2017,S,162,1.767085
2,735_FED_20190314a_3T2_PL2017,N,162,0.377921
2,736_FED_20190314b_3T2_PL2017,S,162,2.127273
2,736_FED_20190314b_3T2_PL2017,N,162,0.810634
2,737_FED_20190314c_3T2_PL2017,S,162,0.605471
2,737_FED_20190314c_3T2_PL2017,N,162,0.313557
