ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,H, 395,5.841082
1,730_FED_20190306a_3T2_PL2017,E, 395,4.604511
1,741_FED_20190320a_3T2_PL2017,H, 395,1.767804
1,741_FED_20190320a_3T2_PL2017,E, 395,2.051311
1,746_FED_20190328a_3T2_PL2017,H, 395,4.609337
1,746_FED_20190328a_3T2_PL2017,E, 395,3.717214
1,747_FED_20190328b_3T2_PL2017,H, 395,1.290326
1,747_FED_20190328b_3T2_PL2017,E, 395,1.311814
1,748_FED_20190328c_3T2_PL2017,H, 395,5.158532
1,748_FED_20190328c_3T2_PL2017,E, 395,4.106347
1,749_FED_20190404a_3T2_PL2017,H, 395,4.205703
1,749_FED_20190404a_3T2_PL2017,E, 395,3.366764
1,750_FED_20190404b_3T2_PL2017,H, 395,6.491886
1,750_FED_20190404b_3T2_PL2017,E, 395,3.438318
1,751_FED_20190404c_3T2_PL2017,H, 395,5.275143
1,751_FED_20190404c_3T2_PL2017,E, 395,3.612962
1,752_FED_20190404d_3T2_PL2017,H, 395,5.300018
1,752_FED_20190404d_3T2_PL2017,E, 395,3.604219
1,754_FED_20190405b_3T2_PL2017,H, 395,3.650127
1,754_FED_20190405b_3T2_PL2017,E, 395,2.223560
1,755_FED_20190411a_3T2_PL2017,H, 395,5.721084
1,755_FED_20190411a_3T2_PL2017,E, 395,4.046867
1,756_FED_20190411b_3T2_PL2017,H, 395,4.959840
1,756_FED_20190411b_3T2_PL2017,E, 395,4.127500
1,757_FED_20190411c_3T2_PL2017,H, 395,1.917535
1,757_FED_20190411c_3T2_PL2017,E, 395,1.835262
1,773_FED_20190605c_3T2_PL2017,H, 395,8.096037
1,773_FED_20190605c_3T2_PL2017,E, 395,6.043052
1,774_FED_20190605b_3T2_PL2017,H, 395,6.540056
1,774_FED_20190605b_3T2_PL2017,E, 395,4.482772
1,775_FED_20190611a_3T2_PL2017,H, 395,4.553499
1,775_FED_20190611a_3T2_PL2017,E, 395,3.901722
1,776_FED_20190611b_3T2_PL2017,H, 395,5.659934
1,776_FED_20190611b_3T2_PL2017,E, 395,3.787765
1,777_FED_20190611c_3T2_PL2017,H, 395,2.816609
1,777_FED_20190611c_3T2_PL2017,E, 395,1.732609
1,778_FED_20190614b_3T2_PL2017,H, 395,5.843050
1,778_FED_20190614b_3T2_PL2017,E, 395,4.873486
2,730_FED_20190306a_3T2_PL2017,H, 86,5.335590
2,730_FED_20190306a_3T2_PL2017,E, 86,3.843008
2,741_FED_20190320a_3T2_PL2017,H, 86,1.195941
2,741_FED_20190320a_3T2_PL2017,E, 86,1.592166
2,746_FED_20190328a_3T2_PL2017,H, 86,4.011092
2,746_FED_20190328a_3T2_PL2017,E, 86,3.202171
2,747_FED_20190328b_3T2_PL2017,H, 86,0.198550
2,747_FED_20190328b_3T2_PL2017,E, 86,0.279470
2,748_FED_20190328c_3T2_PL2017,H, 86,3.327405
2,748_FED_20190328c_3T2_PL2017,E, 86,2.860516
2,749_FED_20190404a_3T2_PL2017,H, 86,3.409165
2,749_FED_20190404a_3T2_PL2017,E, 86,1.919881
2,750_FED_20190404b_3T2_PL2017,H, 86,4.939884
2,750_FED_20190404b_3T2_PL2017,E, 86,2.141180
2,751_FED_20190404c_3T2_PL2017,H, 86,4.585079
2,751_FED_20190404c_3T2_PL2017,E, 86,2.274560
2,752_FED_20190404d_3T2_PL2017,H, 86,9.932296
2,752_FED_20190404d_3T2_PL2017,E, 86,7.203976
2,754_FED_20190405b_3T2_PL2017,H, 86,3.167587
2,754_FED_20190405b_3T2_PL2017,E, 86,1.904144
2,755_FED_20190411a_3T2_PL2017,H, 86,4.710369
2,755_FED_20190411a_3T2_PL2017,E, 86,3.104381
2,756_FED_20190411b_3T2_PL2017,H, 86,1.342173
2,756_FED_20190411b_3T2_PL2017,E, 86,1.175680
2,757_FED_20190411c_3T2_PL2017,H, 86,0.445033
2,757_FED_20190411c_3T2_PL2017,E, 86,0.310476
2,773_FED_20190605c_3T2_PL2017,H, 86,3.854499
2,773_FED_20190605c_3T2_PL2017,E, 86,2.920234
2,774_FED_20190605b_3T2_PL2017,H, 86,4.331524
2,774_FED_20190605b_3T2_PL2017,E, 86,2.788295
2,775_FED_20190611a_3T2_PL2017,H, 86,1.993930
2,775_FED_20190611a_3T2_PL2017,E, 86,1.237299
2,776_FED_20190611b_3T2_PL2017,H, 86,3.159395
2,776_FED_20190611b_3T2_PL2017,E, 86,0.838349
2,777_FED_20190611c_3T2_PL2017,H, 86,2.616529
2,777_FED_20190611c_3T2_PL2017,E, 86,1.908189
2,778_FED_20190614b_3T2_PL2017,H, 86,2.416944
2,778_FED_20190614b_3T2_PL2017,E, 86,1.701307
3,730_FED_20190306a_3T2_PL2017,H, 201,3.383185
3,730_FED_20190306a_3T2_PL2017,E, 201,2.502874
3,741_FED_20190320a_3T2_PL2017,H, 201,1.126890
