ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,crit_CODE, 395,3.680223
1,730_FED_20190306a_3T2_PL2017,crit_VERB, 395,2.089411
1,730_FED_20190306a_3T2_PL2017,tvid_CODE, 395,2.180743
1,730_FED_20190306a_3T2_PL2017,tvid_VERB, 395,1.601296
1,741_FED_20190320a_3T2_PL2017,crit_CODE, 395,2.092989
1,741_FED_20190320a_3T2_PL2017,crit_VERB, 395,0.856124
1,741_FED_20190320a_3T2_PL2017,tvid_CODE, 395,1.381706
1,741_FED_20190320a_3T2_PL2017,tvid_VERB, 395,1.308155
1,746_FED_20190328a_3T2_PL2017,crit_CODE, 395,1.286533
1,746_FED_20190328a_3T2_PL2017,crit_VERB, 395,0.252953
1,746_FED_20190328a_3T2_PL2017,tvid_CODE, 395,1.444475
1,746_FED_20190328a_3T2_PL2017,tvid_VERB, 395,1.707934
1,747_FED_20190328b_3T2_PL2017,crit_CODE, 395,1.826620
1,747_FED_20190328b_3T2_PL2017,crit_VERB, 395,0.195252
1,747_FED_20190328b_3T2_PL2017,tvid_CODE, 395,0.428322
1,747_FED_20190328b_3T2_PL2017,tvid_VERB, 395,0.901474
1,748_FED_20190328c_3T2_PL2017,crit_CODE, 395,5.115223
1,748_FED_20190328c_3T2_PL2017,crit_VERB, 395,3.354983
1,748_FED_20190328c_3T2_PL2017,tvid_CODE, 395,2.417094
1,748_FED_20190328c_3T2_PL2017,tvid_VERB, 395,3.074986
1,749_FED_20190404a_3T2_PL2017,crit_CODE, 395,2.607428
1,749_FED_20190404a_3T2_PL2017,crit_VERB, 395,0.118731
1,749_FED_20190404a_3T2_PL2017,tvid_CODE, 395,0.295658
1,749_FED_20190404a_3T2_PL2017,tvid_VERB, 395,0.703638
1,750_FED_20190404b_3T2_PL2017,crit_CODE, 395,3.065214
1,750_FED_20190404b_3T2_PL2017,crit_VERB, 395,1.494011
1,750_FED_20190404b_3T2_PL2017,tvid_CODE, 395,3.362094
1,750_FED_20190404b_3T2_PL2017,tvid_VERB, 395,2.813059
1,751_FED_20190404c_3T2_PL2017,crit_CODE, 395,2.959425
1,751_FED_20190404c_3T2_PL2017,crit_VERB, 395,-0.076557
1,751_FED_20190404c_3T2_PL2017,tvid_CODE, 395,0.580025
1,751_FED_20190404c_3T2_PL2017,tvid_VERB, 395,1.152699
1,752_FED_20190404d_3T2_PL2017,crit_CODE, 395,3.835600
1,752_FED_20190404d_3T2_PL2017,crit_VERB, 395,1.362541
1,752_FED_20190404d_3T2_PL2017,tvid_CODE, 395,1.266815
1,752_FED_20190404d_3T2_PL2017,tvid_VERB, 395,1.677128
1,754_FED_20190405b_3T2_PL2017,crit_CODE, 395,1.666313
1,754_FED_20190405b_3T2_PL2017,crit_VERB, 395,0.356966
1,754_FED_20190405b_3T2_PL2017,tvid_CODE, 395,-0.005134
1,754_FED_20190405b_3T2_PL2017,tvid_VERB, 395,0.348360
1,755_FED_20190411a_3T2_PL2017,crit_CODE, 395,3.641663
1,755_FED_20190411a_3T2_PL2017,crit_VERB, 395,2.028931
1,755_FED_20190411a_3T2_PL2017,tvid_CODE, 395,2.832432
1,755_FED_20190411a_3T2_PL2017,tvid_VERB, 395,1.893020
1,756_FED_20190411b_3T2_PL2017,crit_CODE, 395,0.928441
1,756_FED_20190411b_3T2_PL2017,crit_VERB, 395,0.878647
1,756_FED_20190411b_3T2_PL2017,tvid_CODE, 395,1.040321
1,756_FED_20190411b_3T2_PL2017,tvid_VERB, 395,1.560821
1,757_FED_20190411c_3T2_PL2017,crit_CODE, 395,2.946425
1,757_FED_20190411c_3T2_PL2017,crit_VERB, 395,1.350078
1,757_FED_20190411c_3T2_PL2017,tvid_CODE, 395,1.195944
1,757_FED_20190411c_3T2_PL2017,tvid_VERB, 395,1.127499
1,773_FED_20190605c_3T2_PL2017,crit_CODE, 395,7.403096
1,773_FED_20190605c_3T2_PL2017,crit_VERB, 395,2.462184
1,773_FED_20190605c_3T2_PL2017,tvid_CODE, 395,3.991247
1,773_FED_20190605c_3T2_PL2017,tvid_VERB, 395,2.554770
1,774_FED_20190605b_3T2_PL2017,crit_CODE, 395,6.655014
1,774_FED_20190605b_3T2_PL2017,crit_VERB, 395,1.606942
1,774_FED_20190605b_3T2_PL2017,tvid_CODE, 395,3.061884
1,774_FED_20190605b_3T2_PL2017,tvid_VERB, 395,2.545164
1,775_FED_20190611a_3T2_PL2017,crit_CODE, 395,3.549441
1,775_FED_20190611a_3T2_PL2017,crit_VERB, 395,2.178518
1,775_FED_20190611a_3T2_PL2017,tvid_CODE, 395,2.282148
1,775_FED_20190611a_3T2_PL2017,tvid_VERB, 395,2.455368
1,776_FED_20190611b_3T2_PL2017,crit_CODE, 395,3.247730
1,776_FED_20190611b_3T2_PL2017,crit_VERB, 395,1.715331
1,776_FED_20190611b_3T2_PL2017,tvid_CODE, 395,1.333951
1,776_FED_20190611b_3T2_PL2017,tvid_VERB, 395,1.481698
1,777_FED_20190611c_3T2_PL2017,crit_CODE, 395,3.333541
1,777_FED_20190611c_3T2_PL2017,crit_VERB, 395,1.336691
1,777_FED_20190611c_3T2_PL2017,tvid_CODE, 395,1.417459
1,777_FED_20190611c_3T2_PL2017,tvid_VERB, 395,1.298929
1,778_FED_20190614b_3T2_PL2017,crit_CODE, 395,5.729290
1,778_FED_20190614b_3T2_PL2017,crit_VERB, 395,1.602837
1,778_FED_20190614b_3T2_PL2017,tvid_CODE, 395,1.662623
1,778_FED_20190614b_3T2_PL2017,tvid_VERB, 395,1.893650
2,730_FED_20190306a_3T2_PL2017,crit_CODE, 86,3.430270
2,730_FED_20190306a_3T2_PL2017,crit_VERB, 86,2.175053
2,730_FED_20190306a_3T2_PL2017,tvid_CODE, 86,3.888927
2,730_FED_20190306a_3T2_PL2017,tvid_VERB, 86,2.102284
2,741_FED_20190320a_3T2_PL2017,crit_CODE, 86,2.558242
2,741_FED_20190320a_3T2_PL2017,crit_VERB, 86,0.899418
2,741_FED_20190320a_3T2_PL2017,tvid_CODE, 86,1.775479
2,741_FED_20190320a_3T2_PL2017,tvid_VERB, 86,1.587793
2,746_FED_20190328a_3T2_PL2017,crit_CODE, 86,1.233914
2,746_FED_20190328a_3T2_PL2017,crit_VERB, 86,0.119998
2,746_FED_20190328a_3T2_PL2017,tvid_CODE, 86,0.728851
2,746_FED_20190328a_3T2_PL2017,tvid_VERB, 86,1.358670
2,747_FED_20190328b_3T2_PL2017,crit_CODE, 86,0.598804
2,747_FED_20190328b_3T2_PL2017,crit_VERB, 86,0.249806
2,747_FED_20190328b_3T2_PL2017,tvid_CODE, 86,0.362764
2,747_FED_20190328b_3T2_PL2017,tvid_VERB, 86,0.500888
2,748_FED_20190328c_3T2_PL2017,crit_CODE, 86,3.322559
2,748_FED_20190328c_3T2_PL2017,crit_VERB, 86,2.270135
2,748_FED_20190328c_3T2_PL2017,tvid_CODE, 86,1.595362
2,748_FED_20190328c_3T2_PL2017,tvid_VERB, 86,1.668238
2,749_FED_20190404a_3T2_PL2017,crit_CODE, 86,2.560126
2,749_FED_20190404a_3T2_PL2017,crit_VERB, 86,1.373603
2,749_FED_20190404a_3T2_PL2017,tvid_CODE, 86,2.460337
2,749_FED_20190404a_3T2_PL2017,tvid_VERB, 86,2.377704
2,750_FED_20190404b_3T2_PL2017,crit_CODE, 86,2.220704
2,750_FED_20190404b_3T2_PL2017,crit_VERB, 86,1.067739
2,750_FED_20190404b_3T2_PL2017,tvid_CODE, 86,3.526424
2,750_FED_20190404b_3T2_PL2017,tvid_VERB, 86,2.408912
2,751_FED_20190404c_3T2_PL2017,crit_CODE, 86,1.945137
2,751_FED_20190404c_3T2_PL2017,crit_VERB, 86,0.812317
2,751_FED_20190404c_3T2_PL2017,tvid_CODE, 86,1.177578
2,751_FED_20190404c_3T2_PL2017,tvid_VERB, 86,1.157133
2,752_FED_20190404d_3T2_PL2017,crit_CODE, 86,7.073300
