ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,S, 395,-0.115653
1,730_FED_20190306a_3T2_PL2017,N, 395,0.979214
1,741_FED_20190320a_3T2_PL2017,S, 395,0.883098
1,741_FED_20190320a_3T2_PL2017,N, 395,1.288216
1,746_FED_20190328a_3T2_PL2017,S, 395,-0.293854
1,746_FED_20190328a_3T2_PL2017,N, 395,-0.096762
1,747_FED_20190328b_3T2_PL2017,S, 395,0.071288
1,747_FED_20190328b_3T2_PL2017,N, 395,0.041762
1,748_FED_20190328c_3T2_PL2017,S, 395,0.434527
1,748_FED_20190328c_3T2_PL2017,N, 395,0.381764
1,749_FED_20190404a_3T2_PL2017,S, 395,-1.001587
1,749_FED_20190404a_3T2_PL2017,N, 395,-0.324047
1,750_FED_20190404b_3T2_PL2017,S, 395,0.329216
1,750_FED_20190404b_3T2_PL2017,N, 395,0.742673
1,751_FED_20190404c_3T2_PL2017,S, 395,-0.510078
1,751_FED_20190404c_3T2_PL2017,N, 395,0.137299
1,752_FED_20190404d_3T2_PL2017,S, 395,0.037567
1,752_FED_20190404d_3T2_PL2017,N, 395,0.306735
1,754_FED_20190405b_3T2_PL2017,S, 395,0.249132
1,754_FED_20190405b_3T2_PL2017,N, 395,0.164974
1,755_FED_20190411a_3T2_PL2017,S, 395,2.326069
1,755_FED_20190411a_3T2_PL2017,N, 395,3.424426
1,756_FED_20190411b_3T2_PL2017,S, 395,0.189163
1,756_FED_20190411b_3T2_PL2017,N, 395,1.229600
1,757_FED_20190411c_3T2_PL2017,S, 395,1.614414
1,757_FED_20190411c_3T2_PL2017,N, 395,1.640168
1,773_FED_20190605c_3T2_PL2017,S, 395,0.712758
1,773_FED_20190605c_3T2_PL2017,N, 395,2.162961
1,774_FED_20190605b_3T2_PL2017,S, 395,-0.172228
1,774_FED_20190605b_3T2_PL2017,N, 395,0.304595
1,775_FED_20190611a_3T2_PL2017,S, 395,-0.340145
1,775_FED_20190611a_3T2_PL2017,N, 395,-0.697219
1,776_FED_20190611b_3T2_PL2017,S, 395,-0.923264
1,776_FED_20190611b_3T2_PL2017,N, 395,-0.373124
1,777_FED_20190611c_3T2_PL2017,S, 395,0.289625
1,777_FED_20190611c_3T2_PL2017,N, 395,2.348504
1,778_FED_20190614b_3T2_PL2017,S, 395,0.808742
1,778_FED_20190614b_3T2_PL2017,N, 395,1.617121
2,730_FED_20190306a_3T2_PL2017,S, 86,-0.198646
2,730_FED_20190306a_3T2_PL2017,N, 86,1.385791
2,741_FED_20190320a_3T2_PL2017,S, 86,0.927533
2,741_FED_20190320a_3T2_PL2017,N, 86,1.648031
2,746_FED_20190328a_3T2_PL2017,S, 86,0.270512
2,746_FED_20190328a_3T2_PL2017,N, 86,0.692480
2,747_FED_20190328b_3T2_PL2017,S, 86,-0.114825
2,747_FED_20190328b_3T2_PL2017,N, 86,0.223384
2,748_FED_20190328c_3T2_PL2017,S, 86,1.287797
2,748_FED_20190328c_3T2_PL2017,N, 86,1.074834
2,749_FED_20190404a_3T2_PL2017,S, 86,-0.587146
2,749_FED_20190404a_3T2_PL2017,N, 86,-0.068188
2,750_FED_20190404b_3T2_PL2017,S, 86,0.450478
2,750_FED_20190404b_3T2_PL2017,N, 86,1.842735
2,751_FED_20190404c_3T2_PL2017,S, 86,0.453992
2,751_FED_20190404c_3T2_PL2017,N, 86,0.498629
2,752_FED_20190404d_3T2_PL2017,S, 86,0.632423
2,752_FED_20190404d_3T2_PL2017,N, 86,1.433417
2,754_FED_20190405b_3T2_PL2017,S, 86,1.147609
2,754_FED_20190405b_3T2_PL2017,N, 86,1.077226
2,755_FED_20190411a_3T2_PL2017,S, 86,1.902770
2,755_FED_20190411a_3T2_PL2017,N, 86,2.405280
2,756_FED_20190411b_3T2_PL2017,S, 86,-0.365637
2,756_FED_20190411b_3T2_PL2017,N, 86,0.409710
2,757_FED_20190411c_3T2_PL2017,S, 86,0.754215
2,757_FED_20190411c_3T2_PL2017,N, 86,0.862867
2,773_FED_20190605c_3T2_PL2017,S, 86,1.142315
2,773_FED_20190605c_3T2_PL2017,N, 86,1.725732
2,774_FED_20190605b_3T2_PL2017,S, 86,-0.619344
2,774_FED_20190605b_3T2_PL2017,N, 86,-0.423065
2,775_FED_20190611a_3T2_PL2017,S, 86,0.418241
2,775_FED_20190611a_3T2_PL2017,N, 86,0.021975
2,776_FED_20190611b_3T2_PL2017,S, 86,0.606266
2,776_FED_20190611b_3T2_PL2017,N, 86,1.290178
2,777_FED_20190611c_3T2_PL2017,S, 86,0.582103
2,777_FED_20190611c_3T2_PL2017,N, 86,2.173587
2,778_FED_20190614b_3T2_PL2017,S, 86,-0.496872
2,778_FED_20190614b_3T2_PL2017,N, 86,0.314046
3,730_FED_20190306a_3T2_PL2017,S, 201,0.012941
3,730_FED_20190306a_3T2_PL2017,N, 201,0.779614
3,741_FED_20190320a_3T2_PL2017,S, 201,0.337507
3,741_FED_20190320a_3T2_PL2017,N, 201,1.165114
3,746_FED_20190328a_3T2_PL2017,S, 201,1.225857
3,746_FED_20190328a_3T2_PL2017,N, 201,1.420178
3,747_FED_20190328b_3T2_PL2017,S, 201,0.663939
3,747_FED_20190328b_3T2_PL2017,N, 201,0.744206
3,748_FED_20190328c_3T2_PL2017,S, 201,0.306401
3,748_FED_20190328c_3T2_PL2017,N, 201,0.491287
3,749_FED_20190404a_3T2_PL2017,S, 201,0.137364
3,749_FED_20190404a_3T2_PL2017,N, 201,1.760581
3,750_FED_20190404b_3T2_PL2017,S, 201,0.466140
3,750_FED_20190404b_3T2_PL2017,N, 201,0.907550
3,751_FED_20190404c_3T2_PL2017,S, 201,0.390064
3,751_FED_20190404c_3T2_PL2017,N, 201,1.717322
3,752_FED_20190404d_3T2_PL2017,S, 201,0.037595
3,752_FED_20190404d_3T2_PL2017,N, 201,0.552351
3,754_FED_20190405b_3T2_PL2017,S, 201,0.513825
3,754_FED_20190405b_3T2_PL2017,N, 201,0.479361
3,755_FED_20190411a_3T2_PL2017,S, 201,2.029438
3,755_FED_20190411a_3T2_PL2017,N, 201,2.758055
3,756_FED_20190411b_3T2_PL2017,S, 201,-0.258158
3,756_FED_20190411b_3T2_PL2017,N, 201,0.165127
3,757_FED_20190411c_3T2_PL2017,S, 201,0.603048
3,757_FED_20190411c_3T2_PL2017,N, 201,0.657892
3,773_FED_20190605c_3T2_PL2017,S, 201,0.849244
3,773_FED_20190605c_3T2_PL2017,N, 201,1.655484
3,774_FED_20190605b_3T2_PL2017,S, 201,-0.827243
3,774_FED_20190605b_3T2_PL2017,N, 201,-0.274080
3,775_FED_20190611a_3T2_PL2017,S, 201,0.491145
3,775_FED_20190611a_3T2_PL2017,N, 201,-0.179814
3,776_FED_20190611b_3T2_PL2017,S, 201,-0.080750
3,776_FED_20190611b_3T2_PL2017,N, 201,0.596157
3,777_FED_20190611c_3T2_PL2017,S, 201,0.943467
3,777_FED_20190611c_3T2_PL2017,N, 201,2.770835
3,778_FED_20190614b_3T2_PL2017,S, 201,0.564558
3,778_FED_20190614b_3T2_PL2017,N, 201,0.853927
4,730_FED_20190306a_3T2_PL2017,S, 179,1.356736
4,730_FED_20190306a_3T2_PL2017,N, 179,2.733178
4,741_FED_20190320a_3T2_PL2017,S, 179,0.573448
4,741_FED_20190320a_3T2_PL2017,N, 179,0.987358
4,746_FED_20190328a_3T2_PL2017,S, 179,0.363848
4,746_FED_20190328a_3T2_PL2017,N, 179,0.377665
4,747_FED_20190328b_3T2_PL2017,S, 179,-0.066560
4,747_FED_20190328b_3T2_PL2017,N, 179,0.018142
4,748_FED_20190328c_3T2_PL2017,S, 179,0.922408
4,748_FED_20190328c_3T2_PL2017,N, 179,0.888060
4,749_FED_20190404a_3T2_PL2017,S, 179,0.603835
4,749_FED_20190404a_3T2_PL2017,N, 179,0.710950
4,750_FED_20190404b_3T2_PL2017,S, 179,0.945010
4,750_FED_20190404b_3T2_PL2017,N, 179,0.909848
4,751_FED_20190404c_3T2_PL2017,S, 179,0.923803
4,751_FED_20190404c_3T2_PL2017,N, 179,0.777618
4,752_FED_20190404d_3T2_PL2017,S, 179,0.044281
4,752_FED_20190404d_3T2_PL2017,N, 179,0.115183
4,754_FED_20190405b_3T2_PL2017,S, 179,0.358157
4,754_FED_20190405b_3T2_PL2017,N, 179,0.113218
4,755_FED_20190411a_3T2_PL2017,S, 179,4.165612
4,755_FED_20190411a_3T2_PL2017,N, 179,3.894769
4,756_FED_20190411b_3T2_PL2017,S, 179,-0.398725
4,756_FED_20190411b_3T2_PL2017,N, 179,0.198706
4,757_FED_20190411c_3T2_PL2017,S, 179,1.737098
4,757_FED_20190411c_3T2_PL2017,N, 179,1.961762
4,773_FED_20190605c_3T2_PL2017,S, 179,-0.144899
4,773_FED_20190605c_3T2_PL2017,N, 179,0.077626
4,774_FED_20190605b_3T2_PL2017,S, 179,-0.178124
4,774_FED_20190605b_3T2_PL2017,N, 179,-0.010264
4,775_FED_20190611a_3T2_PL2017,S, 179,-0.065386
4,775_FED_20190611a_3T2_PL2017,N, 179,-0.761862
4,776_FED_20190611b_3T2_PL2017,S, 179,0.041511
