ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,crit_CODE, 294,0.712798
1,730_FED_20190306a_3T2_PL2017,crit_VERB, 294,1.657909
1,730_FED_20190306a_3T2_PL2017,tvid_CODE, 294,1.033573
1,730_FED_20190306a_3T2_PL2017,tvid_VERB, 294,0.947536
1,741_FED_20190320a_3T2_PL2017,crit_CODE, 294,-0.583729
1,741_FED_20190320a_3T2_PL2017,crit_VERB, 294,2.642489
1,741_FED_20190320a_3T2_PL2017,tvid_CODE, 294,0.999279
1,741_FED_20190320a_3T2_PL2017,tvid_VERB, 294,0.960194
1,746_FED_20190328a_3T2_PL2017,crit_CODE, 294,0.467361
1,746_FED_20190328a_3T2_PL2017,crit_VERB, 294,2.101939
1,746_FED_20190328a_3T2_PL2017,tvid_CODE, 294,-0.008890
1,746_FED_20190328a_3T2_PL2017,tvid_VERB, 294,1.069272
1,747_FED_20190328b_3T2_PL2017,crit_CODE, 294,0.861778
1,747_FED_20190328b_3T2_PL2017,crit_VERB, 294,1.343881
1,747_FED_20190328b_3T2_PL2017,tvid_CODE, 294,0.799282
1,747_FED_20190328b_3T2_PL2017,tvid_VERB, 294,1.582765
1,748_FED_20190328c_3T2_PL2017,crit_CODE, 294,0.903079
1,748_FED_20190328c_3T2_PL2017,crit_VERB, 294,2.197692
1,748_FED_20190328c_3T2_PL2017,tvid_CODE, 294,0.370153
1,748_FED_20190328c_3T2_PL2017,tvid_VERB, 294,0.337617
1,749_FED_20190404a_3T2_PL2017,crit_CODE, 294,0.180433
1,749_FED_20190404a_3T2_PL2017,crit_VERB, 294,0.797991
1,749_FED_20190404a_3T2_PL2017,tvid_CODE, 294,0.172316
1,749_FED_20190404a_3T2_PL2017,tvid_VERB, 294,0.920341
1,750_FED_20190404b_3T2_PL2017,crit_CODE, 294,1.157501
1,750_FED_20190404b_3T2_PL2017,crit_VERB, 294,2.815448
1,750_FED_20190404b_3T2_PL2017,tvid_CODE, 294,2.288385
1,750_FED_20190404b_3T2_PL2017,tvid_VERB, 294,2.686387
1,751_FED_20190404c_3T2_PL2017,crit_CODE, 294,-0.204771
1,751_FED_20190404c_3T2_PL2017,crit_VERB, 294,0.578424
1,751_FED_20190404c_3T2_PL2017,tvid_CODE, 294,0.745300
1,751_FED_20190404c_3T2_PL2017,tvid_VERB, 294,0.474115
1,752_FED_20190404d_3T2_PL2017,crit_CODE, 294,1.177541
1,752_FED_20190404d_3T2_PL2017,crit_VERB, 294,2.124910
1,752_FED_20190404d_3T2_PL2017,tvid_CODE, 294,0.972226
1,752_FED_20190404d_3T2_PL2017,tvid_VERB, 294,1.884391
1,754_FED_20190405b_3T2_PL2017,crit_CODE, 294,0.301871
1,754_FED_20190405b_3T2_PL2017,crit_VERB, 294,1.638993
1,754_FED_20190405b_3T2_PL2017,tvid_CODE, 294,-0.025124
1,754_FED_20190405b_3T2_PL2017,tvid_VERB, 294,1.195958
