ROI,Subject,Effect, LocalizerSize,EffectSize
1,730_FED_20190306a_3T2_PL2017,S, 294,1.998113
1,730_FED_20190306a_3T2_PL2017,N, 294,0.649069
1,741_FED_20190320a_3T2_PL2017,S, 294,2.405322
1,741_FED_20190320a_3T2_PL2017,N, 294,1.147218
1,746_FED_20190328a_3T2_PL2017,S, 294,2.101096
1,746_FED_20190328a_3T2_PL2017,N, 294,0.508527
1,747_FED_20190328b_3T2_PL2017,S, 294,2.507561
1,747_FED_20190328b_3T2_PL2017,N, 294,1.425378
1,748_FED_20190328c_3T2_PL2017,S, 294,1.813644
1,748_FED_20190328c_3T2_PL2017,N, 294,0.530480
1,749_FED_20190404a_3T2_PL2017,S, 294,1.610634
1,749_FED_20190404a_3T2_PL2017,N, 294,0.448523
1,750_FED_20190404b_3T2_PL2017,S, 294,2.669660
1,750_FED_20190404b_3T2_PL2017,N, 294,1.097669
1,751_FED_20190404c_3T2_PL2017,S, 294,0.311617
1,751_FED_20190404c_3T2_PL2017,N, 294,-0.458441
1,752_FED_20190404d_3T2_PL2017,S, 294,2.456907
1,752_FED_20190404d_3T2_PL2017,N, 294,0.648771
1,754_FED_20190405b_3T2_PL2017,S, 294,1.242756
1,754_FED_20190405b_3T2_PL2017,N, 294,0.616443
1,755_FED_20190411a_3T2_PL2017,S, 294,4.236084
1,755_FED_20190411a_3T2_PL2017,N, 294,2.772019
1,756_FED_20190411b_3T2_PL2017,S, 294,2.900340
1,756_FED_20190411b_3T2_PL2017,N, 294,0.708228
1,757_FED_20190411c_3T2_PL2017,S, 294,3.130456
1,757_FED_20190411c_3T2_PL2017,N, 294,0.914444
1,773_FED_20190605c_3T2_PL2017,S, 294,0.982005
1,773_FED_20190605c_3T2_PL2017,N, 294,-0.280196
1,774_FED_20190605b_3T2_PL2017,S, 294,1.261840
1,774_FED_20190605b_3T2_PL2017,N, 294,0.277774
1,775_FED_20190611a_3T2_PL2017,S, 294,0.582791
1,775_FED_20190611a_3T2_PL2017,N, 294,-0.396156
1,776_FED_20190611b_3T2_PL2017,S, 294,1.878494
1,776_FED_20190611b_3T2_PL2017,N, 294,0.175165
1,777_FED_20190611c_3T2_PL2017,S, 294,0.444895
1,777_FED_20190611c_3T2_PL2017,N, 294,-0.392221
1,778_FED_20190614b_3T2_PL2017,S, 294,2.324747
1,778_FED_20190614b_3T2_PL2017,N, 294,0.003236
2,730_FED_20190306a_3T2_PL2017,S, 162,1.470998
2,730_FED_20190306a_3T2_PL2017,N, 162,0.196724
2,741_FED_20190320a_3T2_PL2017,S, 162,2.803353
2,741_FED_20190320a_3T2_PL2017,N, 162,0.652722
2,746_FED_20190328a_3T2_PL2017,S, 162,0.410613
2,746_FED_20190328a_3T2_PL2017,N, 162,-0.463723
2,747_FED_20190328b_3T2_PL2017,S, 162,1.641758
2,747_FED_20190328b_3T2_PL2017,N, 162,0.298209
2,748_FED_20190328c_3T2_PL2017,S, 162,1.398045
2,748_FED_20190328c_3T2_PL2017,N, 162,0.237637
2,749_FED_20190404a_3T2_PL2017,S, 162,1.071105
2,749_FED_20190404a_3T2_PL2017,N, 162,-0.356815
2,750_FED_20190404b_3T2_PL2017,S, 162,2.078812
2,750_FED_20190404b_3T2_PL2017,N, 162,0.314018
2,751_FED_20190404c_3T2_PL2017,S, 162,0.789504
2,751_FED_20190404c_3T2_PL2017,N, 162,0.245452
2,752_FED_20190404d_3T2_PL2017,S, 162,0.920926
2,752_FED_20190404d_3T2_PL2017,N, 162,-1.014500
2,754_FED_20190405b_3T2_PL2017,S, 162,0.759830
2,754_FED_20190405b_3T2_PL2017,N, 162,-0.031631
2,755_FED_20190411a_3T2_PL2017,S, 162,4.850232
2,755_FED_20190411a_3T2_PL2017,N, 162,3.081267
2,756_FED_20190411b_3T2_PL2017,S, 162,1.980575
2,756_FED_20190411b_3T2_PL2017,N, 162,0.255850
2,757_FED_20190411c_3T2_PL2017,S, 162,2.275856
2,757_FED_20190411c_3T2_PL2017,N, 162,0.329240
2,773_FED_20190605c_3T2_PL2017,S, 162,-0.125698
2,773_FED_20190605c_3T2_PL2017,N, 162,-0.692573
2,774_FED_20190605b_3T2_PL2017,S, 162,0.614902
2,774_FED_20190605b_3T2_PL2017,N, 162,-0.215060
2,775_FED_20190611a_3T2_PL2017,S, 162,-0.021831
2,775_FED_20190611a_3T2_PL2017,N, 162,-0.532481
2,776_FED_20190611b_3T2_PL2017,S, 162,0.727287
2,776_FED_20190611b_3T2_PL2017,N, 162,-0.498487
2,777_FED_20190611c_3T2_PL2017,S, 162,1.534158
2,777_FED_20190611c_3T2_PL2017,N, 162,0.534075
2,778_FED_20190614b_3T2_PL2017,S, 162,3.175399
2,778_FED_20190614b_3T2_PL2017,N, 162,0.229297
3,730_FED_20190306a_3T2_PL2017,S, 64,0.152231
3,730_FED_20190306a_3T2_PL2017,N, 64,0.174160
3,741_FED_20190320a_3T2_PL2017,S, 64,-0.178923
3,741_FED_20190320a_3T2_PL2017,N, 64,0.125056
3,746_FED_20190328a_3T2_PL2017,S, 64,0.178134
3,746_FED_20190328a_3T2_PL2017,N, 64,-0.328148
3,747_FED_20190328b_3T2_PL2017,S, 64,0.507555
3,747_FED_20190328b_3T2_PL2017,N, 64,0.310695
3,748_FED_20190328c_3T2_PL2017,S, 64,0.082157
3,748_FED_20190328c_3T2_PL2017,N, 64,-0.360469
3,749_FED_20190404a_3T2_PL2017,S, 64,-1.165782
3,749_FED_20190404a_3T2_PL2017,N, 64,-1.565564
3,750_FED_20190404b_3T2_PL2017,S, 64,-0.078429
3,750_FED_20190404b_3T2_PL2017,N, 64,-0.532360
3,751_FED_20190404c_3T2_PL2017,S, 64,0.015103
3,751_FED_20190404c_3T2_PL2017,N, 64,-1.244892
3,752_FED_20190404d_3T2_PL2017,S, 64,0.452053
3,752_FED_20190404d_3T2_PL2017,N, 64,-0.635891
3,754_FED_20190405b_3T2_PL2017,S, 64,0.066119
3,754_FED_20190405b_3T2_PL2017,N, 64,0.322055
3,755_FED_20190411a_3T2_PL2017,S, 64,-0.187828
3,755_FED_20190411a_3T2_PL2017,N, 64,-0.502266
3,756_FED_20190411b_3T2_PL2017,S, 64,-0.089925
3,756_FED_20190411b_3T2_PL2017,N, 64,-0.969575
3,757_FED_20190411c_3T2_PL2017,S, 64,0.732986
3,757_FED_20190411c_3T2_PL2017,N, 64,-0.784796
3,773_FED_20190605c_3T2_PL2017,S, 64,-0.546597
3,773_FED_20190605c_3T2_PL2017,N, 64,-1.793345
3,774_FED_20190605b_3T2_PL2017,S, 64,-0.185898
3,774_FED_20190605b_3T2_PL2017,N, 64,-0.244163
3,775_FED_20190611a_3T2_PL2017,S, 64,-0.137782
3,775_FED_20190611a_3T2_PL2017,N, 64,-0.712378
3,776_FED_20190611b_3T2_PL2017,S, 64,-0.473404
3,776_FED_20190611b_3T2_PL2017,N, 64,-0.456977
3,777_FED_20190611c_3T2_PL2017,S, 64,-1.942107
3,777_FED_20190611c_3T2_PL2017,N, 64,-2.038630
3,778_FED_20190614b_3T2_PL2017,S, 64,0.570888
3,778_FED_20190614b_3T2_PL2017,N, 64,-1.743852
4,730_FED_20190306a_3T2_PL2017,S, 74,4.492102
4,730_FED_20190306a_3T2_PL2017,N, 74,1.740488
4,741_FED_20190320a_3T2_PL2017,S, 74,2.073136
4,741_FED_20190320a_3T2_PL2017,N, 74,1.246334
4,746_FED_20190328a_3T2_PL2017,S, 74,3.704535
4,746_FED_20190328a_3T2_PL2017,N, 74,1.041504
4,747_FED_20190328b_3T2_PL2017,S, 74,2.228249
4,747_FED_20190328b_3T2_PL2017,N, 74,0.946490
