ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,1.525205
1,1,jap/en,1.437984
1,1,sent/en,1.397587
1,1,en/jap,1.449724
1,1,jap/jap,1.451975
1,1,sent/jap,1.379097
1,1,en/sent,1.427868
1,1,jap/sent,1.349537
1,1,sent/sent,1.475712
1,2,en/en,1.269018
1,2,jap/en,1.248163
1,2,sent/en,0.978132
1,2,en/jap,1.235694
1,2,jap/jap,1.345338
1,2,sent/jap,0.961752
1,2,en/sent,1.150601
1,2,jap/sent,1.091429
1,2,sent/sent,1.004398
1,3,en/en,0.970236
1,3,jap/en,1.249919
1,3,sent/en,0.903537
1,3,en/jap,0.973195
1,3,jap/jap,1.434956
1,3,sent/jap,1.083764
1,3,en/sent,0.899792
1,3,jap/sent,1.346001
1,3,sent/sent,1.022462
1,4,en/en,1.206926
1,4,jap/en,1.511402
1,4,sent/en,0.967727
1,4,en/jap,1.245918
1,4,jap/jap,1.598001
1,4,sent/jap,0.972471
1,4,en/sent,1.185812
1,4,jap/sent,1.461946
1,4,sent/sent,0.918963
1,5,en/en,1.706087
1,5,jap/en,1.859561
1,5,sent/en,1.424168
1,5,en/jap,1.727568
1,5,jap/jap,1.853527
1,5,sent/jap,1.405449
1,5,en/sent,1.699653
1,5,jap/sent,1.809366
1,5,sent/sent,1.343392
1,6,en/en,0.460469
1,6,jap/en,0.591850
1,6,sent/en,0.265828
1,6,en/jap,0.515825
1,6,jap/jap,0.547925
1,6,sent/jap,0.281408
1,6,en/sent,0.348398
1,6,jap/sent,0.394219
1,6,sent/sent,0.319556
1,7,en/en,1.147446
1,7,jap/en,1.341410
1,7,sent/en,0.685463
1,7,en/jap,1.144566
1,7,jap/jap,1.483387
1,7,sent/jap,0.614052
1,7,en/sent,0.852329
1,7,jap/sent,0.807048
1,7,sent/sent,0.762699
1,8,en/en,0.500209
1,8,jap/en,0.740235
1,8,sent/en,0.350584
1,8,en/jap,0.584462
1,8,jap/jap,0.808883
1,8,sent/jap,0.374146
1,8,en/sent,0.384207
1,8,jap/sent,0.507069
1,8,sent/sent,0.439121
1,9,en/en,1.094300
1,9,jap/en,1.147915
1,9,sent/en,0.769208
1,9,en/jap,1.054536
1,9,jap/jap,1.141804
1,9,sent/jap,0.723174
1,9,en/sent,0.971085
1,9,jap/sent,0.942572
1,9,sent/sent,0.707561
1,10,en/en,1.704934
1,10,jap/en,1.536812
1,10,sent/en,1.426039
1,10,en/jap,1.631264
1,10,jap/jap,1.540027
1,10,sent/jap,1.359107
1,10,en/sent,1.644769
1,10,jap/sent,1.431848
1,10,sent/sent,1.530717
1,11,en/en,1.153703
1,11,jap/en,1.004792
1,11,sent/en,0.719934
1,11,en/jap,1.155587
1,11,jap/jap,0.984196
1,11,sent/jap,0.674838
1,11,en/sent,0.556924
1,11,jap/sent,0.465114
1,11,sent/sent,0.402738
1,12,en/en,0.934133
1,12,jap/en,0.929048
1,12,sent/en,0.812348
1,12,en/jap,0.832791
1,12,jap/jap,0.862646
1,12,sent/jap,0.675713
1,12,en/sent,0.849160
1,12,jap/sent,0.716830
1,12,sent/sent,0.927417
1,13,en/en,0.506954
1,13,jap/en,0.557735
1,13,sent/en,0.430264
1,13,en/jap,0.285499
1,13,jap/jap,0.389572
1,13,sent/jap,0.252317
1,13,en/sent,0.509726
1,13,jap/sent,0.447391
1,13,sent/sent,0.447164
1,14,en/en,0.576770
1,14,jap/en,0.862232
1,14,sent/en,0.625811
1,14,en/jap,0.613124
1,14,jap/jap,0.976905
1,14,sent/jap,0.643749
1,14,en/sent,0.591345
1,14,jap/sent,0.829596
1,14,sent/sent,0.621604
1,15,en/en,0.921821
1,15,jap/en,0.969469
1,15,sent/en,0.468281
1,15,en/jap,1.001613
1,15,jap/jap,0.983997
1,15,sent/jap,0.427343
1,15,en/sent,0.736140
1,15,jap/sent,0.688359
1,15,sent/sent,0.420312
1,16,en/en,1.138183
1,16,jap/en,1.281324
1,16,sent/en,0.954099
1,16,en/jap,1.178751
1,16,jap/jap,1.288156
1,16,sent/jap,1.001161
1,16,en/sent,1.077511
1,16,jap/sent,1.202363
1,16,sent/sent,0.913581
1,17,en/en,0.938559
1,17,jap/en,1.143726
1,17,sent/en,0.759699
1,17,en/jap,0.946318
1,17,jap/jap,1.167417
1,17,sent/jap,0.737229
1,17,en/sent,0.863786
1,17,jap/sent,0.981986
1,17,sent/sent,0.828579
1,18,en/en,1.040201
1,18,jap/en,1.073514
1,18,sent/en,0.783215
1,18,en/jap,1.026282
1,18,jap/jap,1.092341
1,18,sent/jap,0.770596
1,18,en/sent,1.024349
1,18,jap/sent,1.026663
1,18,sent/sent,0.732846
1,19,en/en,1.397230
1,19,jap/en,1.400113
1,19,sent/en,1.118963
1,19,en/jap,1.404843
1,19,jap/jap,1.401596
1,19,sent/jap,1.139166
1,19,en/sent,1.276075
1,19,jap/sent,1.303272
1,19,sent/sent,1.135082
1,20,en/en,1.568608
1,20,jap/en,1.381073
1,20,sent/en,1.530375
1,20,en/jap,1.563481
1,20,jap/jap,1.392313
1,20,sent/jap,1.520786
1,20,en/sent,1.565968
1,20,jap/sent,1.384576
1,20,sent/sent,1.587748
1,21,en/en,1.181284
1,21,jap/en,1.210024
1,21,sent/en,0.875152
1,21,en/jap,1.215123
1,21,jap/jap,1.181984
1,21,sent/jap,0.895367
1,21,en/sent,1.124420
1,21,jap/sent,1.121664
1,21,sent/sent,0.887529
1,22,en/en,0.915110
1,22,jap/en,1.009438
1,22,sent/en,0.868050
1,22,en/jap,0.946266
1,22,jap/jap,1.017411
1,22,sent/jap,0.888155
1,22,en/sent,0.891529
1,22,jap/sent,0.995117
1,22,sent/sent,0.828403
1,23,en/en,1.376837
1,23,jap/en,1.194573
1,23,sent/en,1.160515
1,23,en/jap,1.290152
1,23,jap/jap,1.213025
1,23,sent/jap,1.018677
1,23,en/sent,1.268291
1,23,jap/sent,1.061023
