ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/S,0.838365
1,1,jap/S,0.845727
1,1,sent/S,0.867666
1,1,en/N,0.945408
1,1,jap/N,0.994715
1,1,sent/N,1.117653
1,2,en/S,-0.008274
1,2,jap/S,0.016416
1,2,sent/S,0.115622
1,2,en/N,-0.440198
1,2,jap/N,-0.432121
1,2,sent/N,-0.345795
1,3,en/S,1.357428
1,3,jap/S,1.372812
1,3,sent/S,1.364943
1,3,en/N,1.536005
1,3,jap/N,1.548049
1,3,sent/N,1.469103
1,4,en/S,0.210748
1,4,jap/S,0.181664
1,4,sent/S,0.119802
1,4,en/N,0.966020
1,4,jap/N,0.873961
1,4,sent/N,0.767554
1,5,en/S,-0.014115
1,5,jap/S,-0.039171
1,5,sent/S,0.051680
1,5,en/N,0.699821
1,5,jap/N,0.671831
1,5,sent/N,0.712037
1,6,en/S,0.383775
1,6,jap/S,0.247066
1,6,sent/S,0.621434
1,6,en/N,0.452920
1,6,jap/N,0.328895
1,6,sent/N,0.667990
1,7,en/S,1.116630
1,7,jap/S,1.156367
1,7,sent/S,1.174994
1,7,en/N,0.899542
1,7,jap/N,0.916544
1,7,sent/N,0.955214
1,8,en/S,-0.120301
1,8,jap/S,-0.139696
1,8,sent/S,0.063797
1,8,en/N,1.007408
1,8,jap/N,0.956309
1,8,sent/N,0.315439
1,9,en/S,-0.487188
1,9,jap/S,-0.536434
1,9,sent/S,-0.170952
1,9,en/N,-0.344143
1,9,jap/N,-0.367002
1,9,sent/N,0.009831
1,10,en/S,0.841628
1,10,jap/S,0.842294
1,10,sent/S,0.847487
1,10,en/N,1.021720
1,10,jap/N,1.044867
1,10,sent/N,1.067887
1,11,en/S,-0.081468
1,11,jap/S,-0.109907
1,11,sent/S,-0.105738
1,11,en/N,0.782105
1,11,jap/N,0.691734
1,11,sent/N,0.640539
1,12,en/S,-0.054564
1,12,jap/S,-0.022215
1,12,sent/S,-0.092089
1,12,en/N,-0.419097
1,12,jap/N,-0.397197
1,12,sent/N,-0.495134
1,13,en/S,1.395315
1,13,jap/S,1.039892
1,13,sent/S,0.993754
1,13,en/N,1.062709
1,13,jap/N,0.727344
1,13,sent/N,0.789768
1,14,en/S,0.940894
1,14,jap/S,1.012628
1,14,sent/S,0.768575
1,14,en/N,0.773446
1,14,jap/N,0.875719
1,14,sent/N,0.635117
1,15,en/S,0.225025
1,15,jap/S,0.045115
1,15,sent/S,0.500994
1,15,en/N,0.735439
1,15,jap/N,0.494903
1,15,sent/N,0.513444
1,16,en/S,0.007623
1,16,jap/S,0.078538
1,16,sent/S,-0.140754
1,16,en/N,0.227868
1,16,jap/N,0.270032
1,16,sent/N,0.095629
1,17,en/S,0.810256
1,17,jap/S,0.843353
1,17,sent/S,0.554871
1,17,en/N,0.659801
1,17,jap/N,0.692254
1,17,sent/N,0.417100
1,18,en/S,1.145906
1,18,jap/S,1.141918
1,18,sent/S,1.085055
1,18,en/N,1.174810
1,18,jap/N,1.175264
1,18,sent/N,1.035419
1,19,en/S,0.626011
1,19,jap/S,0.619404
1,19,sent/S,0.531115
1,19,en/N,0.632369
1,19,jap/N,0.649935
1,19,sent/N,0.553591
1,20,en/S,0.496270
1,20,jap/S,0.536784
1,20,sent/S,0.433931
1,20,en/N,0.537505
1,20,jap/N,0.605856
1,20,sent/N,0.463725
1,21,en/S,0.995320
1,21,jap/S,0.987503
1,21,sent/S,0.769577
1,21,en/N,1.453222
1,21,jap/N,1.337192
1,21,sent/N,1.116955
1,22,en/S,0.326130
1,22,jap/S,0.319950
1,22,sent/S,0.551011
1,22,en/N,0.534896
1,22,jap/N,0.536617
1,22,sent/N,0.724384
1,23,en/S,0.518244
1,23,jap/S,0.502794
1,23,sent/S,0.815963
1,23,en/N,0.436914
1,23,jap/N,0.421904
1,23,sent/N,0.686856
1,24,en/S,0.429737
1,24,jap/S,0.433453
1,24,sent/S,0.576108
1,24,en/N,0.590145
1,24,jap/N,0.628510
1,24,sent/N,0.624409
1,25,en/S,-0.382369
1,25,jap/S,-0.325957
1,25,sent/S,-0.200460
1,25,en/N,0.227554
1,25,jap/N,0.312338
1,25,sent/N,0.355687
