ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,1.550899
1,1,jap/en,1.475575
1,1,sent/en,1.238167
1,1,en/jap,1.549965
1,1,jap/jap,1.510331
1,1,sent/jap,1.255294
1,1,en/sent,1.323385
1,1,jap/sent,1.372416
1,1,sent/sent,1.284634
1,2,en/en,1.475582
1,2,jap/en,1.309840
1,2,sent/en,1.140584
1,2,en/jap,1.468152
1,2,jap/jap,1.281037
1,2,sent/jap,1.112935
1,2,en/sent,1.336565
1,2,jap/sent,1.130230
1,2,sent/sent,1.159232
1,3,en/en,0.444722
1,3,jap/en,0.765654
1,3,sent/en,0.629368
1,3,en/jap,0.572255
1,3,jap/jap,0.897152
1,3,sent/jap,0.697892
1,3,en/sent,0.482448
1,3,jap/sent,0.663467
1,3,sent/sent,0.750147
1,4,en/en,1.727339
1,4,jap/en,1.612658
1,4,sent/en,1.216093
1,4,en/jap,1.700533
1,4,jap/jap,1.590683
1,4,sent/jap,1.218658
1,4,en/sent,1.425206
1,4,jap/sent,1.357707
1,4,sent/sent,1.161272
1,5,en/en,1.998986
1,5,jap/en,2.104859
1,5,sent/en,1.606914
1,5,en/jap,2.028573
1,5,jap/jap,2.088270
1,5,sent/jap,1.617144
1,5,en/sent,1.856408
1,5,jap/sent,1.893404
1,5,sent/sent,1.649282
1,6,en/en,1.287715
1,6,jap/en,1.286783
1,6,sent/en,0.860405
1,6,en/jap,1.278246
1,6,jap/jap,1.301999
1,6,sent/jap,0.860852
1,6,en/sent,1.038350
1,6,jap/sent,1.057287
1,6,sent/sent,0.913304
1,7,en/en,0.900609
1,7,jap/en,0.932470
1,7,sent/en,0.740005
1,7,en/jap,0.830032
1,7,jap/jap,1.038595
1,7,sent/jap,0.756207
1,7,en/sent,0.839120
1,7,jap/sent,0.979382
1,7,sent/sent,0.723288
1,8,en/en,0.798027
1,8,jap/en,0.894415
1,8,sent/en,0.664285
1,8,en/jap,0.835660
1,8,jap/jap,0.886310
1,8,sent/jap,0.701060
1,8,en/sent,0.689861
1,8,jap/sent,0.804790
1,8,sent/sent,0.655603
1,9,en/en,1.863352
1,9,jap/en,1.823339
1,9,sent/en,1.404205
1,9,en/jap,1.817551
1,9,jap/jap,1.827723
1,9,sent/jap,1.440078
1,9,en/sent,1.654391
1,9,jap/sent,1.706088
1,9,sent/sent,1.450634
1,10,en/en,1.714660
1,10,jap/en,1.409246
1,10,sent/en,1.378444
1,10,en/jap,1.539652
1,10,jap/jap,1.471608
1,10,sent/jap,1.275180
1,10,en/sent,1.668405
1,10,jap/sent,1.413725
1,10,sent/sent,1.347253
1,11,en/en,1.586154
1,11,jap/en,1.550256
1,11,sent/en,1.091415
1,11,en/jap,1.587033
1,11,jap/jap,1.568110
1,11,sent/jap,1.066200
1,11,en/sent,1.335086
1,11,jap/sent,1.284085
1,11,sent/sent,1.183940
1,12,en/en,1.525188
1,12,jap/en,1.441906
1,12,sent/en,1.339606
1,12,en/jap,1.497860
1,12,jap/jap,1.449284
1,12,sent/jap,1.308205
1,12,en/sent,1.341967
1,12,jap/sent,1.300898
1,12,sent/sent,1.408277
1,13,en/en,0.996570
1,13,jap/en,1.114908
1,13,sent/en,0.610499
1,13,en/jap,0.974211
1,13,jap/jap,1.137157
1,13,sent/jap,0.640655
1,13,en/sent,0.796722
1,13,jap/sent,0.956023
1,13,sent/sent,0.549398
1,14,en/en,1.242509
1,14,jap/en,1.421280
1,14,sent/en,1.385209
1,14,en/jap,1.232122
1,14,jap/jap,1.419721
1,14,sent/jap,1.368438
1,14,en/sent,1.247805
1,14,jap/sent,1.400399
1,14,sent/sent,1.386478
1,15,en/en,1.139262
1,15,jap/en,1.105813
1,15,sent/en,0.801641
1,15,en/jap,1.128758
1,15,jap/jap,1.108010
1,15,sent/jap,0.704658
1,15,en/sent,0.916609
1,15,jap/sent,0.762050
1,15,sent/sent,0.816620
1,16,en/en,1.389196
1,16,jap/en,1.507748
1,16,sent/en,1.313590
1,16,en/jap,1.429583
1,16,jap/jap,1.509110
1,16,sent/jap,1.326736
1,16,en/sent,1.360329
1,16,jap/sent,1.446841
1,16,sent/sent,1.306189
1,17,en/en,1.127707
1,17,jap/en,1.240053
1,17,sent/en,0.964499
1,17,en/jap,1.149120
1,17,jap/jap,1.257140
1,17,sent/jap,0.985013
1,17,en/sent,1.109538
1,17,jap/sent,1.221137
1,17,sent/sent,0.950647
1,18,en/en,1.521502
1,18,jap/en,1.601067
1,18,sent/en,1.276285
1,18,en/jap,1.541483
1,18,jap/jap,1.606185
1,18,sent/jap,1.272691
1,18,en/sent,1.434185
1,18,jap/sent,1.459754
1,18,sent/sent,1.348688
1,19,en/en,1.429579
1,19,jap/en,1.612810
1,19,sent/en,1.068677
1,19,en/jap,1.450878
1,19,jap/jap,1.624091
1,19,sent/jap,1.087088
1,19,en/sent,1.151466
1,19,jap/sent,1.287230
1,19,sent/sent,1.189064
1,20,en/en,0.862897
1,20,jap/en,0.846232
1,20,sent/en,1.065793
1,20,en/jap,0.814522
1,20,jap/jap,0.798845
1,20,sent/jap,0.984691
1,20,en/sent,0.898184
1,20,jap/sent,0.833027
1,20,sent/sent,1.116771
1,21,en/en,1.366285
1,21,jap/en,1.323035
1,21,sent/en,1.062653
1,21,en/jap,1.363619
1,21,jap/jap,1.303246
1,21,sent/jap,1.048736
1,21,en/sent,1.211453
1,21,jap/sent,1.149108
1,21,sent/sent,1.093977
1,22,en/en,1.553981
1,22,jap/en,1.697690
1,22,sent/en,1.423850
1,22,en/jap,1.568403
1,22,jap/jap,1.659555
1,22,sent/jap,1.405087
1,22,en/sent,1.517913
1,22,jap/sent,1.611456
1,22,sent/sent,1.495513
1,23,en/en,1.512985
1,23,jap/en,1.478391
1,23,sent/en,1.351129
1,23,en/jap,1.535387
1,23,jap/jap,1.473410
1,23,sent/jap,1.328015
1,23,en/sent,1.419596
1,23,jap/sent,1.371460
1,23,sent/sent,1.391820
1,24,en/en,1.496291
1,24,jap/en,1.501888
1,24,sent/en,1.066936
1,24,en/jap,1.480630
1,24,jap/jap,1.484395
1,24,sent/jap,1.077134
1,24,en/sent,1.401587
1,24,jap/sent,1.349411
1,24,sent/sent,1.032946
1,25,en/en,1.292415
1,25,jap/en,0.997262
1,25,sent/en,0.734730
1,25,en/jap,1.276754
1,25,jap/jap,0.970667
1,25,sent/jap,0.724067
1,25,en/sent,1.072943
1,25,jap/sent,0.826185
1,25,sent/sent,0.692849
