ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/S,0.639042
1,1,jap/S,0.620319
1,1,sent/S,1.006862
1,1,en/N,-0.327618
1,1,jap/N,-0.408000
1,1,sent/N,-0.103763
1,2,en/S,-0.003762
1,2,jap/S,-0.053361
1,2,sent/S,-0.008716
1,2,en/N,0.006393
1,2,jap/N,-0.085934
1,2,sent/N,0.000764
1,3,en/S,0.712530
1,3,jap/S,0.121994
1,3,sent/S,0.218118
1,3,en/N,0.046312
1,3,jap/N,0.388542
1,3,sent/N,0.105124
1,4,en/S,0.236038
1,4,jap/S,0.251626
1,4,sent/S,0.191400
1,4,en/N,0.238513
1,4,jap/N,0.318507
1,4,sent/N,-0.017818
1,5,en/S,0.320864
1,5,jap/S,0.062155
1,5,sent/S,0.154248
1,5,en/N,0.050630
1,5,jap/N,-0.202131
1,5,sent/N,-0.170435
1,6,en/S,0.755518
1,6,jap/S,0.677139
1,6,sent/S,0.831138
1,6,en/N,0.740897
1,6,jap/N,0.688811
1,6,sent/N,0.706310
1,7,en/S,0.031959
1,7,jap/S,0.071990
1,7,sent/S,0.055245
1,7,en/N,0.177273
1,7,jap/N,0.190823
1,7,sent/N,0.174068
1,8,en/S,0.186619
1,8,jap/S,0.047455
1,8,sent/S,0.270766
1,8,en/N,0.499411
1,8,jap/N,0.739639
1,8,sent/N,0.659403
1,9,en/S,-0.382770
1,9,jap/S,-0.504425
1,9,sent/S,-0.338187
1,9,en/N,-0.027854
1,9,jap/N,-0.056190
1,9,sent/N,-0.005981
1,10,en/S,0.631370
1,10,jap/S,0.677837
1,10,sent/S,0.561433
1,10,en/N,0.690104
1,10,jap/N,0.759087
1,10,sent/N,0.550395
1,11,en/S,-0.183365
1,11,jap/S,-0.090961
1,11,sent/S,-0.120978
1,11,en/N,0.456281
1,11,jap/N,0.280799
1,11,sent/N,0.354743
1,12,en/S,0.770374
1,12,jap/S,0.793991
1,12,sent/S,0.789048
1,12,en/N,0.097249
1,12,jap/N,-0.034774
1,12,sent/N,0.150661
1,13,en/S,0.977191
1,13,jap/S,0.764623
1,13,sent/S,0.584830
1,13,en/N,1.159884
1,13,jap/N,0.869882
1,13,sent/N,0.742846
1,14,en/S,0.732120
1,14,jap/S,0.641660
1,14,sent/S,0.527515
1,14,en/N,0.775755
1,14,jap/N,0.671573
1,14,sent/N,0.584507
1,15,en/S,0.609731
1,15,jap/S,0.656533
1,15,sent/S,0.376572
1,15,en/N,0.622760
1,15,jap/N,0.747674
1,15,sent/N,0.333976
1,16,en/S,-0.293033
1,16,jap/S,-0.281658
1,16,sent/S,-0.217265
1,16,en/N,-0.376727
1,16,jap/N,-0.621810
1,16,sent/N,-0.425229
1,17,en/S,0.393412
1,17,jap/S,0.285151
1,17,sent/S,0.214442
1,17,en/N,0.372492
1,17,jap/N,0.280373
1,17,sent/N,0.202615
1,18,en/S,-0.147124
1,18,jap/S,-0.060487
1,18,sent/S,0.032635
1,18,en/N,-0.359213
1,18,jap/N,-0.288526
1,18,sent/N,-0.220502
1,19,en/S,0.429246
1,19,jap/S,0.615563
1,19,sent/S,0.923842
1,19,en/N,0.858712
1,19,jap/N,0.829411
1,19,sent/N,0.863651
1,20,en/S,-0.409008
1,20,jap/S,-0.349262
1,20,sent/S,-0.388041
1,20,en/N,0.078006
1,20,jap/N,0.062331
1,20,sent/N,0.108925
1,21,en/S,-0.090156
1,21,jap/S,-0.095624
1,21,sent/S,-0.034168
1,21,en/N,0.284118
1,21,jap/N,0.253917
1,21,sent/N,0.321677
1,22,en/S,0.777286
1,22,jap/S,0.657290
1,22,sent/S,0.495596
1,22,en/N,1.005144
1,22,jap/N,0.842787
1,22,sent/N,0.742352
1,23,en/S,-0.271842
1,23,jap/S,-0.226145
1,23,sent/S,0.061228
1,23,en/N,0.302389
1,23,jap/N,0.429278
1,23,sent/N,-0.041419
1,24,en/S,0.240933
1,24,jap/S,0.499751
1,24,sent/S,0.241788
1,24,en/N,0.086493
1,24,jap/N,0.244363
1,24,sent/N,0.508306
1,25,en/S,0.163581
1,25,jap/S,0.005370
1,25,sent/S,0.041189
1,25,en/N,-0.029875
1,25,jap/N,-0.196205
1,25,sent/N,-0.187770
