ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,-0.131358
1,1,jap/H,-0.219917
1,1,sent/H,-0.422292
1,1,en/E,-0.018996
1,1,jap/E,-0.104260
1,1,sent/E,-0.089189
1,2,en/H,0.116656
1,2,jap/H,0.072056
1,2,sent/H,0.055056
1,2,en/E,-0.081944
1,2,jap/E,-0.132574
1,2,sent/E,-0.158469
1,3,en/H,0.070913
1,3,jap/H,0.643744
1,3,sent/H,0.207412
1,3,en/E,1.049779
1,3,jap/E,0.375260
1,3,sent/E,0.362705
1,4,en/H,0.341008
1,4,jap/H,0.305023
1,4,sent/H,0.253775
1,4,en/E,0.672910
1,4,jap/E,0.499998
1,4,sent/E,0.899844
1,5,en/H,0.480255
1,5,jap/H,0.716214
1,5,sent/H,0.529315
1,5,en/E,0.406666
1,5,jap/E,0.686339
1,5,sent/E,0.489804
1,6,en/H,0.959595
1,6,jap/H,1.190072
1,6,sent/H,0.620176
1,6,en/E,0.150880
1,6,jap/E,0.214552
1,6,sent/E,0.372700
1,7,en/H,0.917424
1,7,jap/H,0.818291
1,7,sent/H,0.658032
1,7,en/E,0.918870
1,7,jap/E,0.689817
1,7,sent/E,0.671767
1,8,en/H,0.549252
1,8,jap/H,0.605824
1,8,sent/H,0.415460
1,8,en/E,0.365361
1,8,jap/E,0.340555
1,8,sent/E,0.285091
1,9,en/H,1.449637
1,9,jap/H,1.550719
1,9,sent/H,1.499766
1,9,en/E,1.027835
1,9,jap/E,0.978690
1,9,sent/E,1.056638
1,10,en/H,0.788771
1,10,jap/H,0.707605
1,10,sent/H,0.673508
1,10,en/E,0.834901
1,10,jap/E,0.715601
1,10,sent/E,0.713973
1,11,en/H,0.676839
1,11,jap/H,0.587814
1,11,sent/H,0.464735
1,11,en/E,0.183361
1,11,jap/E,0.218320
1,11,sent/E,0.085924
1,12,en/H,0.355352
1,12,jap/H,0.327715
1,12,sent/H,0.273942
1,12,en/E,0.389027
1,12,jap/E,0.246378
1,12,sent/E,0.287712
1,13,en/H,1.078133
1,13,jap/H,0.895822
1,13,sent/H,0.520967
1,13,en/E,0.847719
1,13,jap/E,0.739460
1,13,sent/E,0.582022
1,14,en/H,0.866446
1,14,jap/H,0.905257
1,14,sent/H,0.727539
1,14,en/E,0.711313
1,14,jap/E,0.735633
1,14,sent/E,0.625969
1,15,en/H,0.434844
1,15,jap/H,0.473387
1,15,sent/H,0.324466
1,15,en/E,0.544230
1,15,jap/E,0.528157
1,15,sent/E,0.492053
1,16,en/H,0.168956
1,16,jap/H,0.425678
1,16,sent/H,-0.060037
1,16,en/E,0.311283
1,16,jap/E,0.422548
1,16,sent/E,0.184793
1,17,en/H,0.661383
1,17,jap/H,0.690378
1,17,sent/H,0.525231
1,17,en/E,0.760174
1,17,jap/E,0.790147
1,17,sent/E,0.611521
1,18,en/H,0.978671
1,18,jap/H,1.090364
1,18,sent/H,1.137315
1,18,en/E,1.030783
1,18,jap/E,1.072345
1,18,sent/E,0.966406
1,19,en/H,1.133023
1,19,jap/H,1.117889
1,19,sent/H,1.196960
1,19,en/E,0.842798
1,19,jap/E,0.937959
1,19,sent/E,1.228245
1,20,en/H,0.562041
1,20,jap/H,0.484709
1,20,sent/H,0.570110
1,20,en/E,0.183256
1,20,jap/E,0.097077
1,20,sent/E,0.175702
1,21,en/H,1.318393
1,21,jap/H,1.350699
1,21,sent/H,1.107275
1,21,en/E,1.225955
1,21,jap/E,1.257151
1,21,sent/E,1.070710
1,22,en/H,1.211763
1,22,jap/H,1.128048
1,22,sent/H,1.085190
1,22,en/E,0.716471
1,22,jap/E,0.865949
1,22,sent/E,0.885371
1,23,en/H,0.660641
1,23,jap/H,0.496673
1,23,sent/H,0.024779
1,23,en/E,0.709984
1,23,jap/E,0.526993
1,23,sent/E,0.044703
1,24,en/H,0.497745
1,24,jap/H,0.524377
1,24,sent/H,0.264237
1,24,en/E,0.658811
1,24,jap/E,0.760411
1,24,sent/E,0.255767
1,25,en/H,0.390562
1,25,jap/H,0.227824
1,25,sent/H,0.163757
1,25,en/E,0.854308
1,25,jap/E,0.812041
1,25,sent/E,0.684415
