ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,1.085677
1,1,jap/H,0.819588
1,1,sent/H,0.273197
1,1,en/E,1.158258
1,1,jap/E,0.921386
1,1,sent/E,0.441972
1,2,en/H,0.277833
1,2,jap/H,0.276860
1,2,sent/H,0.180678
1,2,en/E,0.241532
1,2,jap/E,0.240749
1,2,sent/E,0.191855
1,3,en/H,0.733501
1,3,jap/H,0.761673
1,3,sent/H,0.654298
1,3,en/E,0.878756
1,3,jap/E,0.903299
1,3,sent/E,0.772880
1,4,en/H,0.679210
1,4,jap/H,0.811453
1,4,sent/H,0.360938
1,4,en/E,0.878855
1,4,jap/E,0.996770
1,4,sent/E,0.589097
1,5,en/H,1.620124
1,5,jap/H,1.503328
1,5,sent/H,1.384514
1,5,en/E,1.723852
1,5,jap/E,1.620651
1,5,sent/E,1.470709
1,6,en/H,1.227884
1,6,jap/H,1.356247
1,6,sent/H,0.415853
1,6,en/E,1.077718
1,6,jap/E,1.194406
1,6,sent/E,0.500030
1,7,en/H,1.661944
1,7,jap/H,1.589067
1,7,sent/H,1.347944
1,7,en/E,1.789890
1,7,jap/E,1.725075
1,7,sent/E,1.457045
1,8,en/H,1.416638
1,8,jap/H,1.459830
1,8,sent/H,0.593717
1,8,en/E,1.328899
1,8,jap/E,1.384830
1,8,sent/E,0.607045
1,9,en/H,1.315405
1,9,jap/H,1.181968
1,9,sent/H,1.056166
1,9,en/E,1.262810
1,9,jap/E,1.148788
1,9,sent/E,1.029059
1,10,en/H,1.014368
1,10,jap/H,1.240722
1,10,sent/H,0.678748
1,10,en/E,0.922836
1,10,jap/E,1.101015
1,10,sent/E,0.599360
1,11,en/H,1.343279
1,11,jap/H,1.357388
1,11,sent/H,0.745536
1,11,en/E,1.084186
1,11,jap/E,1.231648
1,11,sent/E,0.600579
1,12,en/H,1.489751
1,12,jap/H,1.376602
1,12,sent/H,1.233447
1,12,en/E,1.080593
1,12,jap/E,1.012647
1,12,sent/E,0.862522
1,13,en/H,0.667520
1,13,jap/H,0.747807
1,13,sent/H,0.557922
1,13,en/E,0.349766
1,13,jap/E,0.383299
1,13,sent/E,0.396723
1,14,en/H,0.976833
1,14,jap/H,1.131341
1,14,sent/H,1.017123
1,14,en/E,0.964839
1,14,jap/E,1.131382
1,14,sent/E,0.991593
1,15,en/H,0.802837
1,15,jap/H,0.903643
1,15,sent/H,-0.061679
1,15,en/E,0.799541
1,15,jap/E,0.945166
1,15,sent/E,-0.035341
1,16,en/H,1.092975
1,16,jap/H,1.255409
1,16,sent/H,0.819763
1,16,en/E,1.034160
1,16,jap/E,1.201439
1,16,sent/E,0.823792
1,17,en/H,1.327653
1,17,jap/H,1.228510
1,17,sent/H,1.242650
1,17,en/E,1.449183
1,17,jap/E,1.317663
1,17,sent/E,1.357755
1,18,en/H,1.369471
1,18,jap/H,1.302598
1,18,sent/H,0.825891
1,18,en/E,1.343078
1,18,jap/E,1.396107
1,18,sent/E,0.882615
1,19,en/H,0.725829
1,19,jap/H,0.726166
1,19,sent/H,0.466706
1,19,en/E,0.735417
1,19,jap/E,0.771214
1,19,sent/E,0.545726
1,20,en/H,1.307108
1,20,jap/H,1.279041
1,20,sent/H,1.053924
1,20,en/E,1.185315
1,20,jap/E,1.247651
1,20,sent/E,0.976407
1,21,en/H,1.568853
1,21,jap/H,1.511257
1,21,sent/H,1.198561
1,21,en/E,1.445449
1,21,jap/E,1.398826
1,21,sent/E,0.911135
1,22,en/H,1.278852
1,22,jap/H,1.343511
1,22,sent/H,0.675791
1,22,en/E,1.405443
1,22,jap/E,1.602523
1,22,sent/E,1.068686
1,23,en/H,0.789222
1,23,jap/H,0.730075
1,23,sent/H,0.804671
1,23,en/E,0.616838
1,23,jap/E,0.543853
1,23,sent/E,0.620658
1,24,en/H,-0.105051
1,24,jap/H,-0.091040
1,24,sent/H,-0.462617
1,24,en/E,-0.094806
1,24,jap/E,-0.069143
1,24,sent/E,-0.355037
1,25,en/H,1.175440
1,25,jap/H,1.136124
1,25,sent/H,1.069570
1,25,en/E,1.040575
1,25,jap/E,1.009409
1,25,sent/E,1.021021
