ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,0.729971
1,1,N/en,1.068772
1,1,S/jap,0.710013
1,1,N/jap,1.045233
1,1,S/sent,1.047106
1,1,N/sent,1.259582
1,2,S/en,0.921515
1,2,N/en,0.859374
1,2,S/jap,0.884773
1,2,N/jap,0.828659
1,2,S/sent,1.154594
1,2,N/sent,1.048647
1,3,S/en,1.053727
1,3,N/en,1.115399
1,3,S/jap,1.132415
1,3,N/jap,1.121695
1,3,S/sent,1.143089
1,3,N/sent,1.134154
1,4,S/en,0.658871
1,4,N/en,0.627749
1,4,S/jap,0.703967
1,4,N/jap,0.679354
1,4,S/sent,0.896712
1,4,N/sent,1.071524
1,5,S/en,1.127827
1,5,N/en,1.195585
1,5,S/jap,1.076074
1,5,N/jap,1.141825
1,5,S/sent,1.190273
1,5,N/sent,1.224451
1,6,S/en,0.852808
1,6,N/en,0.632666
1,6,S/jap,0.827209
1,6,N/jap,0.622375
1,6,S/sent,1.000021
1,6,N/sent,0.652883
1,7,S/en,1.215305
1,7,N/en,1.175843
1,7,S/jap,1.197237
1,7,N/jap,1.169955
1,7,S/sent,1.410295
1,7,N/sent,1.317523
1,8,S/en,0.381693
1,8,N/en,0.486545
1,8,S/jap,0.372112
1,8,N/jap,0.470395
1,8,S/sent,0.612960
1,8,N/sent,0.665301
1,9,S/en,0.322471
1,9,N/en,0.206978
1,9,S/jap,0.173420
1,9,N/jap,0.066003
1,9,S/sent,0.420889
1,9,N/sent,0.240829
1,10,S/en,1.538430
1,10,N/en,1.603226
1,10,S/jap,1.320057
1,10,N/jap,1.577314
1,10,S/sent,1.652556
1,10,N/sent,1.444635
1,11,S/en,0.586881
1,11,N/en,1.140798
1,11,S/jap,0.630004
1,11,N/jap,1.193884
1,11,S/sent,0.713305
1,11,N/sent,1.219890
1,12,S/en,0.509941
1,12,N/en,0.196055
1,12,S/jap,0.483200
1,12,N/jap,0.083879
1,12,S/sent,0.497320
1,12,N/sent,0.083678
1,13,S/en,1.573924
1,13,N/en,1.327427
1,13,S/jap,1.103018
1,13,N/jap,0.875326
1,13,S/sent,1.525813
1,13,N/sent,1.291306
1,14,S/en,1.838023
1,14,N/en,1.738995
1,14,S/jap,1.789367
1,14,N/jap,1.746965
1,14,S/sent,1.848095
1,14,N/sent,1.788335
1,15,S/en,0.606563
1,15,N/en,0.747457
1,15,S/jap,0.570133
1,15,N/jap,0.663344
1,15,S/sent,0.474102
1,15,N/sent,0.648764
1,16,S/en,0.416325
1,16,N/en,0.245808
1,16,S/jap,0.485381
1,16,N/jap,0.205290
1,16,S/sent,0.509024
1,16,N/sent,0.191265
1,17,S/en,0.115398
1,17,N/en,0.121474
1,17,S/jap,0.250037
1,17,N/jap,0.144083
1,17,S/sent,0.453609
1,17,N/sent,0.357152
1,18,S/en,1.157972
1,18,N/en,1.016524
1,18,S/jap,1.106432
1,18,N/jap,0.985414
1,18,S/sent,1.225564
1,18,N/sent,0.890736
1,19,S/en,1.000188
1,19,N/en,0.694414
1,19,S/jap,0.918064
1,19,N/jap,0.702281
1,19,S/sent,1.277617
1,19,N/sent,0.787938
1,20,S/en,0.762820
1,20,N/en,0.786251
1,20,S/jap,0.837106
1,20,N/jap,0.747754
1,20,S/sent,0.876970
1,20,N/sent,0.769042
1,21,S/en,0.663387
1,21,N/en,0.767694
1,21,S/jap,0.566522
1,21,N/jap,0.669661
1,21,S/sent,0.619105
1,21,N/sent,0.688140
1,22,S/en,1.245437
1,22,N/en,1.301909
1,22,S/jap,1.267598
1,22,N/jap,1.319586
1,22,S/sent,1.303795
1,22,N/sent,1.327426
1,23,S/en,1.413563
1,23,N/en,1.282902
1,23,S/jap,1.424172
1,23,N/jap,1.310054
1,23,S/sent,1.474849
1,23,N/sent,1.266977
1,24,S/en,0.718969
1,24,N/en,1.295357
1,24,S/jap,0.744456
1,24,N/jap,1.314218
1,24,S/sent,1.172537
1,24,N/sent,0.942433
1,25,S/en,0.032771
1,25,N/en,0.729966
1,25,S/jap,0.024446
1,25,N/jap,0.608691
1,25,S/sent,0.033895
1,25,N/sent,0.699107
