ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,1.425630
1,1,N/en,1.494790
1,1,S/jap,1.376044
1,1,N/jap,1.420897
1,1,S/sent,1.619843
1,1,N/sent,1.526624
1,2,S/en,0.663785
1,2,N/en,0.987366
1,2,S/jap,0.587248
1,2,N/jap,1.028180
1,2,S/sent,0.704032
1,2,N/sent,0.719331
1,3,S/en,0.324295
1,3,N/en,0.409500
1,3,S/jap,0.558416
1,3,N/jap,0.599473
1,3,S/sent,0.179005
1,3,N/sent,0.234723
1,4,S/en,1.199292
1,4,N/en,1.633939
1,4,S/jap,1.257318
1,4,N/jap,1.709144
1,4,S/sent,1.222831
1,4,N/sent,1.424354
1,5,S/en,0.722989
1,5,N/en,0.974324
1,5,S/jap,0.719445
1,5,N/jap,0.982192
1,5,S/sent,0.725507
1,5,N/sent,0.943039
1,6,S/en,0.939631
1,6,N/en,1.184993
1,6,S/jap,1.024983
1,6,N/jap,1.374741
1,6,S/sent,1.097070
1,6,N/sent,1.265927
1,7,S/en,1.102822
1,7,N/en,1.103714
1,7,S/jap,1.414520
1,7,N/jap,1.403839
1,7,S/sent,1.251797
1,7,N/sent,1.175168
1,8,S/en,0.458170
1,8,N/en,1.243736
1,8,S/jap,0.517105
1,8,N/jap,1.264372
1,8,S/sent,0.890241
1,8,N/sent,0.787935
1,9,S/en,0.760117
1,9,N/en,0.774106
1,9,S/jap,0.753224
1,9,N/jap,0.769105
1,9,S/sent,0.829926
1,9,N/sent,0.831431
1,10,S/en,1.805170
1,10,N/en,1.976393
1,10,S/jap,1.579705
1,10,N/jap,1.694720
1,10,S/sent,1.963689
1,10,N/sent,2.067771
1,11,S/en,1.055256
1,11,N/en,1.681687
1,11,S/jap,0.987984
1,11,N/jap,1.544247
1,11,S/sent,1.235755
1,11,N/sent,1.441609
1,12,S/en,1.184203
1,12,N/en,1.007288
1,12,S/jap,1.080858
1,12,N/jap,0.897980
1,12,S/sent,1.586266
1,12,N/sent,1.087006
1,13,S/en,0.029681
1,13,N/en,-0.212149
1,13,S/jap,0.025805
1,13,N/jap,-0.158544
1,13,S/sent,0.079028
1,13,N/sent,-0.065857
1,14,S/en,1.507968
1,14,N/en,1.460677
1,14,S/jap,1.542482
1,14,N/jap,1.574725
1,14,S/sent,1.504358
1,14,N/sent,1.462516
1,15,S/en,0.723317
1,15,N/en,0.760100
1,15,S/jap,0.865779
1,15,N/jap,0.917414
1,15,S/sent,0.188390
1,15,N/sent,0.189631
1,16,S/en,0.092016
1,16,N/en,-0.439197
1,16,S/jap,0.023542
1,16,N/jap,-0.498185
1,16,S/sent,-0.001239
1,16,N/sent,-0.597643
1,17,S/en,1.438470
1,17,N/en,1.080414
1,17,S/jap,1.424670
1,17,N/jap,1.154332
1,17,S/sent,1.584865
1,17,N/sent,1.131902
1,18,S/en,1.529375
1,18,N/en,1.355038
1,18,S/jap,1.585161
1,18,N/jap,1.385621
1,18,S/sent,1.689363
1,18,N/sent,1.491376
1,19,S/en,1.290241
1,19,N/en,1.262340
1,19,S/jap,1.332249
1,19,N/jap,1.331794
1,19,S/sent,1.817327
1,19,N/sent,1.640301
1,20,S/en,0.450748
1,20,N/en,0.179955
1,20,S/jap,0.580090
1,20,N/jap,0.197792
1,20,S/sent,0.328350
1,20,N/sent,0.090275
1,21,S/en,1.039858
1,21,N/en,1.516104
1,21,S/jap,1.046724
1,21,N/jap,1.552081
1,21,S/sent,0.924849
1,21,N/sent,1.417354
1,22,S/en,0.375284
1,22,N/en,0.309634
1,22,S/jap,0.412448
1,22,N/jap,0.348342
1,22,S/sent,0.367426
1,22,N/sent,0.299946
1,23,S/en,1.539313
1,23,N/en,1.331583
1,23,S/jap,1.450316
1,23,N/jap,1.311592
1,23,S/sent,1.599159
1,23,N/sent,1.515429
1,24,S/en,-0.018114
1,24,N/en,0.761074
1,24,S/jap,0.015899
1,24,N/jap,0.821294
1,24,S/sent,0.135522
1,24,N/sent,0.597489
1,25,S/en,-0.382700
1,25,N/en,1.022250
1,25,S/jap,-0.365598
1,25,N/jap,1.101309
1,25,S/sent,-0.158154
1,25,N/sent,1.057508
