ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,2.276182
1,1,N/S,1.694511
1,1,S/N,1.694511
1,1,N/N,1.897571
1,2,S/S,1.454548
1,2,N/S,1.347975
1,2,S/N,1.347975
1,2,N/N,1.247088
1,3,S/S,1.520235
1,3,N/S,1.609703
1,3,S/N,1.609703
1,3,N/N,1.692514
1,4,S/S,0.242030
1,4,N/S,-0.440775
1,4,S/N,-0.440775
1,4,N/N,-0.777133
1,5,S/S,-0.146040
1,5,N/S,-0.308324
1,5,S/N,-0.308324
1,5,N/N,-0.402134
1,6,S/S,2.594649
1,6,N/S,2.251478
1,6,S/N,2.251478
1,6,N/N,2.123995
1,7,S/S,1.241573
1,7,N/S,1.075991
1,7,S/N,1.075991
1,7,N/N,1.184296
1,8,S/S,1.048377
1,8,N/S,0.226344
1,8,S/N,0.226344
1,8,N/N,-0.014296
1,9,S/S,1.738401
1,9,N/S,0.773985
1,9,S/N,0.773985
1,9,N/N,0.945808
1,10,S/S,1.718696
1,10,N/S,1.355921
1,10,S/N,1.355921
1,10,N/N,1.281390
1,11,S/S,1.137110
1,11,N/S,1.164576
1,11,S/N,1.164576
1,11,N/N,1.465784
1,12,S/S,0.338005
1,12,N/S,0.119629
1,12,S/N,0.119629
1,12,N/N,0.306553
1,13,S/S,1.461697
1,13,N/S,1.412490
1,13,S/N,1.412490
1,13,N/N,1.737100
1,14,S/S,0.753196
1,14,N/S,1.005868
1,14,S/N,1.005868
1,14,N/N,1.198031
1,15,S/S,0.615671
1,15,N/S,0.506957
1,15,S/N,0.506957
1,15,N/N,0.330304
1,16,S/S,0.278138
1,16,N/S,0.258307
1,16,S/N,0.258307
1,16,N/N,0.382023
1,17,S/S,1.099744
1,17,N/S,0.963341
1,17,S/N,0.963341
1,17,N/N,0.968663
1,18,S/S,1.033268
1,18,N/S,0.164285
1,18,S/N,0.164285
1,18,N/N,0.397341
1,19,S/S,1.729952
1,19,N/S,0.935729
1,19,S/N,0.935729
1,19,N/N,1.396011
1,20,S/S,1.433725
1,20,N/S,1.308633
1,20,S/N,1.308633
1,20,N/N,0.960545
1,21,S/S,0.667982
1,21,N/S,0.570823
1,21,S/N,0.570823
1,21,N/N,0.459529
1,22,S/S,0.809950
1,22,N/S,0.623498
1,22,S/N,0.623498
1,22,N/N,1.181730
1,23,S/S,2.313067
1,23,N/S,1.793217
1,23,S/N,1.793217
1,23,N/N,1.850245
1,24,S/S,1.240130
1,24,N/S,0.987513
1,24,S/N,0.987513
1,24,N/N,0.940484
1,25,S/S,1.585078
1,25,N/S,1.312036
1,25,S/N,1.312036
1,25,N/N,1.538050
