ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/H,1.000331
1,1,N/H,1.264119
1,1,S/E,1.406009
1,1,N/E,1.202558
1,2,S/H,0.956114
1,2,N/H,0.394092
1,2,S/E,1.080454
1,2,N/E,0.382731
1,3,S/H,0.838641
1,3,N/H,1.094943
1,3,S/E,1.542532
1,3,N/E,1.489573
1,4,S/H,-0.230317
1,4,N/H,0.278920
1,4,S/E,0.164834
1,4,N/E,0.248777
1,5,S/H,0.624139
1,5,N/H,0.266969
1,5,S/E,0.670045
1,5,N/E,0.315308
1,6,S/H,0.753783
1,6,N/H,0.653670
1,6,S/E,0.750016
1,6,N/E,0.400204
1,7,S/H,1.595397
1,7,N/H,1.928740
1,7,S/E,1.562935
1,7,N/E,1.860513
1,8,S/H,-0.122669
1,8,N/H,0.374765
1,8,S/E,0.063306
1,8,N/E,0.397271
1,9,S/H,0.300090
1,9,N/H,0.427874
1,9,S/E,0.354490
1,9,N/E,0.537908
1,10,S/H,0.272595
1,10,N/H,0.300921
1,10,S/E,0.458713
1,10,N/E,0.078640
1,11,S/H,0.674467
1,11,N/H,1.095814
1,11,S/E,0.739507
1,11,N/E,0.983956
1,12,S/H,0.458342
1,12,N/H,1.026361
1,12,S/E,0.590324
1,12,N/E,0.984466
1,13,S/H,2.117462
1,13,N/H,1.992956
1,13,S/E,1.861874
1,13,N/E,1.790538
1,14,S/H,0.646478
1,14,N/H,0.874521
1,14,S/E,0.832184
1,14,N/E,1.031836
1,15,S/H,0.199499
1,15,N/H,0.375571
1,15,S/E,0.536850
1,15,N/E,0.475895
1,16,S/H,0.110978
1,16,N/H,0.229263
1,16,S/E,0.073435
1,16,N/E,0.051850
1,17,S/H,0.530068
1,17,N/H,0.467467
1,17,S/E,0.527900
1,17,N/E,0.520825
1,18,S/H,0.474714
1,18,N/H,0.161493
1,18,S/E,0.355778
1,18,N/E,0.040459
1,19,S/H,0.452835
1,19,N/H,0.804224
1,19,S/E,0.458175
1,19,N/E,0.784874
1,20,S/H,0.800042
1,20,N/H,0.786751
1,20,S/E,1.167014
1,20,N/E,0.943139
1,21,S/H,0.051660
1,21,N/H,0.100285
1,21,S/E,0.076232
1,21,N/E,0.015426
1,22,S/H,0.609296
1,22,N/H,0.591367
1,22,S/E,0.351591
1,22,N/E,0.115112
1,23,S/H,0.366610
1,23,N/H,-0.273944
1,23,S/E,0.443587
1,23,N/E,-0.361902
1,24,S/H,1.585058
1,24,N/H,1.360480
1,24,S/E,1.290188
1,24,N/E,1.035148
1,25,S/H,0.600776
1,25,N/H,0.319026
1,25,S/E,0.326569
1,25,N/E,-0.175590
