ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/en,-0.187627
1,1,E/en,-0.028383
1,1,H/jap,-0.310927
1,1,E/jap,-0.168173
1,1,H/sent,-0.429683
1,1,E/sent,-0.101208
1,2,H/en,0.151153
1,2,E/en,-0.054540
1,2,H/jap,0.147826
1,2,E/jap,-0.060212
1,2,H/sent,0.187539
1,2,E/sent,-0.029543
1,3,H/en,-0.046899
1,3,E/en,1.183962
1,3,H/jap,0.542699
1,3,E/jap,0.386408
1,3,H/sent,0.170746
1,3,E/sent,0.483162
1,4,H/en,0.193688
1,4,E/en,0.371240
1,4,H/jap,0.165260
1,4,E/jap,0.462010
1,4,H/sent,0.343972
1,4,E/sent,0.697093
1,5,H/en,0.400457
1,5,E/en,0.343916
1,5,H/jap,0.532657
1,5,E/jap,0.583827
1,5,H/sent,0.349010
1,5,E/sent,0.295766
1,6,H/en,0.866543
1,6,E/en,0.164683
1,6,H/jap,1.042733
1,6,E/jap,0.187220
1,6,H/sent,0.552340
1,6,E/sent,0.303033
1,7,H/en,0.917424
1,7,E/en,0.918870
1,7,H/jap,0.818291
1,7,E/jap,0.689817
1,7,H/sent,0.658032
1,7,E/sent,0.671767
1,8,H/en,0.500487
1,8,E/en,0.268684
1,8,H/jap,0.509777
1,8,E/jap,0.270661
1,8,H/sent,0.412076
1,8,E/sent,0.339094
1,9,H/en,1.384348
1,9,E/en,1.013173
1,9,H/jap,1.442839
1,9,E/jap,0.980387
1,9,H/sent,1.148247
1,9,E/sent,0.880880
1,10,H/en,0.900201
1,10,E/en,0.924733
1,10,H/jap,0.656002
1,10,E/jap,0.653565
1,10,H/sent,0.737234
1,10,E/sent,0.738225
1,11,H/en,0.667102
1,11,E/en,0.165097
1,11,H/jap,0.596888
1,11,E/jap,0.240849
1,11,H/sent,0.250693
1,11,E/sent,0.033887
1,12,H/en,0.349208
1,12,E/en,0.371811
1,12,H/jap,0.262187
1,12,E/jap,0.202448
1,12,H/sent,0.348526
1,12,E/sent,0.270994
1,13,H/en,1.196001
1,13,E/en,0.791606
1,13,H/jap,0.884659
1,13,E/jap,0.437729
1,13,H/sent,0.335970
1,13,E/sent,0.480803
1,14,H/en,0.716987
1,14,E/en,0.644605
1,14,H/jap,0.675810
1,14,E/jap,0.605554
1,14,H/sent,0.696325
1,14,E/sent,0.675135
1,15,H/en,0.301045
1,15,E/en,0.415451
1,15,H/jap,0.379385
1,15,E/jap,0.440920
1,15,H/sent,0.211469
1,15,E/sent,0.352593
1,16,H/en,0.106017
1,16,E/en,0.083697
1,16,H/jap,0.471846
1,16,E/jap,0.364367
1,16,H/sent,0.081025
1,16,E/sent,0.123144
1,17,H/en,0.392886
1,17,E/en,0.461843
1,17,H/jap,0.520897
1,17,E/jap,0.593542
1,17,H/sent,0.517895
1,17,E/sent,0.603362
1,18,H/en,0.937825
1,18,E/en,1.003715
1,18,H/jap,0.951507
1,18,E/jap,1.004234
1,18,H/sent,1.083201
1,18,E/sent,0.863087
1,19,H/en,0.982240
1,19,E/en,0.745620
1,19,H/jap,1.064700
1,19,E/jap,0.955683
1,19,H/sent,1.038768
1,19,E/sent,1.149078
1,20,H/en,0.602236
1,20,E/en,0.202505
1,20,H/jap,0.396543
1,20,E/jap,0.022069
1,20,H/sent,0.572637
1,20,E/sent,0.182441
1,21,H/en,1.281532
1,21,E/en,1.185037
1,21,H/jap,1.276201
1,21,E/jap,1.189028
1,21,H/sent,1.048656
1,21,E/sent,1.013427
1,22,H/en,1.362562
1,22,E/en,0.871207
1,22,H/jap,1.106985
1,22,E/jap,0.901538
1,22,H/sent,1.002052
1,22,E/sent,0.858981
1,23,H/en,0.625187
1,23,E/en,0.601059
1,23,H/jap,0.463611
1,23,E/jap,0.472603
1,23,H/sent,0.199825
1,23,E/sent,0.169344
1,24,H/en,0.252538
1,24,E/en,0.429436
1,24,H/jap,0.523189
1,24,E/jap,0.636154
1,24,H/sent,-0.033149
1,24,E/sent,-0.067163
1,25,H/en,0.336793
1,25,E/en,0.872850
1,25,H/jap,0.238736
1,25,E/jap,0.783014
1,25,H/sent,0.518191
1,25,E/sent,0.638276
