ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/en,-0.131358
1,1,E/en,-0.018996
1,1,H/jap,-0.219917
1,1,E/jap,-0.104260
1,1,H/sent,-0.422292
1,1,E/sent,-0.089189
1,2,H/en,0.116656
1,2,E/en,-0.081944
1,2,H/jap,0.072056
1,2,E/jap,-0.132574
1,2,H/sent,0.055056
1,2,E/sent,-0.158469
1,3,H/en,0.070913
1,3,E/en,1.049779
1,3,H/jap,0.643744
1,3,E/jap,0.375260
1,3,H/sent,0.207412
1,3,E/sent,0.362705
1,4,H/en,0.341008
1,4,E/en,0.672910
1,4,H/jap,0.305023
1,4,E/jap,0.499998
1,4,H/sent,0.253775
1,4,E/sent,0.899844
1,5,H/en,0.480255
1,5,E/en,0.406666
1,5,H/jap,0.716214
1,5,E/jap,0.686339
1,5,H/sent,0.529315
1,5,E/sent,0.489804
1,6,H/en,0.959595
1,6,E/en,0.150880
1,6,H/jap,1.190072
1,6,E/jap,0.214552
1,6,H/sent,0.620176
1,6,E/sent,0.372700
1,7,H/en,0.917424
1,7,E/en,0.918870
1,7,H/jap,0.818291
1,7,E/jap,0.689817
1,7,H/sent,0.658032
1,7,E/sent,0.671767
1,8,H/en,0.549252
1,8,E/en,0.365361
1,8,H/jap,0.605824
1,8,E/jap,0.340555
1,8,H/sent,0.415460
1,8,E/sent,0.285091
1,9,H/en,1.449637
1,9,E/en,1.027835
1,9,H/jap,1.550719
1,9,E/jap,0.978690
1,9,H/sent,1.499766
1,9,E/sent,1.056638
1,10,H/en,0.788771
1,10,E/en,0.834901
1,10,H/jap,0.707605
1,10,E/jap,0.715601
1,10,H/sent,0.673508
1,10,E/sent,0.713973
1,11,H/en,0.676839
1,11,E/en,0.183361
1,11,H/jap,0.587814
1,11,E/jap,0.218320
1,11,H/sent,0.464735
1,11,E/sent,0.085924
1,12,H/en,0.355352
1,12,E/en,0.389027
1,12,H/jap,0.327715
1,12,E/jap,0.246378
1,12,H/sent,0.273942
1,12,E/sent,0.287712
1,13,H/en,1.078133
1,13,E/en,0.847719
1,13,H/jap,0.895822
1,13,E/jap,0.739460
1,13,H/sent,0.520967
1,13,E/sent,0.582022
1,14,H/en,0.866446
1,14,E/en,0.711313
1,14,H/jap,0.905257
1,14,E/jap,0.735633
1,14,H/sent,0.727539
1,14,E/sent,0.625969
1,15,H/en,0.434844
1,15,E/en,0.544230
1,15,H/jap,0.473387
1,15,E/jap,0.528157
1,15,H/sent,0.324466
1,15,E/sent,0.492053
1,16,H/en,0.168956
1,16,E/en,0.311283
1,16,H/jap,0.425678
1,16,E/jap,0.422548
1,16,H/sent,-0.060037
1,16,E/sent,0.184793
1,17,H/en,0.661383
1,17,E/en,0.760174
1,17,H/jap,0.690378
1,17,E/jap,0.790147
1,17,H/sent,0.525231
1,17,E/sent,0.611521
1,18,H/en,0.978671
1,18,E/en,1.030783
1,18,H/jap,1.090364
1,18,E/jap,1.072345
1,18,H/sent,1.137315
1,18,E/sent,0.966406
1,19,H/en,1.133023
1,19,E/en,0.842798
1,19,H/jap,1.117889
1,19,E/jap,0.937959
1,19,H/sent,1.196960
1,19,E/sent,1.228245
1,20,H/en,0.562041
1,20,E/en,0.183256
1,20,H/jap,0.484709
1,20,E/jap,0.097077
1,20,H/sent,0.570110
1,20,E/sent,0.175702
1,21,H/en,1.318393
1,21,E/en,1.225955
1,21,H/jap,1.350699
1,21,E/jap,1.257151
1,21,H/sent,1.107275
1,21,E/sent,1.070710
1,22,H/en,1.211763
1,22,E/en,0.716471
1,22,H/jap,1.128048
1,22,E/jap,0.865949
1,22,H/sent,1.085190
1,22,E/sent,0.885371
1,23,H/en,0.660641
1,23,E/en,0.709984
1,23,H/jap,0.496673
1,23,E/jap,0.526993
1,23,H/sent,0.024779
1,23,E/sent,0.044703
1,24,H/en,0.497745
1,24,E/en,0.658811
1,24,H/jap,0.524377
1,24,E/jap,0.760411
1,24,H/sent,0.264237
1,24,E/sent,0.255767
1,25,H/en,0.390562
1,25,E/en,0.854308
1,25,H/jap,0.227824
1,25,E/jap,0.812041
1,25,H/sent,0.163757
1,25,E/sent,0.684415
