ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,1.104651
1,1,E/S,1.453631
1,1,H/N,1.294923
1,1,E/N,1.192415
1,2,H/S,1.218261
1,2,E/S,1.257863
1,2,H/N,0.349100
1,2,E/N,0.360144
1,3,H/S,1.008233
1,3,E/S,1.940025
1,3,H/N,0.942915
1,3,E/N,1.490615
1,4,H/S,0.482175
1,4,E/S,0.688374
1,4,H/N,0.896811
1,4,E/N,0.941309
1,5,H/S,0.848705
1,5,E/S,0.810952
1,5,H/N,0.701516
1,5,E/N,0.736721
1,6,H/S,0.384855
1,6,E/S,0.386197
1,6,H/N,0.239689
1,6,E/N,0.497323
1,7,H/S,0.539914
1,7,E/S,0.556851
1,7,H/N,0.661953
1,7,E/N,0.569858
1,8,H/S,-0.392225
1,8,E/S,0.028825
1,8,H/N,0.306997
1,8,E/N,0.505726
1,9,H/S,-0.412388
1,9,E/S,-0.274557
1,9,H/N,-0.184435
1,9,E/N,-0.050910
1,10,H/S,0.669738
1,10,E/S,0.994279
1,10,H/N,1.153067
1,10,E/N,1.163061
1,11,H/S,0.838623
1,11,E/S,1.142978
1,11,H/N,1.202171
1,11,E/N,1.212424
1,12,H/S,0.422010
1,12,E/S,0.527741
1,12,H/N,0.996722
1,12,E/N,1.027272
1,13,H/S,1.518415
1,13,E/S,1.361247
1,13,H/N,1.447946
1,13,E/N,1.288698
1,14,H/S,0.204008
1,14,E/S,0.108048
1,14,H/N,0.500007
1,14,E/N,0.303631
1,15,H/S,1.593570
1,15,E/S,1.460450
1,15,H/N,1.896277
1,15,E/N,1.682774
1,16,H/S,-0.305567
1,16,E/S,-0.299347
1,16,H/N,-0.231197
1,16,E/N,-0.355920
1,17,H/S,1.886150
1,17,E/S,1.792229
1,17,H/N,1.737874
1,17,E/N,1.620312
1,18,H/S,0.173465
1,18,E/S,-0.064421
1,18,H/N,-0.013276
1,18,E/N,-0.184425
1,19,H/S,0.467767
1,19,E/S,0.551747
1,19,H/N,0.210207
1,19,E/N,0.283297
1,20,H/S,0.048035
1,20,E/S,-0.266080
1,20,H/N,0.374982
1,20,E/N,0.103358
1,21,H/S,0.387904
1,21,E/S,0.238462
1,21,H/N,0.036387
1,21,E/N,-0.186611
1,22,H/S,0.406183
1,22,E/S,-0.563767
1,22,H/N,0.479941
1,22,E/N,-0.586106
1,23,H/S,0.869588
1,23,E/S,0.956693
1,23,H/N,0.398916
1,23,E/N,0.533332
1,24,H/S,0.596677
1,24,E/S,0.858860
1,24,H/N,0.808604
1,24,E/N,0.833164
1,25,H/S,0.011412
1,25,E/S,-0.193817
1,25,H/N,0.608707
1,25,E/N,-0.381964
