ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,1.632486
1,1,E/H,1.039683
1,1,H/E,1.039683
1,1,E/E,0.555126
1,2,H/H,1.119983
1,2,E/H,0.738877
1,2,H/E,0.738877
1,2,E/E,0.439012
1,3,H/H,1.393419
1,3,E/H,0.782913
1,3,H/E,0.782913
1,3,E/E,0.519109
1,4,H/H,0.866874
1,4,E/H,0.580604
1,4,H/E,0.580604
1,4,E/E,0.515599
1,5,H/H,1.212664
1,5,E/H,1.221414
1,5,H/E,1.221414
1,5,E/E,1.331671
1,6,H/H,1.442752
1,6,E/H,1.071775
1,6,H/E,1.071775
1,6,E/E,0.892022
1,7,H/H,1.157883
1,7,E/H,0.968771
1,7,H/E,0.968771
1,7,E/E,0.819213
1,8,H/H,0.791058
1,8,E/H,0.653167
1,8,H/E,0.653167
1,8,E/E,0.112499
1,9,H/H,0.882897
1,9,E/H,0.820962
1,9,H/E,0.820962
1,9,E/E,0.758492
1,10,H/H,1.058845
1,10,E/H,0.969563
1,10,H/E,0.969563
1,10,E/E,0.931196
1,11,H/H,0.901470
1,11,E/H,0.714232
1,11,H/E,0.714232
1,11,E/E,0.664429
1,12,H/H,1.506536
1,12,E/H,1.333628
1,12,H/E,1.333628
1,12,E/E,1.568512
1,13,H/H,0.272855
1,13,E/H,-0.298764
1,13,H/E,-0.298764
1,13,E/E,-0.223019
1,14,H/H,1.510643
1,14,E/H,1.422047
1,14,H/E,1.422047
1,14,E/E,1.447920
1,15,H/H,0.620965
1,15,E/H,0.368246
1,15,H/E,0.368246
1,15,E/E,0.128756
1,16,H/H,0.983364
1,16,E/H,0.864841
1,16,H/E,0.864841
1,16,E/E,0.773997
1,17,H/H,0.408091
1,17,E/H,0.301422
1,17,H/E,0.301422
1,17,E/E,0.198993
1,18,H/H,1.271242
1,18,E/H,1.141301
1,18,H/E,1.141301
1,18,E/E,1.017317
1,19,H/H,2.011268
1,19,E/H,1.905981
1,19,H/E,1.905981
1,19,E/E,2.000386
1,20,H/H,1.886715
1,20,E/H,1.627198
1,20,H/E,1.627198
1,20,E/E,1.671293
1,21,H/H,1.143010
1,21,E/H,1.036796
1,21,H/E,1.036796
1,21,E/E,1.027888
1,22,H/H,1.116857
1,22,E/H,0.723089
1,22,H/E,0.723089
1,22,E/E,0.796802
1,23,H/H,1.226677
1,23,E/H,0.877521
1,23,H/E,0.877521
1,23,E/E,0.524698
1,24,H/H,1.530510
1,24,E/H,0.734742
1,24,H/E,0.734742
1,24,E/E,0.200262
1,25,H/H,0.510400
1,25,E/H,0.558636
1,25,H/E,0.558636
1,25,E/E,0.789378
