ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,1.397757
1,1,jap/en,1.341285
1,1,sent/en,1.204108
1,1,en/jap,1.323416
1,1,jap/jap,1.351868
1,1,sent/jap,1.010853
1,1,en/sent,1.028709
1,1,jap/sent,0.890072
1,1,sent/sent,1.864767
1,2,en/en,1.304046
1,2,jap/en,1.304273
1,2,sent/en,0.907745
1,2,en/jap,1.260450
1,2,jap/jap,1.316786
1,2,sent/jap,0.854137
1,2,en/sent,1.028642
1,2,jap/sent,0.967037
1,2,sent/sent,0.978586
1,3,en/en,1.929836
1,3,jap/en,2.389557
1,3,sent/en,2.108907
1,3,en/jap,1.981010
1,3,jap/jap,2.447687
1,3,sent/jap,2.124748
1,3,en/sent,1.892777
1,3,jap/sent,2.277990
1,3,sent/sent,2.204583
1,4,en/en,0.733897
1,4,jap/en,0.857789
1,4,sent/en,0.661276
1,4,en/jap,0.813590
1,4,jap/jap,0.977210
1,4,sent/jap,0.682632
1,4,en/sent,0.675654
1,4,jap/sent,0.765402
1,4,sent/sent,0.726971
1,5,en/en,0.514683
1,5,jap/en,0.595373
1,5,sent/en,0.556500
1,5,en/jap,0.521463
1,5,jap/jap,0.586812
1,5,sent/jap,0.617589
1,5,en/sent,0.445262
1,5,jap/sent,0.548054
1,5,sent/sent,0.668807
1,6,en/en,2.048664
1,6,jap/en,2.101414
1,6,sent/en,1.810005
1,6,en/jap,2.044335
1,6,jap/jap,2.086591
1,6,sent/jap,1.818681
1,6,en/sent,1.822505
1,6,jap/sent,1.874963
1,6,sent/sent,1.966091
1,7,en/en,1.172475
1,7,jap/en,1.158209
1,7,sent/en,1.111688
1,7,en/jap,1.171792
1,7,jap/jap,1.140735
1,7,sent/jap,1.107304
1,7,en/sent,1.037157
1,7,jap/sent,1.030657
1,7,sent/sent,1.392600
1,8,en/en,0.669946
1,8,jap/en,0.829944
1,8,sent/en,0.871912
1,8,en/jap,0.690314
1,8,jap/jap,0.848839
1,8,sent/jap,0.987407
1,8,en/sent,0.609855
1,8,jap/sent,0.818537
1,8,sent/sent,1.338744
1,9,en/en,1.289258
1,9,jap/en,1.397501
1,9,sent/en,1.326638
1,9,en/jap,1.307642
1,9,jap/jap,1.381837
1,9,sent/jap,1.317976
1,9,en/sent,1.279906
1,9,jap/sent,1.353137
1,9,sent/sent,1.312643
1,10,en/en,1.376057
1,10,jap/en,1.148613
1,10,sent/en,1.088828
1,10,en/jap,1.315790
1,10,jap/jap,1.140768
1,10,sent/jap,0.967335
1,10,en/sent,1.134116
1,10,jap/sent,0.885381
1,10,sent/sent,1.267965
1,11,en/en,1.276950
1,11,jap/en,1.267684
1,11,sent/en,1.236306
1,11,en/jap,1.189977
1,11,jap/jap,1.258241
