ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,2.236796
1,1,jap/en,2.046227
1,1,sent/en,1.441281
1,1,en/jap,2.158146
1,1,jap/jap,2.024797
1,1,sent/jap,1.300217
1,1,en/sent,1.366861
1,1,jap/sent,1.213690
1,1,sent/sent,2.229078
1,2,en/en,1.978033
1,2,jap/en,1.771043
1,2,sent/en,1.821325
1,2,en/jap,1.990882
1,2,jap/jap,1.891224
1,2,sent/jap,1.716785
1,2,en/sent,1.838019
1,2,jap/sent,1.656899
1,2,sent/sent,2.019026
1,3,en/en,1.860310
1,3,jap/en,2.175589
1,3,sent/en,2.024660
1,3,en/jap,1.906992
1,3,jap/jap,2.214884
1,3,sent/jap,2.004925
1,3,en/sent,1.867207
1,3,jap/sent,2.178410
1,3,sent/sent,2.023945
1,4,en/en,1.253681
1,4,jap/en,1.273498
1,4,sent/en,1.403620
1,4,en/jap,1.267949
1,4,jap/jap,1.291803
1,4,sent/jap,1.511758
1,4,en/sent,1.265474
1,4,jap/sent,1.296990
1,4,sent/sent,1.610142
1,5,en/en,1.783423
1,5,jap/en,1.983813
1,5,sent/en,2.142492
1,5,en/jap,1.813334
1,5,jap/jap,1.957932
1,5,sent/jap,2.155661
1,5,en/sent,1.798184
1,5,jap/sent,1.991337
1,5,sent/sent,2.172767
1,6,en/en,1.502300
1,6,jap/en,1.320994
1,6,sent/en,1.424569
1,6,en/jap,1.464734
1,6,jap/jap,1.317390
1,6,sent/jap,1.291979
1,6,en/sent,1.463597
1,6,jap/sent,1.199508
1,6,sent/sent,1.572599
1,7,en/en,1.074368
1,7,jap/en,1.160622
1,7,sent/en,1.120076
1,7,en/jap,1.073561
1,7,jap/jap,1.154213
1,7,sent/jap,1.138955
1,7,en/sent,1.026219
1,7,jap/sent,1.130998
1,7,sent/sent,1.165413
1,8,en/en,1.079241
1,8,jap/en,1.044753
1,8,sent/en,0.875615
1,8,en/jap,1.081348
1,8,jap/jap,1.062743
1,8,sent/jap,0.824860
1,8,en/sent,0.869536
1,8,jap/sent,0.861610
1,8,sent/sent,1.295396
1,9,en/en,0.766927
1,9,jap/en,0.748114
1,9,sent/en,0.874182
1,9,en/jap,0.820944
1,9,jap/jap,0.822901
1,9,sent/jap,0.869245
1,9,en/sent,0.781341
1,9,jap/sent,0.711940
1,9,sent/sent,0.858099
1,10,en/en,0.506474
1,10,jap/en,0.714756
1,10,sent/en,0.620308
1,10,en/jap,0.576277
1,10,jap/jap,0.886137
1,10,sent/jap,0.581885
1,10,en/sent,0.533373
1,10,jap/sent,0.647641
1,10,sent/sent,0.632689
1,11,en/en,1.458330
1,11,jap/en,1.516648
1,11,sent/en,1.516521
1,11,en/jap,1.457770
1,11,jap/jap,1.491296
1,11,sent/jap,1.396019
1,11,en/sent,1.434349
1,11,jap/sent,1.370265
1,11,sent/sent,1.623430
1,12,en/en,1.482235
1,12,jap/en,1.522047
1,12,sent/en,1.408456
1,12,en/jap,1.443007
1,12,jap/jap,1.506261
1,12,sent/jap,1.347001
1,12,en/sent,1.405327
1,12,jap/sent,1.253214
1,12,sent/sent,1.602541
1,13,en/en,1.346016
1,13,jap/en,1.421726
1,13,sent/en,1.093166
1,13,en/jap,1.333704
1,13,jap/jap,1.395396
1,13,sent/jap,1.049228
1,13,en/sent,1.304876
1,13,jap/sent,1.305029
1,13,sent/sent,1.073812
1,14,en/en,1.294864
1,14,jap/en,1.483159
1,14,sent/en,1.186393
1,14,en/jap,1.329175
1,14,jap/jap,1.485397
1,14,sent/jap,1.209971
1,14,en/sent,1.189930
1,14,jap/sent,1.268620
1,14,sent/sent,1.268930
