ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/S,0.695753
1,1,jap/S,0.532298
1,1,sent/S,1.399881
1,1,en/N,1.448914
1,1,jap/N,1.417893
1,1,sent/N,0.711767
1,2,en/S,0.912664
1,2,jap/S,1.331875
1,2,sent/S,0.790326
1,2,en/N,0.517611
1,2,jap/N,0.684275
1,2,sent/N,0.381064
1,3,en/S,0.913982
1,3,jap/S,0.852110
1,3,sent/S,1.225800
1,3,en/N,0.460353
1,3,jap/N,0.519311
1,3,sent/N,0.185523
1,4,en/S,0.348332
1,4,jap/S,0.497727
1,4,sent/S,1.009205
1,4,en/N,0.521047
1,4,jap/N,0.572536
1,4,sent/N,0.432025
1,5,en/S,0.778487
1,5,jap/S,0.958311
1,5,sent/S,1.017508
1,5,en/N,0.653096
1,5,jap/N,0.742578
1,5,sent/N,0.648812
1,6,en/S,1.338757
1,6,jap/S,1.250136
1,6,sent/S,1.407838
1,6,en/N,1.079390
1,6,jap/N,0.974292
1,6,sent/N,1.073583
1,7,en/S,1.368001
1,7,jap/S,1.323938
1,7,sent/S,1.502108
1,7,en/N,1.335427
1,7,jap/N,1.340904
1,7,sent/N,1.312270
1,8,en/S,1.321093
1,8,jap/S,1.362230
1,8,sent/S,1.495597
1,8,en/N,1.248137
1,8,jap/N,1.363184
1,8,sent/N,1.065974
1,9,en/S,0.409160
1,9,jap/S,0.475748
1,9,sent/S,0.772408
1,9,en/N,-0.226251
1,9,jap/N,-0.414061
1,9,sent/N,-0.465565
1,10,en/S,0.437255
1,10,jap/S,0.366738
1,10,sent/S,1.259274
1,10,en/N,0.378580
1,10,jap/N,0.500705
1,10,sent/N,0.660654
1,11,en/S,0.836417
1,11,jap/S,0.608066
1,11,sent/S,1.387448
1,11,en/N,0.844345
1,11,jap/N,0.803206
1,11,sent/N,0.820211
1,12,en/S,0.755163
1,12,jap/S,0.698392
1,12,sent/S,1.144231
1,12,en/N,0.475750
1,12,jap/N,0.488251
1,12,sent/N,0.742048
1,13,en/S,1.540264
1,13,jap/S,1.639427
1,13,sent/S,1.636251
1,13,en/N,1.263039
1,13,jap/N,1.384766
1,13,sent/N,1.156229
1,14,en/S,1.687699
1,14,jap/S,1.892937
1,14,sent/S,1.944289
1,14,en/N,1.466211
1,14,jap/N,1.740925
1,14,sent/N,1.317518
1,15,en/S,-0.018035
1,15,jap/S,-0.021785
1,15,sent/S,-0.184012
1,15,en/N,0.111825
1,15,jap/N,0.104250
1,15,sent/N,-0.143413
1,16,en/S,1.238474
1,16,jap/S,1.376604
1,16,sent/S,1.343537
1,16,en/N,1.105460
1,16,jap/N,1.259610
1,16,sent/N,1.100543
1,17,en/S,1.095583
1,17,jap/S,1.179870
1,17,sent/S,1.166710
1,17,en/N,0.993200
1,17,jap/N,1.103534
1,17,sent/N,0.965675
1,18,en/S,1.396991
1,18,jap/S,1.143216
1,18,sent/S,1.464804
1,18,en/N,1.082128
1,18,jap/N,0.955175
1,18,sent/N,0.796343
1,19,en/S,1.219239
1,19,jap/S,1.158164
1,19,sent/S,1.600492
1,19,en/N,0.852985
1,19,jap/N,0.857266
1,19,sent/N,0.848078
1,20,en/S,1.079696
1,20,jap/S,0.951855
1,20,sent/S,1.195446
1,20,en/N,0.390179
1,20,jap/N,0.340018
1,20,sent/N,0.390663
1,21,en/S,1.298713
1,21,jap/S,1.193407
1,21,sent/S,1.457809
1,21,en/N,1.081466
1,21,jap/N,1.023437
1,21,sent/N,1.005076
1,22,en/S,0.890432
1,22,jap/S,0.762572
1,22,sent/S,1.090494
1,22,en/N,0.741376
1,22,jap/N,0.744625
1,22,sent/N,0.746577
1,23,en/S,0.449682
1,23,jap/S,0.286248
1,23,sent/S,0.922095
1,23,en/N,0.418095
1,23,jap/N,0.310957
1,23,sent/N,0.596468
1,24,en/S,0.715022
1,24,jap/S,0.858274
1,24,sent/S,1.109619
1,24,en/N,0.872409
1,24,jap/N,0.955682
1,24,sent/N,0.740679
1,25,en/S,1.490428
1,25,jap/S,1.469797
1,25,sent/S,1.778333
1,25,en/N,1.435287
1,25,jap/N,1.399451
1,25,sent/N,1.425094
