ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,0.596784
1,1,jap/H,0.542198
1,1,sent/H,0.531477
1,1,en/E,0.912362
1,1,jap/E,0.934151
1,1,sent/E,0.477168
1,2,en/H,-0.248821
1,2,jap/H,-0.395813
1,2,sent/H,-0.373305
1,2,en/E,0.220761
1,2,jap/E,0.150132
1,2,sent/E,-0.069801
1,3,en/H,0.071334
1,3,jap/H,0.024689
1,3,sent/H,-0.357305
1,3,en/E,0.126978
1,3,jap/E,0.048942
1,3,sent/E,-0.225104
1,4,en/H,-0.079717
1,4,jap/H,-0.096553
1,4,sent/H,-0.023943
1,4,en/E,0.228512
1,4,jap/E,0.327822
1,4,sent/E,0.014173
1,5,en/H,0.357675
1,5,jap/H,0.459304
1,5,sent/H,0.306070
1,5,en/E,0.488975
1,5,jap/E,0.647899
1,5,sent/E,0.513149
1,6,en/H,0.377418
1,6,jap/H,0.501841
1,6,sent/H,0.440025
1,6,en/E,0.404543
1,6,jap/E,0.528385
1,6,sent/E,0.471555
1,7,en/H,-0.134541
1,7,jap/H,-0.130515
1,7,sent/H,-0.305880
1,7,en/E,-0.097392
1,7,jap/E,-0.099891
1,7,sent/E,-0.237222
1,8,en/H,0.351028
1,8,jap/H,0.336941
1,8,sent/H,0.254216
1,8,en/E,0.582897
1,8,jap/E,0.541185
1,8,sent/E,0.485740
1,9,en/H,-0.018692
1,9,jap/H,-0.198889
1,9,sent/H,-0.380214
1,9,en/E,0.113451
1,9,jap/E,0.064212
1,9,sent/E,-0.021583
1,10,en/H,0.106125
1,10,jap/H,0.094343
1,10,sent/H,-0.353234
1,10,en/E,0.106162
1,10,jap/E,0.134164
1,10,sent/E,-0.219520
1,11,en/H,0.446956
1,11,jap/H,0.606443
1,11,sent/H,0.149686
1,11,en/E,0.112602
1,11,jap/E,0.269324
1,11,sent/E,-0.095149
1,12,en/H,0.431174
1,12,jap/H,0.473804
1,12,sent/H,0.310480
1,12,en/E,0.257284
1,12,jap/E,0.319908
1,12,sent/E,0.205221
1,13,en/H,1.182574
1,13,jap/H,1.176851
1,13,sent/H,1.027626
1,13,en/E,1.182814
1,13,jap/E,1.162231
1,13,sent/E,1.005376
1,14,en/H,-0.229757
1,14,jap/H,-0.250634
1,14,sent/H,-0.394925
1,14,en/E,-0.219234
1,14,jap/E,-0.250888
1,14,sent/E,-0.373384
1,15,en/H,0.730468
1,15,jap/H,0.727629
1,15,sent/H,0.370865
1,15,en/E,0.623049
1,15,jap/E,0.617794
1,15,sent/E,0.306001
1,16,en/H,-0.003229
1,16,jap/H,0.009940
1,16,sent/H,-0.051662
1,16,en/E,0.102182
1,16,jap/E,0.118676
1,16,sent/E,0.060163
1,17,en/H,0.325410
1,17,jap/H,0.422247
1,17,sent/H,0.291174
1,17,en/E,0.564722
1,17,jap/E,0.672281
1,17,sent/E,0.520448
1,18,en/H,-0.664842
1,18,jap/H,-0.499457
1,18,sent/H,-0.988319
1,18,en/E,-0.518603
1,18,jap/E,-0.377668
1,18,sent/E,-0.879741
1,19,en/H,0.185321
1,19,jap/H,0.243027
1,19,sent/H,-0.003276
1,19,en/E,0.306003
1,19,jap/E,0.359141
1,19,sent/E,0.135523
1,20,en/H,0.007847
1,20,jap/H,0.065446
1,20,sent/H,-0.250009
1,20,en/E,-0.013811
1,20,jap/E,0.027231
1,20,sent/E,-0.266992
1,21,en/H,0.353080
1,21,jap/H,0.395334
1,21,sent/H,0.177619
1,21,en/E,0.550833
1,21,jap/E,0.574143
1,21,sent/E,0.385535
1,22,en/H,0.758603
1,22,jap/H,0.778506
1,22,sent/H,0.502972
1,22,en/E,0.834795
1,22,jap/E,0.871684
1,22,sent/E,0.603854
1,23,en/H,0.371611
1,23,jap/H,0.568478
1,23,sent/H,-0.067535
1,23,en/E,0.358095
1,23,jap/E,0.534906
1,23,sent/E,-0.023234
1,24,en/H,0.439731
1,24,jap/H,0.340226
1,24,sent/H,0.169380
1,24,en/E,0.504081
1,24,jap/E,0.412052
1,24,sent/E,0.210673
1,25,en/H,0.378821
1,25,jap/H,0.350860
1,25,sent/H,0.285205
1,25,en/E,0.406174
1,25,jap/E,0.349937
1,25,sent/E,0.313413
