ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,0.987266
1,1,jap/H,0.908315
1,1,sent/H,0.946656
1,1,en/E,0.713161
1,1,jap/E,0.750873
1,1,sent/E,0.585214
1,2,en/H,0.176432
1,2,jap/H,0.109250
1,2,sent/H,-0.077497
1,2,en/E,0.439607
1,2,jap/E,0.364618
1,2,sent/E,0.166595
1,3,en/H,0.876090
1,3,jap/H,0.635699
1,3,sent/H,0.464141
1,3,en/E,1.190962
1,3,jap/E,0.582363
1,3,sent/E,0.533029
1,4,en/H,0.873032
1,4,jap/H,-0.032435
1,4,sent/H,0.030880
1,4,en/E,0.819139
1,4,jap/E,-0.176595
1,4,sent/E,-0.118439
1,5,en/H,0.147532
1,5,jap/H,0.015610
1,5,sent/H,-0.373673
1,5,en/E,0.112291
1,5,jap/E,-0.210475
1,5,sent/E,-0.312934
1,6,en/H,0.589989
1,6,jap/H,0.555745
1,6,sent/H,0.303607
1,6,en/E,0.050678
1,6,jap/E,-0.013908
1,6,sent/E,-0.170387
1,7,en/H,0.347350
1,7,jap/H,0.651245
1,7,sent/H,-0.456106
1,7,en/E,0.323247
1,7,jap/E,0.627470
1,7,sent/E,-0.289780
1,8,en/H,-0.117696
1,8,jap/H,-0.256243
1,8,sent/H,-0.218181
1,8,en/E,-0.433074
1,8,jap/E,-0.523413
1,8,sent/E,-0.342143
1,9,en/H,0.323320
1,9,jap/H,0.224339
1,9,sent/H,0.225363
1,9,en/E,0.391574
1,9,jap/E,0.318332
1,9,sent/E,0.308266
1,10,en/H,0.372542
1,10,jap/H,0.254705
1,10,sent/H,-0.207369
1,10,en/E,0.014622
1,10,jap/E,-0.076728
1,10,sent/E,-0.455673
1,11,en/H,-0.069815
1,11,jap/H,-0.356929
1,11,sent/H,-0.079052
1,11,en/E,-0.488400
1,11,jap/E,-0.367551
1,11,sent/E,-0.493546
1,12,en/H,0.788188
1,12,jap/H,0.574775
1,12,sent/H,0.333598
1,12,en/E,0.655055
1,12,jap/E,0.373630
1,12,sent/E,0.228532
1,13,en/H,0.053919
1,13,jap/H,0.062138
1,13,sent/H,0.032682
1,13,en/E,0.074989
1,13,jap/E,0.027658
1,13,sent/E,0.119606
1,14,en/H,-1.230163
1,14,jap/H,-1.302384
1,14,sent/H,-1.347911
1,14,en/E,-1.167366
1,14,jap/E,-1.190199
1,14,sent/E,-1.221326
1,15,en/H,0.044462
1,15,jap/H,-0.265948
1,15,sent/H,-1.077038
1,15,en/E,0.079029
1,15,jap/E,-0.255991
1,15,sent/E,-1.003972
1,16,en/H,-0.006403
1,16,jap/H,-0.232829
1,16,sent/H,0.483839
1,16,en/E,0.212572
1,16,jap/E,0.150998
1,16,sent/E,0.371458
1,17,en/H,1.247859
1,17,jap/H,1.638774
1,17,sent/H,1.057895
1,17,en/E,1.306277
1,17,jap/E,1.704558
1,17,sent/E,1.083465
1,18,en/H,-0.569669
1,18,jap/H,-0.468228
1,18,sent/H,-0.618189
1,18,en/E,-0.480335
1,18,jap/E,-0.429434
1,18,sent/E,-0.591034
1,19,en/H,0.154822
1,19,jap/H,0.190243
1,19,sent/H,-0.226041
1,19,en/E,0.218469
1,19,jap/E,0.265771
1,19,sent/E,-0.128149
1,20,en/H,0.548840
1,20,jap/H,0.697551
1,20,sent/H,0.015817
1,20,en/E,0.575629
1,20,jap/E,0.754923
1,20,sent/E,-0.005888
1,21,en/H,-1.306660
1,21,jap/H,-1.188823
1,21,sent/H,-1.636226
1,21,en/E,-1.222630
1,21,jap/E,-1.121766
1,21,sent/E,-1.118054
1,22,en/H,-0.562268
1,22,jap/H,-0.705332
1,22,sent/H,-0.877077
1,22,en/E,-0.266701
1,22,jap/E,-0.229401
1,22,sent/E,-0.280763
1,23,en/H,0.128577
1,23,jap/H,0.273971
1,23,sent/H,-0.335236
1,23,en/E,-0.007675
1,23,jap/E,0.092953
1,23,sent/E,-0.383272
1,24,en/H,0.754899
1,24,jap/H,0.865303
1,24,sent/H,0.083313
1,24,en/E,0.980900
1,24,jap/E,1.011022
1,24,sent/E,0.132848
1,25,en/H,-0.123930
1,25,jap/H,-0.063519
1,25,sent/H,-0.266738
1,25,en/E,-0.704688
1,25,jap/E,-0.650600
1,25,sent/E,-0.795340
