ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,-0.193974
1,1,N/en,0.342812
1,1,S/jap,-0.249902
1,1,N/jap,0.387303
1,1,S/sent,-0.029519
1,1,N/sent,0.191924
1,2,S/en,0.444121
1,2,N/en,0.272519
1,2,S/jap,0.296569
1,2,N/jap,0.090759
1,2,S/sent,1.182589
1,2,N/sent,0.746649
1,3,S/en,1.414586
1,3,N/en,1.150469
1,3,S/jap,1.369754
1,3,N/jap,1.282884
1,3,S/sent,1.756961
1,3,N/sent,0.947682
1,4,S/en,-0.004518
1,4,N/en,-0.001690
1,4,S/jap,0.153065
1,4,N/jap,-0.036558
1,4,S/sent,0.612902
1,4,N/sent,0.054887
1,5,S/en,0.419759
1,5,N/en,-0.083805
1,5,S/jap,0.383463
1,5,N/jap,0.006518
1,5,S/sent,0.754335
1,5,N/sent,-0.070850
1,6,S/en,0.600106
1,6,N/en,0.746267
1,6,S/jap,0.573349
1,6,N/jap,0.711088
1,6,S/sent,1.073140
1,6,N/sent,0.853886
1,7,S/en,0.761345
1,7,N/en,0.567020
1,7,S/jap,0.782993
1,7,N/jap,0.791811
1,7,S/sent,0.847496
1,7,N/sent,0.408467
1,8,S/en,-0.071858
1,8,N/en,0.374321
1,8,S/jap,0.208773
1,8,N/jap,0.548216
1,8,S/sent,0.251253
1,8,N/sent,0.352975
1,9,S/en,-0.059243
1,9,N/en,0.781918
1,9,S/jap,0.056295
1,9,N/jap,0.982740
1,9,S/sent,0.340939
1,9,N/sent,0.466767
1,10,S/en,0.045479
1,10,N/en,0.414247
1,10,S/jap,0.063361
1,10,N/jap,0.470844
1,10,S/sent,0.700701
1,10,N/sent,0.659381
1,11,S/en,0.389512
1,11,N/en,0.299076
1,11,S/jap,-0.094166
1,11,N/jap,0.142935
1,11,S/sent,0.310572
1,11,N/sent,-0.158293
1,12,S/en,0.295940
1,12,N/en,0.273449
1,12,S/jap,0.257155
1,12,N/jap,0.197624
1,12,S/sent,0.391926
1,12,N/sent,0.221444
1,13,S/en,0.648486
1,13,N/en,0.748420
1,13,S/jap,0.460776
1,13,N/jap,0.491551
1,13,S/sent,1.166453
1,13,N/sent,0.306088
1,14,S/en,0.874241
1,14,N/en,0.357133
1,14,S/jap,1.026982
1,14,N/jap,0.548141
1,14,S/sent,0.785172
1,14,N/sent,0.212314
1,15,S/en,-0.220984
1,15,N/en,0.438869
1,15,S/jap,0.130396
1,15,N/jap,0.295303
1,15,S/sent,-0.099187
1,15,N/sent,0.042273
1,16,S/en,1.557752
1,16,N/en,1.448026
1,16,S/jap,1.660303
1,16,N/jap,1.541320
1,16,S/sent,1.652834
1,16,N/sent,1.206811
1,17,S/en,0.669606
1,17,N/en,0.325811
1,17,S/jap,0.575548
1,17,N/jap,0.300550
1,17,S/sent,0.865178
1,17,N/sent,0.333731
1,18,S/en,1.050695
1,18,N/en,0.195098
1,18,S/jap,0.796647
1,18,N/jap,0.132507
1,18,S/sent,1.258594
1,18,N/sent,0.133653
1,19,S/en,1.397558
1,19,N/en,1.132595
1,19,S/jap,1.305090
1,19,N/jap,1.202097
1,19,S/sent,1.704445
1,19,N/sent,0.634639
1,20,S/en,0.396017
1,20,N/en,-0.141088
1,20,S/jap,0.271179
1,20,N/jap,0.150306
1,20,S/sent,0.759296
1,20,N/sent,-0.211244
1,21,S/en,0.664059
1,21,N/en,0.131201
1,21,S/jap,0.398705
1,21,N/jap,0.112183
1,21,S/sent,1.002848
1,21,N/sent,0.034188
1,22,S/en,0.067692
1,22,N/en,0.122843
1,22,S/jap,-0.012860
1,22,N/jap,0.329085
1,22,S/sent,0.635113
1,22,N/sent,-0.134923
1,23,S/en,0.346603
1,23,N/en,0.481487
1,23,S/jap,0.014659
1,23,N/jap,0.275477
1,23,S/sent,1.295635
1,23,N/sent,0.582083
1,24,S/en,0.574609
1,24,N/en,0.687159
1,24,S/jap,0.781352
1,24,N/jap,0.791610
1,24,S/sent,0.873601
1,24,N/sent,0.601677
1,25,S/en,0.159437
1,25,N/en,0.561229
1,25,S/jap,0.049186
1,25,N/jap,0.497718
1,25,S/sent,0.975775
1,25,N/sent,0.611739
