ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,0.567052
1,1,N/en,0.356735
1,1,S/jap,0.278329
1,1,N/jap,0.123298
1,1,S/sent,0.890754
1,1,N/sent,0.591172
1,2,S/en,0.780994
1,2,N/en,0.372034
1,2,S/jap,0.947887
1,2,N/jap,0.527906
1,2,S/sent,1.296820
1,2,N/sent,0.754958
1,3,S/en,0.606124
1,3,N/en,0.652600
1,3,S/jap,0.964037
1,3,N/jap,0.686101
1,3,S/sent,0.762978
1,3,N/sent,0.547869
1,4,S/en,0.680231
1,4,N/en,0.250369
1,4,S/jap,0.331215
1,4,N/jap,0.282969
1,4,S/sent,0.953404
1,4,N/sent,0.683082
1,5,S/en,-0.223365
1,5,N/en,-0.245447
1,5,S/jap,0.288139
1,5,N/jap,0.319320
1,5,S/sent,0.093916
1,5,N/sent,-0.357454
1,6,S/en,1.096308
1,6,N/en,0.908053
1,6,S/jap,1.101209
1,6,N/jap,0.888520
1,6,S/sent,1.709809
1,6,N/sent,1.227726
1,7,S/en,0.200631
1,7,N/en,0.234186
1,7,S/jap,0.478983
1,7,N/jap,0.680680
1,7,S/sent,0.108922
1,7,N/sent,-0.065289
1,8,S/en,1.123302
1,8,N/en,1.342878
1,8,S/jap,0.986493
1,8,N/jap,1.115679
1,8,S/sent,0.778005
1,8,N/sent,0.861654
1,9,S/en,0.172944
1,9,N/en,-0.928035
1,9,S/jap,0.294357
1,9,N/jap,-0.746256
1,9,S/sent,0.256999
1,9,N/sent,-0.845512
1,10,S/en,-0.569883
1,10,N/en,-0.632624
1,10,S/jap,-0.405349
1,10,N/jap,-0.481533
1,10,S/sent,0.056654
1,10,N/sent,-0.071053
1,11,S/en,0.713478
1,11,N/en,0.855843
1,11,S/jap,0.409465
1,11,N/jap,0.584680
1,11,S/sent,1.108099
1,11,N/sent,0.852494
1,12,S/en,0.099852
1,12,N/en,0.018495
1,12,S/jap,-0.082193
1,12,N/jap,-0.239116
1,12,S/sent,0.199871
1,12,N/sent,0.063733
1,13,S/en,1.053369
1,13,N/en,0.838003
1,13,S/jap,0.982209
1,13,N/jap,0.832116
1,13,S/sent,1.176730
1,13,N/sent,0.705666
1,14,S/en,0.892627
1,14,N/en,0.683575
1,14,S/jap,0.833160
1,14,N/jap,0.631832
1,14,S/sent,0.772664
1,14,N/sent,0.570811
1,15,S/en,0.737416
1,15,N/en,0.607345
1,15,S/jap,0.534844
1,15,N/jap,0.362448
1,15,S/sent,-0.012136
1,15,N/sent,-0.257952
1,16,S/en,-1.084981
1,16,N/en,-0.455162
1,16,S/jap,-0.669359
1,16,N/jap,-0.347884
1,16,S/sent,-0.590906
1,16,N/sent,-1.358384
1,17,S/en,0.136151
1,17,N/en,0.289504
1,17,S/jap,0.017479
1,17,N/jap,0.231126
1,17,S/sent,0.262194
1,17,N/sent,0.235151
1,18,S/en,0.782114
1,18,N/en,0.215731
1,18,S/jap,0.844557
1,18,N/jap,0.196664
1,18,S/sent,1.163611
1,18,N/sent,0.389945
1,19,S/en,0.456442
1,19,N/en,0.598435
1,19,S/jap,0.691466
1,19,N/jap,0.442633
1,19,S/sent,0.933117
1,19,N/sent,-0.030934
1,20,S/en,-0.098305
1,20,N/en,0.269822
1,20,S/jap,-0.260411
1,20,N/jap,0.394305
1,20,S/sent,0.378285
1,20,N/sent,-0.175752
1,21,S/en,1.538021
1,21,N/en,1.415897
1,21,S/jap,1.354225
1,21,N/jap,1.402963
1,21,S/sent,2.017009
1,21,N/sent,1.126140
1,22,S/en,1.174583
1,22,N/en,1.072646
1,22,S/jap,1.414072
1,22,N/jap,1.330583
1,22,S/sent,1.030416
1,22,N/sent,0.861636
1,23,S/en,0.480044
1,23,N/en,0.538100
1,23,S/jap,0.266555
1,23,N/jap,0.484225
1,23,S/sent,1.185146
1,23,N/sent,0.713094
1,24,S/en,-0.244052
1,24,N/en,0.041050
1,24,S/jap,-0.361621
1,24,N/jap,0.137129
1,24,S/sent,0.449686
1,24,N/sent,0.029910
1,25,S/en,1.079993
1,25,N/en,0.681953
1,25,S/jap,0.719161
1,25,N/jap,0.521648
1,25,S/sent,0.879335
1,25,N/sent,0.368190
