ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,1.574236
1,1,N/S,1.218105
1,1,S/N,1.218105
1,1,N/N,1.239328
1,2,S/S,1.519058
1,2,N/S,0.878140
1,2,S/N,0.878140
1,2,N/N,0.906710
1,3,S/S,0.805987
1,3,N/S,0.859702
1,3,S/N,0.859702
1,3,N/N,1.035561
1,4,S/S,0.188183
1,4,N/S,-0.302694
1,4,S/N,-0.302694
1,4,N/N,-0.693010
1,5,S/S,1.136575
1,5,N/S,0.632378
1,5,S/N,0.632378
1,5,N/N,0.384280
1,6,S/S,1.539781
1,6,N/S,1.149477
1,6,S/N,1.149477
1,6,N/N,0.914277
1,7,S/S,1.080822
1,7,N/S,0.802119
1,7,S/N,0.802119
1,7,N/N,0.799667
1,8,S/S,1.306766
1,8,N/S,0.655568
1,8,S/N,0.655568
1,8,N/N,0.199484
1,9,S/S,0.993611
1,9,N/S,0.353685
1,9,S/N,0.353685
1,9,N/N,1.005313
1,10,S/S,1.793556
1,10,N/S,1.503150
1,10,S/N,1.503150
1,10,N/N,1.593742
1,11,S/S,1.172426
1,11,N/S,0.773318
1,11,S/N,0.773318
1,11,N/N,0.718043
1,12,S/S,1.198875
1,12,N/S,0.970674
1,12,S/N,0.970674
1,12,N/N,0.936524
1,13,S/S,1.059789
1,13,N/S,0.654271
1,13,S/N,0.654271
1,13,N/N,0.717666
1,14,S/S,1.416832
1,14,N/S,1.345405
1,14,S/N,1.345405
1,14,N/N,1.376771
1,15,S/S,0.354671
1,15,N/S,0.434319
1,15,S/N,0.434319
1,15,N/N,0.578028
1,16,S/S,0.597042
1,16,N/S,0.317601
1,16,S/N,0.317601
1,16,N/N,0.411867
1,17,S/S,0.550126
1,17,N/S,-0.171744
1,17,S/N,-0.171744
1,17,N/N,-0.499141
1,18,S/S,1.288779
1,18,N/S,0.600543
1,18,S/N,0.600543
1,18,N/N,0.509179
1,19,S/S,0.447589
1,19,N/S,0.011225
1,19,S/N,0.011225
1,19,N/N,1.332082
1,20,S/S,1.176161
1,20,N/S,-0.392956
1,20,S/N,-0.392956
1,20,N/N,0.311296
1,21,S/S,1.255340
1,21,N/S,0.592293
1,21,S/N,0.592293
1,21,N/N,0.239947
1,22,S/S,1.629844
1,22,N/S,1.552519
1,22,S/N,1.552519
1,22,N/N,1.571050
1,23,S/S,1.654809
1,23,N/S,0.856666
1,23,S/N,0.856666
1,23,N/N,0.661624
1,24,S/S,0.063554
1,24,N/S,-0.458725
1,24,S/N,-0.458725
1,24,N/N,-0.734743
1,25,S/S,0.675336
1,25,N/S,0.342884
1,25,S/N,0.342884
1,25,N/N,0.401109
