ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/H,0.491506
1,1,N/H,0.418933
1,1,S/E,0.150706
1,1,N/E,0.152613
1,2,S/H,-0.340223
1,2,N/H,-0.531434
1,2,S/E,-0.104374
1,2,N/E,-0.359250
1,3,S/H,0.467618
1,3,N/H,0.591687
1,3,S/E,0.408212
1,3,N/E,0.586456
1,4,S/H,0.477292
1,4,N/H,0.439440
1,4,S/E,0.345289
1,4,N/E,0.373662
1,5,S/H,-0.418462
1,5,N/H,0.013995
1,5,S/E,-0.730265
1,5,N/E,-0.267344
1,6,S/H,0.254359
1,6,N/H,0.351204
1,6,S/E,-0.153167
1,6,N/E,0.000738
1,7,S/H,0.479572
1,7,N/H,0.948685
1,7,S/E,0.132079
1,7,N/E,0.584315
1,8,S/H,0.060728
1,8,N/H,-0.050735
1,8,S/E,-0.244376
1,8,N/E,-0.341467
1,9,S/H,-0.953259
1,9,N/H,-0.952075
1,9,S/E,-0.726620
1,9,N/E,-0.979879
1,10,S/H,-0.848960
1,10,N/H,-0.681043
1,10,S/E,-0.426303
1,10,N/E,-0.292813
1,11,S/H,-0.277430
1,11,N/H,-0.349438
1,11,S/E,-1.080892
1,11,N/E,-1.142802
1,12,S/H,-0.122143
1,12,N/H,-0.067762
1,12,S/E,0.101735
1,12,N/E,0.192239
1,13,S/H,0.418697
1,13,N/H,0.211556
1,13,S/E,0.500874
1,13,N/E,0.209550
1,14,S/H,-0.471963
1,14,N/H,-0.332475
1,14,S/E,-0.643373
1,14,N/E,-0.495650
1,15,S/H,0.142577
1,15,N/H,0.274680
1,15,S/E,0.185662
1,15,N/E,0.272960
1,16,S/H,-0.386196
1,16,N/H,-0.449233
1,16,S/E,-0.190800
1,16,N/E,-0.365470
1,17,S/H,-0.151193
1,17,N/H,0.235060
1,17,S/E,-0.146636
1,17,N/E,0.221633
1,18,S/H,-0.975754
1,18,N/H,-1.210411
1,18,S/E,-1.092175
1,18,N/E,-1.426282
1,19,S/H,-0.016858
1,19,N/H,0.232572
1,19,S/E,0.012025
1,19,N/E,0.217636
1,20,S/H,-1.109178
1,20,N/H,0.746550
1,20,S/E,-1.128793
1,20,N/E,0.803999
1,21,S/H,-2.069337
1,21,N/H,-1.330043
1,21,S/E,-1.474964
1,21,N/E,-1.476465
1,22,S/H,-0.992007
1,22,N/H,-0.847843
1,22,S/E,-0.433463
1,22,N/E,-0.352518
1,23,S/H,-0.878146
1,23,N/H,-0.742186
1,23,S/E,-1.023381
1,23,N/E,-1.010424
1,24,S/H,-0.329563
1,24,N/H,-0.041856
1,24,S/E,-0.362095
1,24,N/E,-0.024161
1,25,S/H,-0.346192
1,25,N/H,0.059107
1,25,S/E,-1.181530
1,25,N/E,-0.370402
