ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/en,1.379060
1,1,E/en,1.127225
1,1,H/jap,1.597496
1,1,E/jap,1.342064
1,1,H/sent,0.641397
1,1,E/sent,0.480281
1,2,H/en,0.353591
1,2,E/en,0.029087
1,2,H/jap,0.336248
1,2,E/jap,0.033755
1,2,H/sent,-0.004883
1,2,E/sent,-0.309263
1,3,H/en,1.665133
1,3,E/en,1.433819
1,3,H/jap,1.725070
1,3,E/jap,1.451766
1,3,H/sent,1.506554
1,3,E/sent,1.315493
1,4,H/en,0.504411
1,4,E/en,0.332075
1,4,H/jap,0.275656
1,4,E/jap,0.235153
1,4,H/sent,0.266439
1,4,E/sent,0.153042
1,5,H/en,0.303952
1,5,E/en,0.355384
1,5,H/jap,0.296696
1,5,E/jap,0.344990
1,5,H/sent,-0.060533
1,5,E/sent,-0.002340
1,6,H/en,1.912301
1,6,E/en,1.527304
1,6,H/jap,2.000688
1,6,E/jap,1.565238
1,6,H/sent,1.657145
1,6,E/sent,1.441473
1,7,H/en,0.381526
1,7,E/en,0.457178
1,7,H/jap,0.527525
1,7,E/jap,0.628467
1,7,H/sent,0.193372
1,7,E/sent,0.320607
1,8,H/en,-0.369423
1,8,E/en,-0.169989
1,8,H/jap,-0.590752
1,8,E/jap,-0.234878
1,8,H/sent,-0.836388
1,8,E/sent,-0.021823
1,9,H/en,1.283610
1,9,E/en,1.026581
1,9,H/jap,1.212852
1,9,E/jap,0.951483
1,9,H/sent,1.225571
1,9,E/sent,1.009836
1,10,H/en,-0.069806
1,10,E/en,-0.302204
1,10,H/jap,0.073599
1,10,E/jap,-0.164495
1,10,H/sent,-0.291865
1,10,E/sent,-0.406163
1,11,H/en,1.273136
1,11,E/en,-0.079342
1,11,H/jap,1.066688
1,11,E/jap,-0.113371
1,11,H/sent,1.221153
1,11,E/sent,-0.040185
1,12,H/en,0.859840
1,12,E/en,0.939340
1,12,H/jap,0.847575
1,12,E/jap,0.927908
1,12,H/sent,0.802322
1,12,E/sent,0.852511
1,13,H/en,0.720462
1,13,E/en,0.425612
1,13,H/jap,0.756173
1,13,E/jap,0.486954
1,13,H/sent,0.449602
1,13,E/sent,0.301929
1,14,H/en,0.445424
1,14,E/en,0.528496
1,14,H/jap,0.444434
1,14,E/jap,0.528197
1,14,H/sent,-0.031635
1,14,E/sent,0.045051
1,15,H/en,0.452788
1,15,E/en,0.135579
1,15,H/jap,0.318760
1,15,E/jap,0.009816
1,15,H/sent,-0.041044
1,15,E/sent,-0.196210
1,16,H/en,0.458067
1,16,E/en,0.553777
1,16,H/jap,0.477483
1,16,E/jap,0.564641
1,16,H/sent,0.296660
1,16,E/sent,0.377818
1,17,H/en,0.182692
1,17,E/en,0.320870
1,17,H/jap,0.182660
1,17,E/jap,0.330771
1,17,H/sent,0.033776
1,17,E/sent,0.155755
1,18,H/en,0.202988
1,18,E/en,0.166234
1,18,H/jap,0.089363
1,18,E/jap,0.047987
1,18,H/sent,0.126684
1,18,E/sent,0.097069
1,19,H/en,0.984476
1,19,E/en,0.865442
1,19,H/jap,1.016790
1,19,E/jap,0.897732
1,19,H/sent,0.572800
1,19,E/sent,0.491503
1,20,H/en,0.998225
1,20,E/en,0.846016
1,20,H/jap,1.101871
1,20,E/jap,0.982189
1,20,H/sent,0.461162
1,20,E/sent,0.333281
1,21,H/en,1.155566
1,21,E/en,1.187271
1,21,H/jap,1.023144
1,21,E/jap,1.045563
1,21,H/sent,0.926396
1,21,E/sent,0.959317
1,22,H/en,0.781118
1,22,E/en,0.648970
1,22,H/jap,0.805450
1,22,E/jap,0.612637
1,22,H/sent,0.564671
1,22,E/sent,0.600716
1,23,H/en,1.489525
1,23,E/en,1.186709
1,23,H/jap,1.488899
1,23,E/jap,1.154197
1,23,H/sent,1.203099
1,23,E/sent,1.041621
1,24,H/en,0.465857
1,24,E/en,0.707477
1,24,H/jap,0.340574
1,24,E/jap,0.569125
1,24,H/sent,0.118794
1,24,E/sent,0.302554
1,25,H/en,0.591923
1,25,E/en,0.569508
1,25,H/jap,0.813843
1,25,E/jap,0.739435
1,25,H/sent,0.724620
1,25,E/sent,0.752557
