ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/S,0.053942
1,1,E/S,0.184314
1,1,H/N,0.343735
1,1,E/N,0.425702
1,2,H/S,0.457643
1,2,E/S,0.503577
1,2,H/N,0.443965
1,2,E/N,0.339846
1,3,H/S,0.517447
1,3,E/S,0.798273
1,3,H/N,0.492376
1,3,E/N,0.748441
1,4,H/S,1.089923
1,4,E/S,1.654903
1,4,H/N,0.953104
1,4,E/N,0.938411
1,5,H/S,0.707975
1,5,E/S,0.729737
1,5,H/N,0.672268
1,5,E/N,0.700074
1,6,H/S,-0.356787
1,6,E/S,0.112674
1,6,H/N,-0.365777
1,6,E/N,0.104380
1,7,H/S,0.865021
1,7,E/S,0.815047
1,7,H/N,0.673299
1,7,E/N,0.654041
1,8,H/S,0.306818
1,8,E/S,1.050230
1,8,H/N,0.882970
1,8,E/N,1.036764
1,9,H/S,-0.109021
1,9,E/S,0.179771
1,9,H/N,0.453636
1,9,E/N,0.639271
1,10,H/S,-0.179945
1,10,E/S,0.037755
1,10,H/N,-0.078423
1,10,E/N,0.214954
1,11,H/S,0.030339
1,11,E/S,-0.089668
1,11,H/N,0.400971
1,11,E/N,0.299410
1,12,H/S,0.355496
1,12,E/S,0.569993
1,12,H/N,0.239782
1,12,E/N,0.456874
1,13,H/S,0.493239
1,13,E/S,0.446710
1,13,H/N,0.885280
1,13,E/N,0.663438
1,14,H/S,0.403490
1,14,E/S,0.609464
1,14,H/N,0.453928
1,14,E/N,0.649258
1,15,H/S,-0.140847
1,15,E/S,-0.030642
1,15,H/N,0.967890
1,15,E/N,1.123786
1,16,H/S,0.305376
1,16,E/S,0.358877
1,16,H/N,0.796663
1,16,E/N,0.842344
1,17,H/S,0.349962
1,17,E/S,0.478003
1,17,H/N,0.257208
1,17,E/N,0.359199
1,18,H/S,0.304414
1,18,E/S,0.416685
1,18,H/N,0.206650
1,18,E/N,0.310778
1,19,H/S,1.336193
1,19,E/S,1.344742
1,19,H/N,1.257221
1,19,E/N,1.062171
1,20,H/S,-0.752079
1,20,E/S,-0.745578
1,20,H/N,-0.458753
1,20,E/N,-0.407473
1,21,H/S,0.716891
1,21,E/S,1.077039
1,21,H/N,0.859609
1,21,E/N,1.045554
1,22,H/S,-0.033796
1,22,E/S,0.509004
1,22,H/N,-0.277080
1,22,E/N,0.377301
1,23,H/S,0.353875
1,23,E/S,0.262326
1,23,H/N,0.429427
1,23,E/N,0.345754
1,24,H/S,-1.278126
1,24,E/S,-0.999645
1,24,H/N,-1.060162
1,24,E/N,-0.846359
1,25,H/S,0.225559
1,25,E/S,0.635043
1,25,H/N,0.194615
1,25,E/N,0.203059
