ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,H/H,0.959678
1,1,E/H,0.817098
1,1,H/E,0.817098
1,1,E/E,0.758596
1,2,H/H,0.452221
1,2,E/H,0.207296
1,2,H/E,0.207296
1,2,E/E,0.039190
1,3,H/H,1.886655
1,3,E/H,1.576158
1,3,H/E,1.576158
1,3,E/E,1.480022
1,4,H/H,-0.059511
1,4,E/H,-0.213656
1,4,H/E,-0.213656
1,4,E/E,-0.186962
1,5,H/H,1.295276
1,5,E/H,1.229224
1,5,H/E,1.229224
1,5,E/E,1.340817
1,6,H/H,0.900568
1,6,E/H,0.616055
1,6,H/E,0.616055
1,6,E/E,0.342649
1,7,H/H,0.673043
1,7,E/H,0.621480
1,7,H/E,0.621480
1,7,E/E,0.561605
1,8,H/H,0.605858
1,8,E/H,0.517546
1,8,H/E,0.517546
1,8,E/E,0.668532
1,9,H/H,1.367652
1,9,E/H,0.612693
1,9,H/E,0.612693
1,9,E/E,0.191693
1,10,H/H,0.576018
1,10,E/H,0.418572
1,10,H/E,0.418572
1,10,E/E,0.352622
1,11,H/H,-0.063993
1,11,E/H,-0.174317
1,11,H/E,-0.174317
1,11,E/E,-0.225412
1,12,H/H,0.346604
1,12,E/H,0.246428
1,12,H/E,0.246428
1,12,E/E,0.171425
1,13,H/H,1.104459
1,13,E/H,0.864833
1,13,H/E,0.864833
1,13,E/E,0.654892
1,14,H/H,0.869000
1,14,E/H,1.066071
1,14,H/E,1.066071
1,14,E/E,1.084954
1,15,H/H,1.329077
1,15,E/H,1.036248
1,15,H/E,1.036248
1,15,E/E,0.822493
1,16,H/H,0.494089
1,16,E/H,0.516839
1,16,H/E,0.516839
1,16,E/E,0.618312
1,17,H/H,1.539883
1,17,E/H,1.504340
1,17,H/E,1.504340
1,17,E/E,1.757277
1,18,H/H,0.471119
1,18,E/H,0.407902
1,18,H/E,0.407902
1,18,E/E,0.372841
1,19,H/H,0.943878
1,19,E/H,0.893060
1,19,H/E,0.893060
1,19,E/E,0.925775
1,20,H/H,0.813472
1,20,E/H,0.741236
1,20,H/E,0.741236
1,20,E/E,0.691753
1,21,H/H,1.111125
1,21,E/H,0.880792
1,21,H/E,0.880792
1,21,E/E,0.708010
1,22,H/H,0.883841
1,22,E/H,0.617982
1,22,H/E,0.617982
1,22,E/E,0.493174
1,23,H/H,1.207188
1,23,E/H,1.066451
1,23,H/E,1.066451
1,23,E/E,0.966762
1,24,H/H,0.655300
1,24,E/H,0.559684
1,24,H/E,0.559684
1,24,E/E,0.433996
1,25,H/H,0.466655
1,25,E/H,0.490595
1,25,H/E,0.490595
1,25,E/E,0.399601
