ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/crit_CODE,1.483124
1,1,crit_VERB/crit_CODE,1.014024
1,1,crit_CODE/crit_VERB,1.185304
1,1,crit_VERB/crit_VERB,1.017400
1,2,crit_CODE/crit_CODE,1.705021
1,2,crit_VERB/crit_CODE,1.041649
1,2,crit_CODE/crit_VERB,1.325969
1,2,crit_VERB/crit_VERB,0.907573
1,3,crit_CODE/crit_CODE,0.649964
1,3,crit_VERB/crit_CODE,0.438585
1,3,crit_CODE/crit_VERB,0.458121
1,3,crit_VERB/crit_VERB,0.515638
1,4,crit_CODE/crit_CODE,1.042949
1,4,crit_VERB/crit_CODE,0.419204
1,4,crit_CODE/crit_VERB,0.515519
1,4,crit_VERB/crit_VERB,0.483806
1,5,crit_CODE/crit_CODE,1.338671
1,5,crit_VERB/crit_CODE,0.887249
1,5,crit_CODE/crit_VERB,0.946630
1,5,crit_VERB/crit_VERB,1.062220
1,6,crit_CODE/crit_CODE,0.874615
1,6,crit_VERB/crit_CODE,0.314264
1,6,crit_CODE/crit_VERB,0.363928
1,6,crit_VERB/crit_VERB,0.516253
1,7,crit_CODE/crit_CODE,1.606464
1,7,crit_VERB/crit_CODE,0.856213
1,7,crit_CODE/crit_VERB,1.051478
1,7,crit_VERB/crit_VERB,0.888605
1,8,crit_CODE/crit_CODE,1.235393
1,8,crit_VERB/crit_CODE,0.305099
1,8,crit_CODE/crit_VERB,0.400578
1,8,crit_VERB/crit_VERB,0.464213
1,9,crit_CODE/crit_CODE,1.535909
1,9,crit_VERB/crit_CODE,0.653198
1,9,crit_CODE/crit_VERB,0.877893
1,9,crit_VERB/crit_VERB,0.636208
1,10,crit_CODE/crit_CODE,1.180282
1,10,crit_VERB/crit_CODE,0.786240
1,10,crit_CODE/crit_VERB,0.879555
1,10,crit_VERB/crit_VERB,0.738277
1,11,crit_CODE/crit_CODE,1.442663
1,11,crit_VERB/crit_CODE,0.924102
1,11,crit_CODE/crit_VERB,1.070140
1,11,crit_VERB/crit_VERB,1.004827
1,12,crit_CODE/crit_CODE,0.021842
1,12,crit_VERB/crit_CODE,0.069503
1,12,crit_CODE/crit_VERB,0.455119
1,12,crit_VERB/crit_VERB,0.689452
1,13,crit_CODE/crit_CODE,1.547441
1,13,crit_VERB/crit_CODE,1.007010
1,13,crit_CODE/crit_VERB,1.169481
1,13,crit_VERB/crit_VERB,1.044253
1,14,crit_CODE/crit_CODE,1.836191
1,14,crit_VERB/crit_CODE,0.802273
1,14,crit_CODE/crit_VERB,0.931845
