ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/crit_CODE,0.801477
1,1,crit_VERB/crit_CODE,0.636289
1,1,crit_CODE/crit_VERB,0.587392
1,1,crit_VERB/crit_VERB,1.088636
1,2,crit_CODE/crit_CODE,0.661846
1,2,crit_VERB/crit_CODE,0.118981
1,2,crit_CODE/crit_VERB,0.120459
1,2,crit_VERB/crit_VERB,0.931131
1,3,crit_CODE/crit_CODE,0.505789
1,3,crit_VERB/crit_CODE,0.537518
1,3,crit_CODE/crit_VERB,0.438933
1,3,crit_VERB/crit_VERB,0.967555
1,4,crit_CODE/crit_CODE,0.608406
1,4,crit_VERB/crit_CODE,0.714463
1,4,crit_CODE/crit_VERB,0.640070
1,4,crit_VERB/crit_VERB,0.864855
1,5,crit_CODE/crit_CODE,0.839396
1,5,crit_VERB/crit_CODE,0.462615
1,5,crit_CODE/crit_VERB,0.474101
1,5,crit_VERB/crit_VERB,1.082594
1,6,crit_CODE/crit_CODE,0.488630
1,6,crit_VERB/crit_CODE,0.413246
1,6,crit_CODE/crit_VERB,0.404024
1,6,crit_VERB/crit_VERB,0.616928
1,7,crit_CODE/crit_CODE,1.213662
1,7,crit_VERB/crit_CODE,0.737239
1,7,crit_CODE/crit_VERB,0.774418
1,7,crit_VERB/crit_VERB,1.049432
1,8,crit_CODE/crit_CODE,0.327582
1,8,crit_VERB/crit_CODE,0.300666
1,8,crit_CODE/crit_VERB,0.288927
1,8,crit_VERB/crit_VERB,0.248730
1,9,crit_CODE/crit_CODE,0.745340
1,9,crit_VERB/crit_CODE,0.656714
1,9,crit_CODE/crit_VERB,0.656764
1,9,crit_VERB/crit_VERB,0.695981
1,10,crit_CODE/crit_CODE,0.629376
1,10,crit_VERB/crit_CODE,0.455582
1,10,crit_CODE/crit_VERB,0.420399
1,10,crit_VERB/crit_VERB,0.943749
1,11,crit_CODE/crit_CODE,0.622450
1,11,crit_VERB/crit_CODE,0.617220
1,11,crit_CODE/crit_VERB,0.529460
1,11,crit_VERB/crit_VERB,1.000256
1,12,crit_CODE/crit_CODE,-0.066842
1,12,crit_VERB/crit_CODE,0.029706
1,12,crit_CODE/crit_VERB,0.237998
1,12,crit_VERB/crit_VERB,0.725694
1,13,crit_CODE/crit_CODE,0.738479
1,13,crit_VERB/crit_CODE,0.793671
1,13,crit_CODE/crit_VERB,0.739928
1,13,crit_VERB/crit_VERB,0.957667
1,14,crit_CODE/crit_CODE,1.019963
1,14,crit_VERB/crit_CODE,0.522851
1,14,crit_CODE/crit_VERB,0.554511
1,14,crit_VERB/crit_VERB,0.877497
1,15,crit_CODE/crit_CODE,0.417685
1,15,crit_VERB/crit_CODE,0.299913
1,15,crit_CODE/crit_VERB,0.228845
1,15,crit_VERB/crit_VERB,1.036743
1,16,crit_CODE/crit_CODE,0.801994
1,16,crit_VERB/crit_CODE,0.564052
1,16,crit_CODE/crit_VERB,0.570127
1,16,crit_VERB/crit_VERB,0.810239
