ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/S,0.130381
1,1,crit_VERB/S,-0.060606
1,1,crit_CODE/N,0.640544
1,1,crit_VERB/N,0.357520
1,2,crit_CODE/S,1.286048
1,2,crit_VERB/S,1.401132
1,2,crit_CODE/N,1.341996
1,2,crit_VERB/N,1.293166
1,3,crit_CODE/S,0.532827
1,3,crit_VERB/S,0.416420
1,3,crit_CODE/N,0.505275
1,3,crit_VERB/N,0.374021
1,4,crit_CODE/S,0.334508
1,4,crit_VERB/S,0.347505
1,4,crit_CODE/N,0.344605
1,4,crit_VERB/N,0.475002
1,5,crit_CODE/S,0.233070
1,5,crit_VERB/S,-0.137631
1,5,crit_CODE/N,0.267009
1,5,crit_VERB/N,-0.049237
1,6,crit_CODE/S,0.470581
1,6,crit_VERB/S,0.521170
1,6,crit_CODE/N,0.564561
1,6,crit_VERB/N,0.329089
1,7,crit_CODE/S,0.555441
1,7,crit_VERB/S,0.789722
1,7,crit_CODE/N,0.621442
1,7,crit_VERB/N,0.745055
1,8,crit_CODE/S,0.258555
1,8,crit_VERB/S,0.423943
1,8,crit_CODE/N,0.565323
1,8,crit_VERB/N,0.479153
1,9,crit_CODE/S,0.338512
1,9,crit_VERB/S,0.693023
1,9,crit_CODE/N,0.475844
1,9,crit_VERB/N,0.820200
1,10,crit_CODE/S,0.290619
1,10,crit_VERB/S,0.279448
1,10,crit_CODE/N,0.292016
1,10,crit_VERB/N,0.321485
1,11,crit_CODE/S,0.947093
1,11,crit_VERB/S,0.985528
1,11,crit_CODE/N,1.114221
1,11,crit_VERB/N,1.013168
1,12,crit_CODE/S,0.456592
1,12,crit_VERB/S,0.225343
1,12,crit_CODE/N,0.442457
1,12,crit_VERB/N,0.460669
1,13,crit_CODE/S,0.943055
1,13,crit_VERB/S,1.198056
1,13,crit_CODE/N,0.865018
1,13,crit_VERB/N,1.059312
1,14,crit_CODE/S,0.305078
1,14,crit_VERB/S,0.777644
1,14,crit_CODE/N,0.461789
1,14,crit_VERB/N,0.819740
1,15,crit_CODE/S,0.285549
1,15,crit_VERB/S,0.562027
1,15,crit_CODE/N,0.448664
1,15,crit_VERB/N,0.659116
1,16,crit_CODE/S,0.060886
1,16,crit_VERB/S,0.112318
1,16,crit_CODE/N,-0.222776
1,16,crit_VERB/N,-0.208481
1,17,crit_CODE/S,-0.109897
1,17,crit_VERB/S,-0.067355
1,17,crit_CODE/N,-0.112185
1,17,crit_VERB/N,0.009683
1,18,crit_CODE/S,0.072278
1,18,crit_VERB/S,-0.082751
1,18,crit_CODE/N,0.352751
1,18,crit_VERB/N,0.198829
