ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/S,0.546486
1,1,crit_VERB/S,1.348202
1,1,crit_CODE/N,0.481855
1,1,crit_VERB/N,0.898308
1,2,crit_CODE/S,0.105563
1,2,crit_VERB/S,0.688721
1,2,crit_CODE/N,0.137792
1,2,crit_VERB/N,0.331989
1,3,crit_CODE/S,0.515605
1,3,crit_VERB/S,1.178991
1,3,crit_CODE/N,0.400612
1,3,crit_VERB/N,0.453010
1,4,crit_CODE/S,0.665877
1,4,crit_VERB/S,1.188083
1,4,crit_CODE/N,0.552143
1,4,crit_VERB/N,1.074248
1,5,crit_CODE/S,0.586321
1,5,crit_VERB/S,0.709458
1,5,crit_CODE/N,0.486525
1,5,crit_VERB/N,0.395876
1,6,crit_CODE/S,0.338043
1,6,crit_VERB/S,0.698849
1,6,crit_CODE/N,0.162731
1,6,crit_VERB/N,0.616218
1,7,crit_CODE/S,0.764644
1,7,crit_VERB/S,1.086495
1,7,crit_CODE/N,0.739224
1,7,crit_VERB/N,0.655290
1,8,crit_CODE/S,0.154920
1,8,crit_VERB/S,0.599115
1,8,crit_CODE/N,-0.060817
1,8,crit_VERB/N,0.258893
1,9,crit_CODE/S,0.714472
1,9,crit_VERB/S,0.797383
1,9,crit_CODE/N,0.683026
1,9,crit_VERB/N,0.509247
1,10,crit_CODE/S,0.157831
1,10,crit_VERB/S,0.525146
1,10,crit_CODE/N,0.186203
1,10,crit_VERB/N,0.373911
1,11,crit_CODE/S,0.300857
1,11,crit_VERB/S,0.829966
1,11,crit_CODE/N,0.201346
1,11,crit_VERB/N,0.638409
1,12,crit_CODE/S,0.257030
1,12,crit_VERB/S,0.918492
1,12,crit_CODE/N,0.173987
1,12,crit_VERB/N,0.447957
1,13,crit_CODE/S,0.568921
1,13,crit_VERB/S,1.008875
1,13,crit_CODE/N,0.298959
1,13,crit_VERB/N,0.570513
1,14,crit_CODE/S,-0.044314
1,14,crit_VERB/S,0.160014
1,14,crit_CODE/N,-0.201997
1,14,crit_VERB/N,-0.266096
1,15,crit_CODE/S,0.066480
1,15,crit_VERB/S,0.612230
1,15,crit_CODE/N,-0.009740
1,15,crit_VERB/N,0.259140
1,16,crit_CODE/S,0.247245
1,16,crit_VERB/S,0.499876
1,16,crit_CODE/N,0.274975
1,16,crit_VERB/N,0.101129
1,17,crit_CODE/S,0.332493
1,17,crit_VERB/S,0.832179
1,17,crit_CODE/N,0.445574
1,17,crit_VERB/N,0.537783
1,18,crit_CODE/S,0.291090
1,18,crit_VERB/S,0.238153
1,18,crit_CODE/N,0.231754
1,18,crit_VERB/N,0.059210
1,19,crit_CODE/S,0.234008
1,19,crit_VERB/S,0.908284
1,19,crit_CODE/N,0.168940
1,19,crit_VERB/N,0.535476
2,1,crit_CODE/S,-0.069757
2,1,crit_VERB/S,0.684704
2,1,crit_CODE/N,0.028623
2,1,crit_VERB/N,0.690478
2,2,crit_CODE/S,-0.558031
2,2,crit_VERB/S,1.106101
2,2,crit_CODE/N,-0.386413
2,2,crit_VERB/N,0.630577
2,3,crit_CODE/S,0.303639
2,3,crit_VERB/S,0.654851
2,3,crit_CODE/N,0.077079
2,3,crit_VERB/N,0.296537
2,4,crit_CODE/S,0.178323
2,4,crit_VERB/S,0.679927
2,4,crit_CODE/N,0.075685
2,4,crit_VERB/N,0.380903
2,5,crit_CODE/S,0.259722
2,5,crit_VERB/S,0.738212
2,5,crit_CODE/N,0.557346
2,5,crit_VERB/N,0.564257
2,6,crit_CODE/S,0.179576
2,6,crit_VERB/S,0.779173
2,6,crit_CODE/N,0.495301
2,6,crit_VERB/N,0.381973
2,7,crit_CODE/S,0.490063
2,7,crit_VERB/S,0.895040
