ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/crit_CODE,0.986730
1,1,crit_VERB/crit_CODE,0.840025
1,1,crit_CODE/crit_VERB,0.908836
1,1,crit_VERB/crit_VERB,0.775808
1,2,crit_CODE/crit_CODE,1.134011
1,2,crit_VERB/crit_CODE,0.600548
1,2,crit_CODE/crit_VERB,0.741070
1,2,crit_VERB/crit_VERB,0.458526
1,3,crit_CODE/crit_CODE,0.392356
1,3,crit_VERB/crit_CODE,0.437210
1,3,crit_CODE/crit_VERB,0.393134
1,3,crit_VERB/crit_VERB,0.530051
1,4,crit_CODE/crit_CODE,0.535555
1,4,crit_VERB/crit_CODE,0.176734
1,4,crit_CODE/crit_VERB,0.199528
1,4,crit_VERB/crit_VERB,0.354010
1,5,crit_CODE/crit_CODE,1.027766
1,5,crit_VERB/crit_CODE,0.504852
1,5,crit_CODE/crit_VERB,0.601605
1,5,crit_VERB/crit_VERB,0.717124
1,6,crit_CODE/crit_CODE,0.518599
1,6,crit_VERB/crit_CODE,0.413099
1,6,crit_CODE/crit_VERB,0.476470
1,6,crit_VERB/crit_VERB,0.236633
1,7,crit_CODE/crit_CODE,0.928233
1,7,crit_VERB/crit_CODE,0.769276
1,7,crit_CODE/crit_VERB,0.816392
1,7,crit_VERB/crit_VERB,0.829352
1,8,crit_CODE/crit_CODE,0.891286
1,8,crit_VERB/crit_CODE,0.318267
1,8,crit_CODE/crit_VERB,0.475160
1,8,crit_VERB/crit_VERB,0.264403
1,9,crit_CODE/crit_CODE,0.860433
1,9,crit_VERB/crit_CODE,0.429393
1,9,crit_CODE/crit_VERB,0.533952
1,9,crit_VERB/crit_VERB,0.458030
1,10,crit_CODE/crit_CODE,0.412563
1,10,crit_VERB/crit_CODE,0.290763
1,10,crit_CODE/crit_VERB,0.282540
1,10,crit_VERB/crit_VERB,0.289919
1,11,crit_CODE/crit_CODE,0.844619
1,11,crit_VERB/crit_CODE,0.230230
1,11,crit_CODE/crit_VERB,0.382823
1,11,crit_VERB/crit_VERB,0.261483
1,12,crit_CODE/crit_CODE,-0.109684
1,12,crit_VERB/crit_CODE,0.163634
1,12,crit_CODE/crit_VERB,0.258724
1,12,crit_VERB/crit_VERB,0.366365
1,13,crit_CODE/crit_CODE,0.740752
1,13,crit_VERB/crit_CODE,0.214863
1,13,crit_CODE/crit_VERB,0.275041
1,13,crit_VERB/crit_VERB,0.117321
1,14,crit_CODE/crit_CODE,1.397572
1,14,crit_VERB/crit_CODE,0.481621
1,14,crit_CODE/crit_VERB,0.647065
1,14,crit_VERB/crit_VERB,0.733746
1,15,crit_CODE/crit_CODE,0.861648
1,15,crit_VERB/crit_CODE,0.085590
1,15,crit_CODE/crit_VERB,0.221115
1,15,crit_VERB/crit_VERB,0.217952
1,16,crit_CODE/crit_CODE,0.922200
1,16,crit_VERB/crit_CODE,0.943319
1,16,crit_CODE/crit_VERB,0.903167
1,16,crit_VERB/crit_VERB,0.782517
1,17,crit_CODE/crit_CODE,0.306440
1,17,crit_VERB/crit_CODE,-0.033247
1,17,crit_CODE/crit_VERB,0.113149
1,17,crit_VERB/crit_VERB,0.005855
1,18,crit_CODE/crit_CODE,0.626145
1,18,crit_VERB/crit_CODE,0.181721
1,18,crit_CODE/crit_VERB,0.302207
1,18,crit_VERB/crit_VERB,0.152848
1,19,crit_CODE/crit_CODE,0.871578
1,19,crit_VERB/crit_CODE,0.331845
1,19,crit_CODE/crit_VERB,0.571650
1,19,crit_VERB/crit_VERB,0.223633
2,1,crit_CODE/crit_CODE,1.024197
2,1,crit_VERB/crit_CODE,1.121458
2,1,crit_CODE/crit_VERB,1.070628
2,1,crit_VERB/crit_VERB,1.201763
2,2,crit_CODE/crit_CODE,0.910651
2,2,crit_VERB/crit_CODE,0.259415
2,2,crit_CODE/crit_VERB,0.415792
2,2,crit_VERB/crit_VERB,0.084419
2,3,crit_CODE/crit_CODE,0.430639
2,3,crit_VERB/crit_CODE,0.305837
2,3,crit_CODE/crit_VERB,0.264783
2,3,crit_VERB/crit_VERB,0.260865
2,4,crit_CODE/crit_CODE,0.128866
2,4,crit_VERB/crit_CODE,0.043554
2,4,crit_CODE/crit_VERB,0.073254
2,4,crit_VERB/crit_VERB,0.015538
2,5,crit_CODE/crit_CODE,1.338762
2,5,crit_VERB/crit_CODE,0.972208
2,5,crit_CODE/crit_VERB,1.122693
2,5,crit_VERB/crit_VERB,1.005272
2,6,crit_CODE/crit_CODE,0.825111
2,6,crit_VERB/crit_CODE,0.644619
2,6,crit_CODE/crit_VERB,0.770968
2,6,crit_VERB/crit_VERB,0.555383
2,7,crit_CODE/crit_CODE,0.664214
2,7,crit_VERB/crit_CODE,0.649453
2,7,crit_CODE/crit_VERB,0.631090
2,7,crit_VERB/crit_VERB,0.770100
2,8,crit_CODE/crit_CODE,0.692020
2,8,crit_VERB/crit_CODE,0.294841
2,8,crit_CODE/crit_VERB,0.389354
2,8,crit_VERB/crit_VERB,0.199204
2,9,crit_CODE/crit_CODE,1.116283
2,9,crit_VERB/crit_CODE,0.839938
2,9,crit_CODE/crit_VERB,0.905784
2,9,crit_VERB/crit_VERB,1.008248
2,10,crit_CODE/crit_CODE,0.091294
2,10,crit_VERB/crit_CODE,0.258867
2,10,crit_CODE/crit_VERB,0.169087
2,10,crit_VERB/crit_VERB,0.066509
2,11,crit_CODE/crit_CODE,0.784427
2,11,crit_VERB/crit_CODE,0.397352
2,11,crit_CODE/crit_VERB,0.542585
2,11,crit_VERB/crit_VERB,0.489434
2,12,crit_CODE/crit_CODE,0.218151
2,12,crit_VERB/crit_CODE,0.006298
2,12,crit_CODE/crit_VERB,0.056167
2,12,crit_VERB/crit_VERB,-0.247877
2,13,crit_CODE/crit_CODE,0.489699
2,13,crit_VERB/crit_CODE,0.079056
2,13,crit_CODE/crit_VERB,0.103219
2,13,crit_VERB/crit_VERB,-0.090638
2,14,crit_CODE/crit_CODE,1.067646
2,14,crit_VERB/crit_CODE,0.212829
2,14,crit_CODE/crit_VERB,0.357935
2,14,crit_VERB/crit_VERB,0.197683
2,15,crit_CODE/crit_CODE,0.383720
2,15,crit_VERB/crit_CODE,0.037508
2,15,crit_CODE/crit_VERB,0.056525
2,15,crit_VERB/crit_VERB,0.025071
