ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/S,-0.029906
1,1,crit_VERB/S,-0.229972
1,1,crit_CODE/N,0.450352
1,1,crit_VERB/N,0.207747
1,2,crit_CODE/S,1.143727
1,2,crit_VERB/S,1.048015
1,2,crit_CODE/N,1.238875
1,2,crit_VERB/N,0.997100
1,3,crit_CODE/S,0.193589
1,3,crit_VERB/S,0.320828
1,3,crit_CODE/N,0.184869
1,3,crit_VERB/N,0.240638
1,4,crit_CODE/S,0.216520
1,4,crit_VERB/S,0.007165
1,4,crit_CODE/N,0.260752
1,4,crit_VERB/N,0.116665
1,5,crit_CODE/S,-0.027042
1,5,crit_VERB/S,-0.443892
1,5,crit_CODE/N,0.018715
1,5,crit_VERB/N,-0.328379
1,6,crit_CODE/S,0.640378
1,6,crit_VERB/S,0.434011
1,6,crit_CODE/N,0.563032
1,6,crit_VERB/N,0.249306
1,7,crit_CODE/S,0.288863
1,7,crit_VERB/S,0.175813
1,7,crit_CODE/N,0.347306
1,7,crit_VERB/N,0.188423
1,8,crit_CODE/S,0.014982
1,8,crit_VERB/S,-0.063209
1,8,crit_CODE/N,0.235331
1,8,crit_VERB/N,-0.010010
1,9,crit_CODE/S,0.239592
1,9,crit_VERB/S,0.175969
1,9,crit_CODE/N,0.393114
1,9,crit_VERB/N,0.264553
1,10,crit_CODE/S,0.454686
1,10,crit_VERB/S,-0.178811
1,10,crit_CODE/N,0.350235
1,10,crit_VERB/N,-0.007492
1,11,crit_CODE/S,0.727886
1,11,crit_VERB/S,0.412182
1,11,crit_CODE/N,0.849479
1,11,crit_VERB/N,0.396163
1,12,crit_CODE/S,0.238225
1,12,crit_VERB/S,0.127810
1,12,crit_CODE/N,0.083426
1,12,crit_VERB/N,0.243100
1,13,crit_CODE/S,0.656849
1,13,crit_VERB/S,0.381189
1,13,crit_CODE/N,0.568814
1,13,crit_VERB/N,0.347938
1,14,crit_CODE/S,0.510133
1,14,crit_VERB/S,0.657566
1,14,crit_CODE/N,0.597455
1,14,crit_VERB/N,0.529631
1,15,crit_CODE/S,0.341630
1,15,crit_VERB/S,0.555401
1,15,crit_CODE/N,0.472913
1,15,crit_VERB/N,0.462861
1,16,crit_CODE/S,-0.095587
1,16,crit_VERB/S,0.045523
1,16,crit_CODE/N,-0.502036
1,16,crit_VERB/N,-0.334379
1,17,crit_CODE/S,-0.262319
1,17,crit_VERB/S,-0.007183
1,17,crit_CODE/N,-0.266254
1,17,crit_VERB/N,0.130851
1,18,crit_CODE/S,-0.002330
1,18,crit_VERB/S,-0.147169
1,18,crit_CODE/N,0.192525
1,18,crit_VERB/N,-0.055328
1,19,crit_CODE/S,0.291963
1,19,crit_VERB/S,0.225097
1,19,crit_CODE/N,0.343297
1,19,crit_VERB/N,0.174317
2,1,crit_CODE/S,0.143331
