ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/H,0.673598
1,1,crit_VERB/H,0.560728
1,1,crit_CODE/E,0.609517
1,1,crit_VERB/E,0.488824
1,2,crit_CODE/H,1.283410
1,2,crit_VERB/H,0.821343
1,2,crit_CODE/E,1.277613
1,2,crit_VERB/E,0.809303
1,3,crit_CODE/H,1.106148
1,3,crit_VERB/H,0.713224
1,3,crit_CODE/E,1.105984
1,3,crit_VERB/E,0.714671
1,4,crit_CODE/H,0.585631
1,4,crit_VERB/H,-0.263582
1,4,crit_CODE/E,0.512018
1,4,crit_VERB/E,-0.276919
1,5,crit_CODE/H,0.847633
1,5,crit_VERB/H,0.197256
1,5,crit_CODE/E,0.847757
1,5,crit_VERB/E,0.208291
1,6,crit_CODE/H,0.189291
1,6,crit_VERB/H,-0.257062
1,6,crit_CODE/E,0.169935
1,6,crit_VERB/E,-0.259856
1,7,crit_CODE/H,0.782715
1,7,crit_VERB/H,0.423261
1,7,crit_CODE/E,0.825027
1,7,crit_VERB/E,0.469524
1,8,crit_CODE/H,0.924765
1,8,crit_VERB/H,0.370892
1,8,crit_CODE/E,0.871351
1,8,crit_VERB/E,0.359550
1,9,crit_CODE/H,0.656236
1,9,crit_VERB/H,0.160522
1,9,crit_CODE/E,0.614813
1,9,crit_VERB/E,0.155056
1,10,crit_CODE/H,0.872832
1,10,crit_VERB/H,-0.088493
1,10,crit_CODE/E,0.855196
1,10,crit_VERB/E,-0.027517
1,11,crit_CODE/H,1.063119
1,11,crit_VERB/H,0.373947
1,11,crit_CODE/E,1.058059
1,11,crit_VERB/E,0.372376
1,12,crit_CODE/H,-0.021261
1,12,crit_VERB/H,-0.024975
1,12,crit_CODE/E,-0.037861
1,12,crit_VERB/E,0.024266
1,13,crit_CODE/H,0.658690
1,13,crit_VERB/H,0.223532
1,13,crit_CODE/E,0.651421
1,13,crit_VERB/E,0.207918
1,14,crit_CODE/H,0.703881
1,14,crit_VERB/H,0.114194
1,14,crit_CODE/E,0.703359
1,14,crit_VERB/E,0.152127
1,15,crit_CODE/H,1.046094
1,15,crit_VERB/H,0.158254
1,15,crit_CODE/E,0.894350
1,15,crit_VERB/E,0.187514
1,16,crit_CODE/H,0.639240
1,16,crit_VERB/H,0.451627
1,16,crit_CODE/E,0.667268
1,16,crit_VERB/E,0.475542
1,17,crit_CODE/H,0.619602
1,17,crit_VERB/H,-0.078408
1,17,crit_CODE/E,0.555026
1,17,crit_VERB/E,-0.126264
1,18,crit_CODE/H,0.433834
1,18,crit_VERB/H,0.386910
1,18,crit_CODE/E,0.417957
1,18,crit_VERB/E,0.423311
1,19,crit_CODE/H,0.380335
1,19,crit_VERB/H,0.095677
1,19,crit_CODE/E,0.385267
1,19,crit_VERB/E,0.123727
2,1,crit_CODE/H,1.227563
2,1,crit_VERB/H,0.891405
2,1,crit_CODE/E,1.015861
2,1,crit_VERB/E,0.719574
2,2,crit_CODE/H,1.434454
2,2,crit_VERB/H,0.639738
2,2,crit_CODE/E,1.286707
2,2,crit_VERB/E,0.730243
2,3,crit_CODE/H,1.258888
2,3,crit_VERB/H,0.817688
2,3,crit_CODE/E,1.173878
2,3,crit_VERB/E,0.855842
2,4,crit_CODE/H,0.527603
2,4,crit_VERB/H,0.037257
2,4,crit_CODE/E,0.355105
2,4,crit_VERB/E,-0.069766
2,5,crit_CODE/H,1.063582
2,5,crit_VERB/H,0.720906
2,5,crit_CODE/E,1.147382
2,5,crit_VERB/E,0.813565
2,6,crit_CODE/H,0.538822
2,6,crit_VERB/H,0.156374
2,6,crit_CODE/E,0.420616
2,6,crit_VERB/E,0.045791
2,7,crit_CODE/H,0.487279
2,7,crit_VERB/H,0.038898
2,7,crit_CODE/E,0.493139
2,7,crit_VERB/E,0.049433
2,8,crit_CODE/H,0.937271
2,8,crit_VERB/H,0.598193
2,8,crit_CODE/E,0.704790
2,8,crit_VERB/E,0.482677
2,9,crit_CODE/H,0.769995
2,9,crit_VERB/H,0.223565
2,9,crit_CODE/E,0.685462
2,9,crit_VERB/E,0.175482
2,10,crit_CODE/H,1.025747
2,10,crit_VERB/H,0.480619
2,10,crit_CODE/E,1.048743
2,10,crit_VERB/E,0.466516
2,11,crit_CODE/H,0.718152
2,11,crit_VERB/H,0.328840
2,11,crit_CODE/E,0.818871
2,11,crit_VERB/E,0.478884
2,12,crit_CODE/H,-0.050288
2,12,crit_VERB/H,-0.421374
2,12,crit_CODE/E,-0.032259
2,12,crit_VERB/E,-0.393989
2,13,crit_CODE/H,0.271914
2,13,crit_VERB/H,-0.111747
2,13,crit_CODE/E,0.201696
2,13,crit_VERB/E,-0.186944
2,14,crit_CODE/H,0.933052
2,14,crit_VERB/H,0.077166
2,14,crit_CODE/E,0.863901
2,14,crit_VERB/E,0.087865
2,15,crit_CODE/H,1.098211
2,15,crit_VERB/H,0.429549
2,15,crit_CODE/E,0.921388
2,15,crit_VERB/E,0.443679
2,16,crit_CODE/H,0.806334
2,16,crit_VERB/H,0.689718
2,16,crit_CODE/E,0.740888
2,16,crit_VERB/E,0.647378
2,17,crit_CODE/H,0.476639
2,17,crit_VERB/H,0.306268
2,17,crit_CODE/E,0.261744
2,17,crit_VERB/E,0.061732
2,18,crit_CODE/H,1.013690
2,18,crit_VERB/H,0.536342
2,18,crit_CODE/E,1.041688
2,18,crit_VERB/E,0.718338
2,19,crit_CODE/H,0.506270
2,19,crit_VERB/H,0.359535
2,19,crit_CODE/E,0.382267
2,19,crit_VERB/E,0.331803
3,1,crit_CODE/H,0.686070
3,1,crit_VERB/H,0.494933
3,1,crit_CODE/E,0.608029
3,1,crit_VERB/E,0.451839
3,2,crit_CODE/H,1.130785
3,2,crit_VERB/H,0.262896
3,2,crit_CODE/E,1.071458
3,2,crit_VERB/E,0.298875
3,3,crit_CODE/H,0.847671
3,3,crit_VERB/H,0.667167
3,3,crit_CODE/E,0.709471
3,3,crit_VERB/E,0.583873
3,4,crit_CODE/H,0.604645
3,4,crit_VERB/H,0.078073
3,4,crit_CODE/E,0.398074
3,4,crit_VERB/E,-0.057911
3,5,crit_CODE/H,0.836727
3,5,crit_VERB/H,0.239929
3,5,crit_CODE/E,0.874065
3,5,crit_VERB/E,0.315079
3,6,crit_CODE/H,0.512318
3,6,crit_VERB/H,0.246751
3,6,crit_CODE/E,0.413759
3,6,crit_VERB/E,0.187447
3,7,crit_CODE/H,0.390799
3,7,crit_VERB/H,0.048535
3,7,crit_CODE/E,0.667602
3,7,crit_VERB/E,0.088634
3,8,crit_CODE/H,0.783146
3,8,crit_VERB/H,0.209765
3,8,crit_CODE/E,0.777926
3,8,crit_VERB/E,0.244076
3,9,crit_CODE/H,0.840015
3,9,crit_VERB/H,0.203874
3,9,crit_CODE/E,0.809265
3,9,crit_VERB/E,0.158492
3,10,crit_CODE/H,0.352563
3,10,crit_VERB/H,0.176751
3,10,crit_CODE/E,0.485398
3,10,crit_VERB/E,0.380717
3,11,crit_CODE/H,0.841955
3,11,crit_VERB/H,0.249843
3,11,crit_CODE/E,0.816020
3,11,crit_VERB/E,0.274879
3,12,crit_CODE/H,-0.297397
3,12,crit_VERB/H,-0.292438
3,12,crit_CODE/E,-0.292844
3,12,crit_VERB/E,-0.257555
3,13,crit_CODE/H,0.433428
3,13,crit_VERB/H,-0.061495
3,13,crit_CODE/E,0.357235
3,13,crit_VERB/E,-0.101265
3,14,crit_CODE/H,0.829551
3,14,crit_VERB/H,0.251725
3,14,crit_CODE/E,0.710092
3,14,crit_VERB/E,0.190606
3,15,crit_CODE/H,1.037534
3,15,crit_VERB/H,0.300350
3,15,crit_CODE/E,0.939619
3,15,crit_VERB/E,0.266840
3,16,crit_CODE/H,1.172102
3,16,crit_VERB/H,1.036216
3,16,crit_CODE/E,1.096604
3,16,crit_VERB/E,1.018053
