ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,1.622012
1,1,jap/en,1.421809
1,1,sent/en,1.267392
1,1,en/jap,1.585952
1,1,jap/jap,1.426462
1,1,sent/jap,1.270292
1,1,en/sent,1.394283
1,1,jap/sent,1.278386
1,1,sent/sent,1.340245
1,2,en/en,1.521635
1,2,jap/en,1.698368
1,2,sent/en,1.141326
1,2,en/jap,1.550705
1,2,jap/jap,1.696118
1,2,sent/jap,1.160544
1,2,en/sent,1.304439
1,2,jap/sent,1.411973
1,2,sent/sent,1.207278
1,3,en/en,1.177629
1,3,jap/en,1.303055
1,3,sent/en,1.146064
1,3,en/jap,1.156760
1,3,jap/jap,1.441558
1,3,sent/jap,1.073461
1,3,en/sent,1.102621
1,3,jap/sent,1.159970
1,3,sent/sent,1.168454
1,4,en/en,1.130157
1,4,jap/en,1.014763
1,4,sent/en,0.813302
1,4,en/jap,1.083905
1,4,jap/jap,1.003247
1,4,sent/jap,0.800465
1,4,en/sent,1.019358
1,4,jap/sent,0.917727
1,4,sent/sent,0.825110
1,5,en/en,1.690021
1,5,jap/en,1.759335
1,5,sent/en,1.398681
1,5,en/jap,1.696964
1,5,jap/jap,1.747107
1,5,sent/jap,1.398910
1,5,en/sent,1.510029
1,5,jap/sent,1.544869
1,5,sent/sent,1.493042
1,6,en/en,1.395570
1,6,jap/en,1.510616
1,6,sent/en,0.974178
1,6,en/jap,1.411788
1,6,jap/jap,1.505394
1,6,sent/jap,0.950046
1,6,en/sent,1.188012
1,6,jap/sent,1.196140
1,6,sent/sent,1.030387
1,7,en/en,1.458080
1,7,jap/en,1.501514
1,7,sent/en,1.202590
1,7,en/jap,1.459692
1,7,jap/jap,1.502975
1,7,sent/jap,1.162525
1,7,en/sent,1.331213
1,7,jap/sent,1.303060
1,7,sent/sent,1.237829
1,8,en/en,1.221168
1,8,jap/en,1.340112
1,8,sent/en,0.894690
1,8,en/jap,1.248590
1,8,jap/jap,1.350208
1,8,sent/jap,0.926523
1,8,en/sent,1.026793
1,8,jap/sent,1.118926
1,8,sent/sent,1.119604
1,9,en/en,1.583235
1,9,jap/en,1.642944
1,9,sent/en,1.354476
1,9,en/jap,1.581085
1,9,jap/jap,1.658661
1,9,sent/jap,1.339367
1,9,en/sent,1.504191
1,9,jap/sent,1.525531
1,9,sent/sent,1.340810
