ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/en,0.971531
1,1,jap/en,0.762648
1,1,sent/en,0.874288
1,1,en/jap,0.916689
1,1,jap/jap,0.739583
1,1,sent/jap,0.767807
1,1,en/sent,0.769219
1,1,jap/sent,0.580020
1,1,sent/sent,1.141993
1,2,en/en,0.744707
1,2,jap/en,0.762861
1,2,sent/en,0.872445
1,2,en/jap,0.736841
1,2,jap/jap,0.772259
1,2,sent/jap,0.827163
1,2,en/sent,0.680337
1,2,jap/sent,0.666786
1,2,sent/sent,1.121379
1,3,en/en,0.755606
1,3,jap/en,0.924865
1,3,sent/en,0.822356
1,3,en/jap,0.766212
1,3,jap/jap,0.996042
1,3,sent/jap,0.722347
1,3,en/sent,0.647378
1,3,jap/sent,0.675993
1,3,sent/sent,1.074920
1,4,en/en,0.509751
1,4,jap/en,0.472268
1,4,sent/en,0.610195
1,4,en/jap,0.490045
1,4,jap/jap,0.465680
1,4,sent/jap,0.627598
1,4,en/sent,0.450907
1,4,jap/sent,0.438210
1,4,sent/sent,0.875031
1,5,en/en,0.895268
1,5,jap/en,0.927224
1,5,sent/en,0.965431
1,5,en/jap,0.877599
1,5,jap/jap,0.941444
1,5,sent/jap,1.074969
1,5,en/sent,0.766146
1,5,jap/sent,0.863202
1,5,sent/sent,1.281244
1,6,en/en,1.015397
1,6,jap/en,1.036573
1,6,sent/en,0.781814
1,6,en/jap,1.009450
1,6,jap/jap,1.030325
1,6,sent/jap,0.749317
1,6,en/sent,0.766025
1,6,jap/sent,0.727520
1,6,sent/sent,1.084904
1,7,en/en,0.943058
1,7,jap/en,0.885388
1,7,sent/en,1.104544
1,7,en/jap,0.934916
1,7,jap/jap,0.878549
1,7,sent/jap,1.032099
1,7,en/sent,0.909655
1,7,jap/sent,0.821465
1,7,sent/sent,1.278795
1,8,en/en,1.268210
1,8,jap/en,1.355908
1,8,sent/en,1.307392
1,8,en/jap,1.265486
1,8,jap/jap,1.349348
1,8,sent/jap,1.298995
1,8,en/sent,1.166480
1,8,jap/sent,1.227860
1,8,sent/sent,1.503279
1,9,en/en,1.025030
1,9,jap/en,0.990824
1,9,sent/en,0.912547
1,9,en/jap,1.010398
1,9,jap/jap,1.001112
1,9,sent/jap,0.937361
1,9,en/sent,0.996392
1,9,jap/sent,0.970014
1,9,sent/sent,0.976600
1,10,en/en,1.042862
1,10,jap/en,0.994109
1,10,sent/en,0.921546
1,10,en/jap,0.964453
1,10,jap/jap,1.051437
1,10,sent/jap,0.825042
1,10,en/sent,0.890554
1,10,jap/sent,0.812325
1,10,sent/sent,1.073999
1,11,en/en,1.229082
1,11,jap/en,1.022968
1,11,sent/en,1.040531
1,11,en/jap,1.046823
1,11,jap/jap,1.046465
1,11,sent/jap,0.774331
1,11,en/sent,0.968842
1,11,jap/sent,0.686159
1,11,sent/sent,1.381384
1,12,en/en,0.878495
1,12,jap/en,0.867928
1,12,sent/en,0.830257
1,12,en/jap,0.888438
1,12,jap/jap,0.873081
1,12,sent/jap,0.789870
1,12,en/sent,0.799735
1,12,jap/sent,0.720572
1,12,sent/sent,0.947959
1,13,en/en,1.155394
1,13,jap/en,1.081416
1,13,sent/en,1.129455
1,13,en/jap,1.120979
1,13,jap/jap,1.109210
1,13,sent/jap,1.105395
1,13,en/sent,1.046336
1,13,jap/sent,0.995830
1,13,sent/sent,1.323721
1,14,en/en,1.108094
1,14,jap/en,1.283813
1,14,sent/en,1.288417
1,14,en/jap,1.120358
1,14,jap/jap,1.323547
1,14,sent/jap,1.222732
