ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,0.917625
1,1,N/en,0.974350
1,1,S/jap,0.771379
1,1,N/jap,0.908659
1,1,S/sent,1.523899
1,1,N/sent,0.959276
1,2,S/en,0.708576
1,2,N/en,0.304897
1,2,S/jap,0.853753
1,2,N/jap,0.393901
1,2,S/sent,1.114527
1,2,N/sent,0.487909
1,3,S/en,0.972129
1,3,N/en,0.633598
1,3,S/jap,0.847170
1,3,N/jap,0.658656
1,3,S/sent,1.063211
1,3,N/sent,0.380292
1,4,S/en,0.403787
1,4,N/en,0.346215
1,4,S/jap,0.469085
1,4,N/jap,0.412873
1,4,S/sent,0.847631
1,4,N/sent,0.332428
1,5,S/en,0.713313
1,5,N/en,0.445965
1,5,S/jap,0.917352
1,5,N/jap,0.589330
1,5,S/sent,1.138420
1,5,N/sent,0.580374
1,6,S/en,0.516081
1,6,N/en,0.482848
1,6,S/jap,0.491850
1,6,N/jap,0.442660
1,6,S/sent,1.054034
1,6,N/sent,0.734097
1,7,S/en,0.979909
1,7,N/en,0.762473
1,7,S/jap,0.905997
1,7,N/jap,0.773120
1,7,S/sent,1.134105
1,7,N/sent,0.749776
1,8,S/en,1.120463
1,8,N/en,0.916824
1,8,S/jap,1.138431
1,8,N/jap,0.938418
1,8,S/sent,1.339054
1,8,N/sent,0.817757
1,9,S/en,0.647191
1,9,N/en,0.086405
1,9,S/jap,0.619276
1,9,N/jap,0.016468
1,9,S/sent,0.811525
1,9,N/sent,0.028868
1,10,S/en,0.885262
1,10,N/en,0.637479
1,10,S/jap,0.842968
1,10,N/jap,0.645560
1,10,S/sent,1.193446
1,10,N/sent,0.683829
1,11,S/en,0.803364
1,11,N/en,0.950737
1,11,S/jap,0.617995
1,11,N/jap,0.903637
1,11,S/sent,1.207490
1,11,N/sent,0.750294
1,12,S/en,0.693859
1,12,N/en,0.289494
1,12,S/jap,0.660936
1,12,N/jap,0.317735
1,12,S/sent,0.903769
