ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/H,1.238086
1,1,jap/H,1.186378
1,1,sent/H,1.049174
1,1,en/E,1.238314
1,1,jap/E,1.197678
1,1,sent/E,1.093957
1,2,en/H,0.957183
1,2,jap/H,0.864223
1,2,sent/H,0.711842
1,2,en/E,0.985952
1,2,jap/E,0.898298
1,2,sent/E,0.732538
1,3,en/H,0.840767
1,3,jap/H,1.020399
1,3,sent/H,0.642137
1,3,en/E,1.018211
1,3,jap/E,1.153718
1,3,sent/E,0.804261
1,4,en/H,0.673023
1,4,jap/H,0.743315
1,4,sent/H,0.606474
1,4,en/E,0.671098
1,4,jap/E,0.806897
1,4,sent/E,0.645767
1,5,en/H,1.498130
1,5,jap/H,1.529436
1,5,sent/H,1.208463
1,5,en/E,1.566260
1,5,jap/E,1.605555
1,5,sent/E,1.294987
1,6,en/H,1.328646
1,6,jap/H,1.391069
1,6,sent/H,1.138547
1,6,en/E,1.188209
1,6,jap/E,1.210910
1,6,sent/E,1.173718
1,7,en/H,1.593004
1,7,jap/H,1.544977
1,7,sent/H,1.508343
1,7,en/E,1.438941
1,7,jap/E,1.446399
1,7,sent/E,1.295206
1,8,en/H,0.993461
1,8,jap/H,0.869051
1,8,sent/H,0.578575
1,8,en/E,1.023665
1,8,jap/E,0.900648
1,8,sent/E,0.649449
1,9,en/H,1.205989
1,9,jap/H,1.180131
1,9,sent/H,1.084006
1,9,en/E,1.143038
1,9,jap/E,1.165536
1,9,sent/E,1.017487
1,10,en/H,1.226333
1,10,jap/H,1.254774
1,10,sent/H,0.963092
1,10,en/E,1.261225
1,10,jap/E,1.269520
1,10,sent/E,1.011308
1,11,en/H,1.178010
1,11,jap/H,1.260892
1,11,sent/H,0.796365
1,11,en/E,0.889624
1,11,jap/E,1.015749
1,11,sent/E,0.616984
1,12,en/H,1.457630
1,12,jap/H,1.427395
1,12,sent/H,1.179539
1,12,en/E,1.305603
1,12,jap/E,1.278725
1,12,sent/E,1.107027
1,13,en/H,1.048445
1,13,jap/H,1.019880
1,13,sent/H,0.703673
1,13,en/E,1.001439
1,13,jap/E,0.995428
1,13,sent/E,0.767156
1,14,en/H,1.155490
1,14,jap/H,1.215670
1,14,sent/H,1.087367
1,14,en/E,1.152305
1,14,jap/E,1.189732
1,14,sent/E,1.111310
1,15,en/H,1.021711
1,15,jap/H,1.115385
1,15,sent/H,0.638979
1,15,en/E,1.057890
1,15,jap/E,1.145180
1,15,sent/E,0.710678
1,16,en/H,0.933478
1,16,jap/H,1.062397
1,16,sent/H,0.837979
1,16,en/E,0.914222
1,16,jap/E,1.040477
1,16,sent/E,0.862440
1,17,en/H,1.481205
1,17,jap/H,1.498147
1,17,sent/H,1.396982
1,17,en/E,1.477553
1,17,jap/E,1.488231
1,17,sent/E,1.390764
1,18,en/H,1.244989
1,18,jap/H,1.282391
1,18,sent/H,1.101218
1,18,en/E,1.178128
1,18,jap/E,1.216254
1,18,sent/E,1.069532
1,19,en/H,1.613362
1,19,jap/H,1.705629
1,19,sent/H,1.477275
1,19,en/E,1.696329
1,19,jap/E,1.786142
1,19,sent/E,1.539253
1,20,en/H,1.446766
1,20,jap/H,1.489116
1,20,sent/H,1.336703
1,20,en/E,1.437068
1,20,jap/E,1.476153
1,20,sent/E,1.363276
1,21,en/H,1.350184
1,21,jap/H,1.312509
1,21,sent/H,1.228388
1,21,en/E,1.268640
1,21,jap/E,1.241252
1,21,sent/E,1.165082
1,22,en/H,1.154393
1,22,jap/H,1.144707
1,22,sent/H,0.762690
1,22,en/E,1.125980
1,22,jap/E,1.122476
1,22,sent/E,0.746835
1,23,en/H,1.372128
1,23,jap/H,1.396878
1,23,sent/H,1.267342
1,23,en/E,1.320171
1,23,jap/E,1.294536
1,23,sent/E,1.277724
1,24,en/H,1.112910
1,24,jap/H,1.300437
1,24,sent/H,0.948200
1,24,en/E,1.151679
1,24,jap/E,1.328523
1,24,sent/E,0.994306
1,25,en/H,1.133412
1,25,jap/H,1.237612
1,25,sent/H,1.124940
1,25,en/E,0.955559
1,25,jap/E,1.010336
1,25,sent/E,0.940091
2,1,en/H,1.731738
2,1,jap/H,1.659498
2,1,sent/H,1.399403
2,1,en/E,1.730760
2,1,jap/E,1.718531
2,1,sent/E,1.470246
2,2,en/H,0.244176
2,2,jap/H,0.174948
2,2,sent/H,0.105338
2,2,en/E,0.153135
2,2,jap/E,0.090552
2,2,sent/E,0.021316
2,3,en/H,1.029191
2,3,jap/H,1.142307
2,3,sent/H,0.743779
2,3,en/E,1.056395
2,3,jap/E,1.128417
2,3,sent/E,0.759756
2,4,en/H,1.119340
2,4,jap/H,1.097757
2,4,sent/H,0.782855
2,4,en/E,0.795463
2,4,jap/E,0.803930
2,4,sent/E,0.616866
2,5,en/H,0.694978
2,5,jap/H,0.827470
2,5,sent/H,0.667985
2,5,en/E,0.705711
2,5,jap/E,0.840893
2,5,sent/E,0.677334
2,6,en/H,0.877130
2,6,jap/H,0.910485
2,6,sent/H,0.520001
2,6,en/E,0.754467
2,6,jap/E,0.761062
2,6,sent/E,0.705946
2,7,en/H,1.381064
2,7,jap/H,1.461984
2,7,sent/H,0.978170
2,7,en/E,1.215186
2,7,jap/E,1.309488
2,7,sent/E,0.826515
2,8,en/H,0.972611
2,8,jap/H,1.022490
2,8,sent/H,0.787860
2,8,en/E,0.715190
2,8,jap/E,0.763403
2,8,sent/E,0.588244
2,9,en/H,0.571374
2,9,jap/H,0.674471
2,9,sent/H,0.157496
2,9,en/E,0.498896
2,9,jap/E,0.634558
2,9,sent/E,0.148061
2,10,en/H,0.996071
2,10,jap/H,0.978521
2,10,sent/H,1.000099
2,10,en/E,0.876775
2,10,jap/E,0.871834
2,10,sent/E,0.925113
2,11,en/H,1.017594
2,11,jap/H,1.211779
2,11,sent/H,0.706720
2,11,en/E,0.539117
2,11,jap/E,0.808846
2,11,sent/E,0.361088
2,12,en/H,1.392490
2,12,jap/H,1.292980
2,12,sent/H,1.177276
2,12,en/E,1.007094
2,12,jap/E,0.910080
2,12,sent/E,0.839345
2,13,en/H,1.213273
2,13,jap/H,1.094564
2,13,sent/H,1.072662
2,13,en/E,1.053627
2,13,jap/E,0.966662
2,13,sent/E,1.070537
2,14,en/H,1.210409
2,14,jap/H,1.276963
2,14,sent/H,0.965586
2,14,en/E,1.087573
2,14,jap/E,1.143633
2,14,sent/E,0.910861
2,15,en/H,0.886703
2,15,jap/H,0.933142
2,15,sent/H,0.540521
2,15,en/E,0.773070
2,15,jap/E,0.816254
2,15,sent/E,0.467064
2,16,en/H,0.842635
2,16,jap/H,0.924947
2,16,sent/H,0.800498
