ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/crit_CODE,0.130381
1,1,N/crit_CODE,0.640544
1,1,S/crit_VERB,-0.060606
1,1,N/crit_VERB,0.357520
1,2,S/crit_CODE,1.286048
1,2,N/crit_CODE,1.341996
1,2,S/crit_VERB,1.401132
1,2,N/crit_VERB,1.293166
1,3,S/crit_CODE,0.532827
1,3,N/crit_CODE,0.505275
1,3,S/crit_VERB,0.416420
1,3,N/crit_VERB,0.374021
1,4,S/crit_CODE,0.334508
1,4,N/crit_CODE,0.344605
1,4,S/crit_VERB,0.347505
1,4,N/crit_VERB,0.475002
1,5,S/crit_CODE,0.233070
1,5,N/crit_CODE,0.267009
1,5,S/crit_VERB,-0.137631
1,5,N/crit_VERB,-0.049237
1,6,S/crit_CODE,0.470581
1,6,N/crit_CODE,0.564561
1,6,S/crit_VERB,0.521170
1,6,N/crit_VERB,0.329089
1,7,S/crit_CODE,0.555441
1,7,N/crit_CODE,0.621442
1,7,S/crit_VERB,0.789722
1,7,N/crit_VERB,0.745055
1,8,S/crit_CODE,0.258555
1,8,N/crit_CODE,0.565323
1,8,S/crit_VERB,0.423943
1,8,N/crit_VERB,0.479153
1,9,S/crit_CODE,0.338512
1,9,N/crit_CODE,0.475844
1,9,S/crit_VERB,0.693023
1,9,N/crit_VERB,0.820200
1,10,S/crit_CODE,0.290619
1,10,N/crit_CODE,0.292016
1,10,S/crit_VERB,0.279448
1,10,N/crit_VERB,0.321485
1,11,S/crit_CODE,0.947093
1,11,N/crit_CODE,1.114221
1,11,S/crit_VERB,0.985528
1,11,N/crit_VERB,1.013168
1,12,S/crit_CODE,0.456592
1,12,N/crit_CODE,0.442457
1,12,S/crit_VERB,0.225343
1,12,N/crit_VERB,0.460669
1,13,S/crit_CODE,0.943055
1,13,N/crit_CODE,0.865018
1,13,S/crit_VERB,1.198056
1,13,N/crit_VERB,1.059312
1,14,S/crit_CODE,0.305078
1,14,N/crit_CODE,0.461789
1,14,S/crit_VERB,0.777644
1,14,N/crit_VERB,0.819740
1,15,S/crit_CODE,0.285549
1,15,N/crit_CODE,0.448664
1,15,S/crit_VERB,0.562027
1,15,N/crit_VERB,0.659116
1,16,S/crit_CODE,0.060886
1,16,N/crit_CODE,-0.222776
1,16,S/crit_VERB,0.112318
1,16,N/crit_VERB,-0.208481
1,17,S/crit_CODE,-0.109897
1,17,N/crit_CODE,-0.112185
1,17,S/crit_VERB,-0.067355
1,17,N/crit_VERB,0.009683
1,18,S/crit_CODE,0.072278
1,18,N/crit_CODE,0.352751
1,18,S/crit_VERB,-0.082751
1,18,N/crit_VERB,0.198829
1,19,S/crit_CODE,0.374856
1,19,N/crit_CODE,0.529859
1,19,S/crit_VERB,0.359943
1,19,N/crit_VERB,0.419318
2,1,S/crit_CODE,0.092794
2,1,N/crit_CODE,0.953603
2,1,S/crit_VERB,0.215673
2,1,N/crit_VERB,1.054334
2,2,S/crit_CODE,0.929578
2,2,N/crit_CODE,0.929341
2,2,S/crit_VERB,0.900865
2,2,N/crit_VERB,0.872283
2,3,S/crit_CODE,0.252492
2,3,N/crit_CODE,0.281382
2,3,S/crit_VERB,0.717569
2,3,N/crit_VERB,0.310016
2,4,S/crit_CODE,-0.089651
2,4,N/crit_CODE,0.077152
2,4,S/crit_VERB,0.388947
2,4,N/crit_VERB,0.790260
2,5,S/crit_CODE,0.415092
2,5,N/crit_CODE,0.915192
2,5,S/crit_VERB,0.266119
2,5,N/crit_VERB,0.844224
2,6,S/crit_CODE,0.739356
2,6,N/crit_CODE,0.870547
2,6,S/crit_VERB,0.328811
2,6,N/crit_VERB,0.358945
2,7,S/crit_CODE,0.732084
2,7,N/crit_CODE,0.987340
2,7,S/crit_VERB,0.180441
2,7,N/crit_VERB,0.623769
2,8,S/crit_CODE,0.663478
2,8,N/crit_CODE,0.814027
2,8,S/crit_VERB,0.656313
2,8,N/crit_VERB,0.438594
2,9,S/crit_CODE,0.248504
2,9,N/crit_CODE,0.665882
2,9,S/crit_VERB,0.050156
2,9,N/crit_VERB,0.772010
2,10,S/crit_CODE,0.593452
2,10,N/crit_CODE,0.726092
2,10,S/crit_VERB,0.542174
2,10,N/crit_VERB,0.618470
2,11,S/crit_CODE,0.908255
2,11,N/crit_CODE,1.041492
2,11,S/crit_VERB,0.763869
2,11,N/crit_VERB,0.761083
2,12,S/crit_CODE,0.486923
2,12,N/crit_CODE,0.156933
2,12,S/crit_VERB,-0.650268
2,12,N/crit_VERB,-0.307831
2,13,S/crit_CODE,0.875652
2,13,N/crit_CODE,0.867715
2,13,S/crit_VERB,0.783138
2,13,N/crit_VERB,0.790206
2,14,S/crit_CODE,0.723186
2,14,N/crit_CODE,0.935765
2,14,S/crit_VERB,0.739895
2,14,N/crit_VERB,0.723735
2,15,S/crit_CODE,-0.382989
2,15,N/crit_CODE,-0.381955
2,15,S/crit_VERB,-0.276032
2,15,N/crit_VERB,-0.269054
2,16,S/crit_CODE,0.520469
2,16,N/crit_CODE,0.302581
2,16,S/crit_VERB,0.473556
2,16,N/crit_VERB,0.254855
2,17,S/crit_CODE,0.611836
2,17,N/crit_CODE,0.808652
2,17,S/crit_VERB,0.745198
2,17,N/crit_VERB,1.017627
2,18,S/crit_CODE,-0.088848
2,18,N/crit_CODE,0.109003
2,18,S/crit_VERB,-0.209732
2,18,N/crit_VERB,0.007183
2,19,S/crit_CODE,-0.102196
2,19,N/crit_CODE,0.416706
2,19,S/crit_VERB,-0.045163
2,19,N/crit_VERB,0.425112
3,1,S/crit_CODE,0.326081
3,1,N/crit_CODE,0.917715
3,1,S/crit_VERB,0.472248
3,1,N/crit_VERB,0.680959
3,2,S/crit_CODE,0.750223
3,2,N/crit_CODE,0.926183
3,2,S/crit_VERB,0.950278
3,2,N/crit_VERB,0.863282
3,3,S/crit_CODE,0.707787
3,3,N/crit_CODE,0.552148
3,3,S/crit_VERB,0.821886
3,3,N/crit_VERB,0.536553
3,4,S/crit_CODE,0.348543
3,4,N/crit_CODE,0.436991
3,4,S/crit_VERB,0.419936
3,4,N/crit_VERB,0.671813
3,5,S/crit_CODE,0.428834
3,5,N/crit_CODE,0.585548
3,5,S/crit_VERB,0.574720
3,5,N/crit_VERB,0.891102
3,6,S/crit_CODE,0.431331
3,6,N/crit_CODE,0.908698
3,6,S/crit_VERB,0.015708
3,6,N/crit_VERB,0.460986
3,7,S/crit_CODE,0.463071
3,7,N/crit_CODE,0.696804
3,7,S/crit_VERB,0.905113
3,7,N/crit_VERB,0.901659
3,8,S/crit_CODE,0.044687
3,8,N/crit_CODE,0.692161
3,8,S/crit_VERB,0.809950
3,8,N/crit_VERB,0.558169
3,9,S/crit_CODE,0.114205
3,9,N/crit_CODE,0.418984
3,9,S/crit_VERB,-0.341163
3,9,N/crit_VERB,-0.127114
3,10,S/crit_CODE,0.611099
3,10,N/crit_CODE,0.728157
3,10,S/crit_VERB,0.493306
3,10,N/crit_VERB,0.653005
3,11,S/crit_CODE,0.581725
3,11,N/crit_CODE,0.868120
3,11,S/crit_VERB,0.743535
3,11,N/crit_VERB,0.719562
3,12,S/crit_CODE,0.188761
3,12,N/crit_CODE,0.012438
3,12,S/crit_VERB,-0.242091
3,12,N/crit_VERB,-0.068697
3,13,S/crit_CODE,0.640538
3,13,N/crit_CODE,0.586115
3,13,S/crit_VERB,0.417818
3,13,N/crit_VERB,0.349214
3,14,S/crit_CODE,0.736994
3,14,N/crit_CODE,0.908205
3,14,S/crit_VERB,0.817424
3,14,N/crit_VERB,0.941550
3,15,S/crit_CODE,-0.532820
3,15,N/crit_CODE,-0.216884
3,15,S/crit_VERB,-0.021543
3,15,N/crit_VERB,0.198186
3,16,S/crit_CODE,0.805010
3,16,N/crit_CODE,0.168679
3,16,S/crit_VERB,0.848756
3,16,N/crit_VERB,0.225712
3,17,S/crit_CODE,0.346775
3,17,N/crit_CODE,0.575680
3,17,S/crit_VERB,0.610642
3,17,N/crit_VERB,0.972775
3,18,S/crit_CODE,-0.034916
3,18,N/crit_CODE,0.224657
3,18,S/crit_VERB,-0.138147
3,18,N/crit_VERB,0.134155
3,19,S/crit_CODE,0.254632
3,19,N/crit_CODE,0.433042
3,19,S/crit_VERB,0.381638
3,19,N/crit_VERB,0.414352
4,1,S/crit_CODE,0.558204
4,1,N/crit_CODE,1.019024
4,1,S/crit_VERB,0.627670
4,1,N/crit_VERB,1.003453
4,2,S/crit_CODE,0.999411
4,2,N/crit_CODE,0.740110
4,2,S/crit_VERB,1.306834
4,2,N/crit_VERB,0.932996
4,3,S/crit_CODE,1.138027
4,3,N/crit_CODE,0.964864
4,3,S/crit_VERB,1.205644
4,3,N/crit_VERB,0.984911
4,4,S/crit_CODE,0.305376
4,4,N/crit_CODE,0.295207
4,4,S/crit_VERB,0.329543
4,4,N/crit_VERB,0.390769
4,5,S/crit_CODE,0.931414
4,5,N/crit_CODE,1.035001
4,5,S/crit_VERB,1.057946
4,5,N/crit_VERB,1.133533
4,6,S/crit_CODE,0.205405
4,6,N/crit_CODE,0.296491
4,6,S/crit_VERB,0.167589
4,6,N/crit_VERB,0.283313
4,7,S/crit_CODE,0.372081
4,7,N/crit_CODE,0.288786
