ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/crit_CODE,0.028407
1,1,N/crit_CODE,-0.000954
1,1,S/crit_VERB,0.548646
1,1,N/crit_VERB,0.364807
1,2,S/crit_CODE,0.113709
1,2,N/crit_CODE,0.003404
1,2,S/crit_VERB,0.454011
1,2,N/crit_VERB,0.179946
1,3,S/crit_CODE,0.280585
1,3,N/crit_CODE,0.217177
1,3,S/crit_VERB,0.890452
1,3,N/crit_VERB,0.448637
1,4,S/crit_CODE,0.503878
1,4,N/crit_CODE,0.385624
1,4,S/crit_VERB,0.782812
1,4,N/crit_VERB,0.678581
1,5,S/crit_CODE,0.352118
1,5,N/crit_CODE,0.344021
1,5,S/crit_VERB,0.186489
1,5,N/crit_VERB,0.154296
1,6,S/crit_CODE,-0.298004
1,6,N/crit_CODE,-0.310119
1,6,S/crit_VERB,-0.051238
1,6,N/crit_VERB,-0.001468
1,7,S/crit_CODE,0.629064
1,7,N/crit_CODE,0.458673
1,7,S/crit_VERB,0.716911
1,7,N/crit_VERB,0.385571
1,8,S/crit_CODE,0.230371
1,8,N/crit_CODE,0.356351
1,8,S/crit_VERB,0.475393
1,8,N/crit_VERB,0.496498
1,9,S/crit_CODE,0.310432
1,9,N/crit_CODE,0.284382
1,9,S/crit_VERB,0.466189
1,9,N/crit_VERB,0.344125
1,10,S/crit_CODE,-0.035141
1,10,N/crit_CODE,-0.130868
1,10,S/crit_VERB,0.220400
1,10,N/crit_VERB,0.132088
1,11,S/crit_CODE,0.454313
1,11,N/crit_CODE,0.343737
1,11,S/crit_VERB,0.674179
1,11,N/crit_VERB,0.525318
1,12,S/crit_CODE,-0.011997
1,12,N/crit_CODE,-0.154326
1,12,S/crit_VERB,0.573148
1,12,N/crit_VERB,0.312476
1,13,S/crit_CODE,0.471700
1,13,N/crit_CODE,0.279182
1,13,S/crit_VERB,0.579348
1,13,N/crit_VERB,0.386140
1,14,S/crit_CODE,-0.131658
1,14,N/crit_CODE,-0.208130
1,14,S/crit_VERB,-0.146294
1,14,N/crit_VERB,-0.405129
1,15,S/crit_CODE,0.035669
1,15,N/crit_CODE,0.142457
1,15,S/crit_VERB,0.480342
1,15,N/crit_VERB,0.313178
1,16,S/crit_CODE,0.056719
1,16,N/crit_CODE,-0.024181
1,16,S/crit_VERB,0.076292
1,16,N/crit_VERB,-0.112214
1,17,S/crit_CODE,0.041611
1,17,N/crit_CODE,0.179716
1,17,S/crit_VERB,0.365511
1,17,N/crit_VERB,0.175026
1,18,S/crit_CODE,0.440175
1,18,N/crit_CODE,0.380974
1,18,S/crit_VERB,0.090519
1,18,N/crit_VERB,-0.007078
1,19,S/crit_CODE,0.144728
1,19,N/crit_CODE,0.105984
1,19,S/crit_VERB,0.526723
1,19,N/crit_VERB,0.432886
2,1,S/crit_CODE,-0.290778
2,1,N/crit_CODE,-0.222632
2,1,S/crit_VERB,0.274792
2,1,N/crit_VERB,0.331910
2,2,S/crit_CODE,0.075472
2,2,N/crit_CODE,0.255970
2,2,S/crit_VERB,0.972811
2,2,N/crit_VERB,0.691854
2,3,S/crit_CODE,0.183602
2,3,N/crit_CODE,-0.063747
2,3,S/crit_VERB,0.485335
2,3,N/crit_VERB,0.291679
2,4,S/crit_CODE,-0.029610
2,4,N/crit_CODE,-0.065060
2,4,S/crit_VERB,-0.052149
2,4,N/crit_VERB,-0.184602
2,5,S/crit_CODE,0.453952
2,5,N/crit_CODE,0.591827
2,5,S/crit_VERB,0.590610
2,5,N/crit_VERB,0.465531
2,6,S/crit_CODE,-0.209997
2,6,N/crit_CODE,-0.124088
2,6,S/crit_VERB,-0.047950
2,6,N/crit_VERB,-0.212990
2,7,S/crit_CODE,0.193325
2,7,N/crit_CODE,0.093970
2,7,S/crit_VERB,0.498269
2,7,N/crit_VERB,0.291915
2,8,S/crit_CODE,0.215186
2,8,N/crit_CODE,0.362506
2,8,S/crit_VERB,0.546554
2,8,N/crit_VERB,0.343182
2,9,S/crit_CODE,-0.194519
2,9,N/crit_CODE,0.162521
2,9,S/crit_VERB,0.023276
2,9,N/crit_VERB,0.065945
2,10,S/crit_CODE,0.123080
2,10,N/crit_CODE,-0.070529
2,10,S/crit_VERB,0.156859
2,10,N/crit_VERB,0.326579
2,11,S/crit_CODE,0.560577
2,11,N/crit_CODE,0.570058
2,11,S/crit_VERB,0.876576
2,11,N/crit_VERB,0.723432
2,12,S/crit_CODE,0.096122
2,12,N/crit_CODE,-0.152088
2,12,S/crit_VERB,0.040680
2,12,N/crit_VERB,-0.185083
2,13,S/crit_CODE,-0.030057
2,13,N/crit_CODE,0.074668
2,13,S/crit_VERB,0.075235
2,13,N/crit_VERB,0.089020
2,14,S/crit_CODE,0.136570
2,14,N/crit_CODE,0.335958
