ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/en,0.378308
1,1,N/en,0.392339
1,1,S/jap,0.366002
1,1,N/jap,0.379987
1,1,S/sent,0.534032
1,1,N/sent,0.511167
1,2,S/en,0.467034
1,2,N/en,0.110196
1,2,S/jap,0.471982
1,2,N/jap,0.112086
1,2,S/sent,0.637506
1,2,N/sent,0.300319
1,3,S/en,1.064188
1,3,N/en,0.974125
1,3,S/jap,0.825581
1,3,N/jap,0.808433
1,3,S/sent,1.016734
1,3,N/sent,0.924511
1,4,S/en,0.153429
1,4,N/en,0.458599
1,4,S/jap,0.234442
1,4,N/jap,0.468587
1,4,S/sent,0.271782
1,4,N/sent,0.554149
1,5,S/en,0.354167
1,5,N/en,0.351233
1,5,S/jap,0.397546
1,5,N/jap,0.393839
1,5,S/sent,0.484990
1,5,N/sent,0.444283
1,6,S/en,0.227659
1,6,N/en,0.257114
1,6,S/jap,0.188747
1,6,N/jap,0.217173
1,6,S/sent,0.288531
1,6,N/sent,0.276423
1,7,S/en,0.471865
1,7,N/en,0.548927
1,7,S/jap,0.417693
1,7,N/jap,0.520866
1,7,S/sent,0.581364
1,7,N/sent,0.565132
1,8,S/en,-0.003075
1,8,N/en,0.174106
1,8,S/jap,0.010193
1,8,N/jap,0.184740
1,8,S/sent,0.300406
1,8,N/sent,0.448162
1,9,S/en,0.222340
1,9,N/en,0.202983
1,9,S/jap,0.148781
1,9,N/jap,0.148137
1,9,S/sent,0.307583
1,9,N/sent,0.285015
1,10,S/en,0.577582
1,10,N/en,0.625658
1,10,S/jap,0.514266
1,10,N/jap,0.531143
1,10,S/sent,0.811007
1,10,N/sent,0.787528
1,11,S/en,-0.057331
1,11,N/en,0.786971
1,11,S/jap,0.052041
1,11,N/jap,0.739213
1,11,S/sent,-0.031491
1,11,N/sent,0.905933
1,12,S/en,0.344320
1,12,N/en,0.116755
1,12,S/jap,0.371889
1,12,N/jap,0.144345
1,12,S/sent,0.494746
1,12,N/sent,0.223194
1,13,S/en,0.996013
1,13,N/en,0.845356
1,13,S/jap,0.983393
1,13,N/jap,0.842009
1,13,S/sent,0.949899
1,13,N/sent,0.872512
1,14,S/en,0.973641
1,14,N/en,1.042210
1,14,S/jap,0.955087
1,14,N/jap,1.089031
1,14,S/sent,0.966272
1,14,N/sent,1.089642
1,15,S/en,0.628760
1,15,N/en,0.721687
1,15,S/jap,0.613325
1,15,N/jap,0.721920
1,15,S/sent,0.919057
1,15,N/sent,0.981367
1,16,S/en,0.166198
1,16,N/en,0.303196
1,16,S/jap,0.221363
1,16,N/jap,0.360403
1,16,S/sent,0.434067
1,16,N/sent,0.258179
1,17,S/en,0.836946
1,17,N/en,0.776234
1,17,S/jap,0.827947
1,17,N/jap,0.771152
1,17,S/sent,0.940745
1,17,N/sent,0.832781
1,18,S/en,0.915972
1,18,N/en,1.040055
1,18,S/jap,0.842033
1,18,N/jap,0.975350
1,18,S/sent,1.149116
1,18,N/sent,1.248738
1,19,S/en,0.750631
1,19,N/en,0.926819
1,19,S/jap,0.753625
1,19,N/jap,0.915701
1,19,S/sent,0.948614
1,19,N/sent,1.095244
1,20,S/en,-0.213533
1,20,N/en,0.106815
1,20,S/jap,-0.157242
1,20,N/jap,0.147787
1,20,S/sent,-0.139778
1,20,N/sent,0.187721
1,21,S/en,0.630940
1,21,N/en,0.784009
1,21,S/jap,0.603668
1,21,N/jap,0.777356
1,21,S/sent,0.703239
1,21,N/sent,0.832204
1,22,S/en,0.633286
1,22,N/en,0.673229
1,22,S/jap,0.606936
1,22,N/jap,0.664104
1,22,S/sent,0.967508
1,22,N/sent,0.966638
1,23,S/en,1.005903
1,23,N/en,0.657444
1,23,S/jap,0.940638
1,23,N/jap,0.617828
1,23,S/sent,1.183865
1,23,N/sent,0.803686
1,24,S/en,0.300496
1,24,N/en,0.430657
1,24,S/jap,0.199960
1,24,N/jap,0.337951
1,24,S/sent,0.390846
1,24,N/sent,0.498755
1,25,S/en,0.105421
1,25,N/en,0.330452
1,25,S/jap,0.104980
1,25,N/jap,0.328859
1,25,S/sent,0.312117
1,25,N/sent,0.478038
2,1,S/en,0.348980
2,1,N/en,0.853834
2,1,S/jap,0.431352
2,1,N/jap,0.946243
2,1,S/sent,0.546392
2,1,N/sent,1.022938
2,2,S/en,-0.391770
2,2,N/en,0.003238
2,2,S/jap,-0.438715
2,2,N/jap,-0.018658
2,2,S/sent,-0.333982
2,2,N/sent,0.131091
2,3,S/en,1.081403
2,3,N/en,0.862281
2,3,S/jap,1.124579
2,3,N/jap,0.953451
2,3,S/sent,0.971208
2,3,N/sent,0.784554
2,4,S/en,0.104685
2,4,N/en,0.529469
2,4,S/jap,0.133149
2,4,N/jap,0.492966
2,4,S/sent,0.159676
2,4,N/sent,0.253003
2,5,S/en,0.605637
2,5,N/en,0.506522
2,5,S/jap,0.483949
2,5,N/jap,0.379728
2,5,S/sent,0.527822
2,5,N/sent,0.406902
2,6,S/en,0.727604
2,6,N/en,0.406131
2,6,S/jap,0.598401
2,6,N/jap,0.330484
2,6,S/sent,0.721666
2,6,N/sent,0.182412
2,7,S/en,0.792601
2,7,N/en,0.786080
2,7,S/jap,0.854373
2,7,N/jap,0.883794
2,7,S/sent,0.645416
2,7,N/sent,0.579289
2,8,S/en,0.183787
2,8,N/en,0.580200
2,8,S/jap,0.187541
2,8,N/jap,0.599419
2,8,S/sent,0.288181
2,8,N/sent,0.562282
