ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,en/S,0.917625
1,1,jap/S,0.771379
1,1,sent/S,1.523899
1,1,en/N,0.974350
1,1,jap/N,0.908659
1,1,sent/N,0.959276
1,2,en/S,0.708576
1,2,jap/S,0.853753
1,2,sent/S,1.114527
1,2,en/N,0.304897
1,2,jap/N,0.393901
1,2,sent/N,0.487909
1,3,en/S,0.972129
1,3,jap/S,0.847170
1,3,sent/S,1.063211
1,3,en/N,0.633598
1,3,jap/N,0.658656
1,3,sent/N,0.380292
1,4,en/S,0.403787
1,4,jap/S,0.469085
1,4,sent/S,0.847631
1,4,en/N,0.346215
1,4,jap/N,0.412873
1,4,sent/N,0.332428
1,5,en/S,0.713313
1,5,jap/S,0.917352
1,5,sent/S,1.138420
1,5,en/N,0.445965
1,5,jap/N,0.589330
1,5,sent/N,0.580374
1,6,en/S,0.516081
1,6,jap/S,0.491850
1,6,sent/S,1.054034
1,6,en/N,0.482848
1,6,jap/N,0.442660
1,6,sent/N,0.734097
1,7,en/S,0.979909
1,7,jap/S,0.905997
1,7,sent/S,1.134105
1,7,en/N,0.762473
1,7,jap/N,0.773120
1,7,sent/N,0.749776
1,8,en/S,1.120463
1,8,jap/S,1.138431
1,8,sent/S,1.339054
1,8,en/N,0.916824
1,8,jap/N,0.938418
1,8,sent/N,0.817757
1,9,en/S,0.647191
1,9,jap/S,0.619276
1,9,sent/S,0.811525
1,9,en/N,0.086405
1,9,jap/N,0.016468
1,9,sent/N,0.028868
1,10,en/S,0.885262
1,10,jap/S,0.842968
1,10,sent/S,1.193446
1,10,en/N,0.637479
1,10,jap/N,0.645560
1,10,sent/N,0.683829
1,11,en/S,0.803364
1,11,jap/S,0.617995
1,11,sent/S,1.207490
1,11,en/N,0.950737
1,11,jap/N,0.903637
1,11,sent/N,0.750294
1,12,en/S,0.693859
1,12,jap/S,0.660936
1,12,sent/S,0.903769
1,12,en/N,0.289494
1,12,jap/N,0.317735
1,12,sent/N,0.381323
1,13,en/S,1.227494
1,13,jap/S,1.234963
1,13,sent/S,1.130233
1,13,en/N,0.679173
1,13,jap/N,0.694570
1,13,sent/N,0.516139
1,14,en/S,1.409169
1,14,jap/S,1.536476
1,14,sent/S,1.359822
1,14,en/N,0.955027
1,14,jap/N,1.132773
1,14,sent/N,0.789210
1,15,en/S,0.193994
1,15,jap/S,0.268325
1,15,sent/S,0.153640
1,15,en/N,0.270433
1,15,jap/N,0.325423
1,15,sent/N,0.071999
1,16,en/S,0.463913
1,16,jap/S,0.595394
1,16,sent/S,0.779552
1,16,en/N,0.370293
1,16,jap/N,0.455883
1,16,sent/N,0.580147
1,17,en/S,0.749667
1,17,jap/S,0.759093
1,17,sent/S,0.941447
1,17,en/N,0.604435
1,17,jap/N,0.640520
1,17,sent/N,0.670969
1,18,en/S,0.909251
1,18,jap/S,0.768075
1,18,sent/S,1.164438
1,18,en/N,0.466484
1,18,jap/N,0.367770
1,18,sent/N,0.427178
1,19,en/S,1.040650
1,19,jap/S,1.054243
1,19,sent/S,1.190958
1,19,en/N,0.752228
1,19,jap/N,0.804024
1,19,sent/N,0.740785
1,20,en/S,1.040301
1,20,jap/S,0.978528
1,20,sent/S,1.211321
1,20,en/N,0.676223
1,20,jap/N,0.637248
1,20,sent/N,0.689400
1,21,en/S,0.942319
1,21,jap/S,0.851368
1,21,sent/S,0.985303
1,21,en/N,0.591660
1,21,jap/N,0.490917
1,21,sent/N,0.428575
1,22,en/S,0.920519
1,22,jap/S,0.902530
1,22,sent/S,1.365296
1,22,en/N,0.785279
1,22,jap/N,0.845327
1,22,sent/N,1.000564
1,23,en/S,0.675707
1,23,jap/S,0.492796
1,23,sent/S,1.072502
1,23,en/N,0.430894
1,23,jap/N,0.366300
1,23,sent/N,0.524428
1,24,en/S,0.546519
1,24,jap/S,0.674734
1,24,sent/S,1.124765
1,24,en/N,0.522425
1,24,jap/N,0.651351
1,24,sent/N,0.588720
1,25,en/S,1.238789
1,25,jap/S,1.164919
1,25,sent/S,1.530298
1,25,en/N,0.878330
1,25,jap/N,0.813938
1,25,sent/N,0.861324
2,1,en/S,-0.138910
2,1,jap/S,-0.192392
2,1,sent/S,0.348312
2,1,en/N,0.412038
2,1,jap/N,0.363985
2,1,sent/N,0.371560
2,2,en/S,0.508122
2,2,jap/S,0.487490
2,2,sent/S,1.247898
2,2,en/N,0.133027
2,2,jap/N,0.134217
2,2,sent/N,0.445221
2,3,en/S,0.823643
2,3,jap/S,0.846186
2,3,sent/S,1.416973
2,3,en/N,0.598707
2,3,jap/N,0.593255
2,3,sent/N,0.383158
2,4,en/S,0.280487
2,4,jap/S,0.314622
2,4,sent/S,0.753162
2,4,en/N,0.062117
2,4,jap/N,-0.050471
2,4,sent/N,0.091595
2,5,en/S,0.457031
2,5,jap/S,0.575789
2,5,sent/S,1.039268
2,5,en/N,-0.264106
2,5,jap/N,-0.168453
2,5,sent/N,-0.255954
2,6,en/S,0.578394
2,6,jap/S,0.539927
2,6,sent/S,1.050865
2,6,en/N,0.313549
2,6,jap/N,0.306778
2,6,sent/N,0.467929
2,7,en/S,0.438741
2,7,jap/S,0.435608
2,7,sent/S,0.834286
2,7,en/N,0.314246
2,7,jap/N,0.386752
2,7,sent/N,0.431956
2,8,en/S,0.178327
2,8,jap/S,0.388716
2,8,sent/S,0.834128
