ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,S/S,1.126644
1,1,N/S,0.949069
1,1,S/N,0.949069
1,1,N/N,0.906727
1,2,S/S,0.460659
1,2,N/S,0.453030
1,2,S/N,0.453030
1,2,N/N,0.611414
1,3,S/S,1.099179
1,3,N/S,1.059592
1,3,S/N,1.059592
1,3,N/N,1.072329
1,4,S/S,0.713496
1,4,N/S,0.494029
1,4,S/N,0.494029
1,4,N/N,0.294699
1,5,S/S,0.245261
1,5,N/S,0.140250
1,5,S/N,0.140250
1,5,N/N,0.055387
1,6,S/S,0.956458
1,6,N/S,0.910738
1,6,S/N,0.910738
1,6,N/N,0.911029
1,7,S/S,0.460352
1,7,N/S,0.622362
1,7,S/N,0.622362
1,7,N/N,0.903987
1,8,S/S,1.017068
1,8,N/S,0.821164
1,8,S/N,0.821164
1,8,N/N,0.854847
1,9,S/S,1.179962
1,9,N/S,0.819998
1,9,S/N,0.819998
1,9,N/N,0.549964
1,10,S/S,0.483751
1,10,N/S,0.549214
1,10,S/N,0.549214
1,10,N/N,0.932136
1,11,S/S,-0.207003
1,11,N/S,-0.242476
1,11,S/N,-0.242476
1,11,N/N,0.015568
1,12,S/S,1.592759
1,12,N/S,0.975311
1,12,S/N,0.975311
1,12,N/N,0.727752
1,13,S/S,0.551458
1,13,N/S,0.630907
1,13,S/N,0.630907
1,13,N/N,0.774319
1,14,S/S,0.999605
1,14,N/S,0.831530
1,14,S/N,0.831530
1,14,N/N,0.759819
1,15,S/S,0.349478
1,15,N/S,0.314052
1,15,S/N,0.314052
1,15,N/N,0.285831
1,16,S/S,0.433583
1,16,N/S,0.286596
1,16,S/N,0.286596
1,16,N/N,0.224379
1,17,S/S,0.618745
1,17,N/S,0.503788
1,17,S/N,0.503788
1,17,N/N,0.469804
1,18,S/S,1.192004
1,18,N/S,1.203837
1,18,S/N,1.203837
1,18,N/N,1.202878
1,19,S/S,1.549722
1,19,N/S,1.249580
1,19,S/N,1.249580
1,19,N/N,1.137876
1,20,S/S,1.006308
1,20,N/S,0.664324
1,20,S/N,0.664324
1,20,N/N,0.575837
1,21,S/S,1.582024
1,21,N/S,1.359759
1,21,S/N,1.359759
1,21,N/N,1.043304
1,22,S/S,0.889266
1,22,N/S,0.978971
1,22,S/N,0.978971
1,22,N/N,1.278986
1,23,S/S,1.659278
1,23,N/S,1.565308
1,23,S/N,1.565308
1,23,N/N,1.841984
1,24,S/S,0.829001
1,24,N/S,0.734587
1,24,S/N,0.734587
1,24,N/N,0.617413
1,25,S/S,0.825255
1,25,N/S,0.740969
1,25,S/N,0.740969
1,25,N/N,0.633074
2,1,S/S,0.535434
2,1,N/S,0.132494
2,1,S/N,0.132494
2,1,N/N,0.166138
2,2,S/S,0.128631
2,2,N/S,-0.071230
2,2,S/N,-0.071230
2,2,N/N,0.089933
2,3,S/S,1.075184
2,3,N/S,1.231990
2,3,S/N,1.231990
2,3,N/N,1.597424
2,4,S/S,0.330119
2,4,N/S,0.039387
2,4,S/N,0.039387
2,4,N/N,0.105318
2,5,S/S,0.332331
2,5,N/S,0.151145
2,5,S/N,0.151145
2,5,N/N,-0.005305
2,6,S/S,0.401983
2,6,N/S,0.499581
2,6,S/N,0.499581
2,6,N/N,0.777360
2,7,S/S,0.817309
2,7,N/S,0.890431
2,7,S/N,0.890431
2,7,N/N,1.167726
2,8,S/S,1.029238
2,8,N/S,0.303830
2,8,S/N,0.303830
2,8,N/N,0.034364
2,9,S/S,0.911877
2,9,N/S,0.336899
2,9,S/N,0.336899
2,9,N/N,-0.016008
2,10,S/S,0.923304
2,10,N/S,0.593547
2,10,S/N,0.593547
2,10,N/N,1.492000
2,11,S/S,-0.331090
2,11,N/S,-0.510257
2,11,S/N,-0.510257
2,11,N/N,-0.680667
2,12,S/S,0.548230
2,12,N/S,0.283667
2,12,S/N,0.283667
2,12,N/N,0.268923
2,13,S/S,0.139423
2,13,N/S,0.372182
2,13,S/N,0.372182
2,13,N/N,0.697502
2,14,S/S,1.197234
2,14,N/S,0.819112
2,14,S/N,0.819112
2,14,N/N,0.638518
2,15,S/S,-0.040571
2,15,N/S,0.004018
2,15,S/N,0.004018
2,15,N/N,0.086935
2,16,S/S,1.189000
2,16,N/S,0.844547
2,16,S/N,0.844547
2,16,N/N,0.714174
2,17,S/S,0.328126
2,17,N/S,0.178064
2,17,S/N,0.178064
2,17,N/N,-0.046923
2,18,S/S,0.356607
2,18,N/S,0.613998
2,18,S/N,0.613998
2,18,N/N,0.835231
2,19,S/S,0.845427
2,19,N/S,0.508442
2,19,S/N,0.508442
2,19,N/N,0.272715
2,20,S/S,1.326239
2,20,N/S,0.363831
2,20,S/N,0.363831
2,20,N/N,0.554189
2,21,S/S,1.417966
2,21,N/S,0.996561
2,21,S/N,0.996561
2,21,N/N,0.787883
2,22,S/S,0.264197
2,22,N/S,0.713036
2,22,S/N,0.713036
2,22,N/N,1.249610
2,23,S/S,1.682238
2,23,N/S,1.478340
2,23,S/N,1.478340
2,23,N/N,1.644415
2,24,S/S,-0.139029
2,24,N/S,-0.039893
2,24,S/N,-0.039893
2,24,N/N,0.039574
2,25,S/S,0.444586
2,25,N/S,0.795521
2,25,S/N,0.795521
2,25,N/N,1.418639
3,1,S/S,0.662950
3,1,N/S,0.525199
3,1,S/N,0.525199
3,1,N/N,0.517473
3,2,S/S,0.436840
3,2,N/S,0.383713
3,2,S/N,0.383713
3,2,N/N,0.480811
3,3,S/S,0.942255
3,3,N/S,1.186929
3,3,S/N,1.186929
3,3,N/N,1.552009
3,4,S/S,-0.195387
3,4,N/S,-0.400163
3,4,S/N,-0.400163
3,4,N/N,-0.688720
3,5,S/S,-0.059230
3,5,N/S,-0.160779
3,5,S/N,-0.160779
3,5,N/N,-0.093178
3,6,S/S,0.594586
3,6,N/S,0.599781
3,6,S/N,0.599781
3,6,N/N,0.566386
3,7,S/S,0.682578
3,7,N/S,0.671301
3,7,S/N,0.671301
3,7,N/N,0.913698
3,8,S/S,0.799291
3,8,N/S,0.064562
3,8,S/N,0.064562
3,8,N/N,0.204154
3,9,S/S,1.059119
3,9,N/S,0.600322
3,9,S/N,0.600322
3,9,N/N,0.226513
3,10,S/S,0.661198
3,10,N/S,0.443892
3,10,S/N,0.443892
3,10,N/N,0.267118
3,11,S/S,0.251258
3,11,N/S,0.293587
3,11,S/N,0.293587
3,11,N/N,0.349282
3,12,S/S,-0.011465
3,12,N/S,-0.104895
3,12,S/N,-0.104895
3,12,N/N,-0.011000
3,13,S/S,0.748144
3,13,N/S,0.763247
3,13,S/N,0.763247
3,13,N/N,0.847244
3,14,S/S,0.891329
3,14,N/S,0.777894
3,14,S/N,0.777894
3,14,N/N,0.705507
3,15,S/S,0.310165
3,15,N/S,0.377152
3,15,S/N,0.377152
3,15,N/N,0.486522
3,16,S/S,0.562695
3,16,N/S,0.506906
3,16,S/N,0.506906
3,16,N/N,0.543207
3,17,S/S,1.126364
3,17,N/S,0.777885
3,17,S/N,0.777885
3,17,N/N,0.459252
3,18,S/S,0.541247
3,18,N/S,0.555671
3,18,S/N,0.555671
3,18,N/N,0.615841
3,19,S/S,0.641264
3,19,N/S,0.535691
3,19,S/N,0.535691
3,19,N/N,0.425692
3,20,S/S,0.080265
3,20,N/S,-0.093269
3,20,S/N,-0.093269
3,20,N/N,-0.038443
3,21,S/S,1.377323
3,21,N/S,1.052156
3,21,S/N,1.052156
3,21,N/N,1.074295
3,22,S/S,0.140907
3,22,N/S,0.420137
3,22,S/N,0.420137
3,22,N/N,0.595037
3,23,S/S,1.876303
3,23,N/S,1.829486
3,23,S/N,1.829486
3,23,N/N,2.217416
3,24,S/S,0.566786
3,24,N/S,0.460917
3,24,S/N,0.460917
3,24,N/N,0.551346
3,25,S/S,0.767181
3,25,N/S,0.583747
3,25,S/N,0.583747
3,25,N/N,0.718938
4,1,S/S,0.747388
4,1,N/S,0.554205
4,1,S/N,0.554205
4,1,N/N,0.463703
4,2,S/S,1.100535
4,2,N/S,0.584526
4,2,S/N,0.584526
4,2,N/N,0.336548
4,3,S/S,1.604298
4,3,N/S,1.721787
4,3,S/N,1.721787
4,3,N/N,1.890367
4,4,S/S,0.846698
4,4,N/S,0.511053
4,4,S/N,0.511053
4,4,N/N,0.202354
4,5,S/S,1.130078
4,5,N/S,0.749920
4,5,S/N,0.749920
4,5,N/N,0.558699
4,6,S/S,1.224916
4,6,N/S,0.766260
4,6,S/N,0.766260
4,6,N/N,0.503358
4,7,S/S,0.619377
4,7,N/S,0.473699
4,7,S/N,0.473699
4,7,N/N,0.435212
4,8,S/S,0.779616
4,8,N/S,0.392107
4,8,S/N,0.392107
4,8,N/N,0.375114
4,9,S/S,1.224534
4,9,N/S,0.320858
4,9,S/N,0.320858
4,9,N/N,-0.010766
4,10,S/S,1.131761
4,10,N/S,0.794140
4,10,S/N,0.794140
4,10,N/N,0.771428
4,11,S/S,0.161371
4,11,N/S,-0.036862
4,11,S/N,-0.036862
4,11,N/N,-0.045766
4,12,S/S,1.348709
4,12,N/S,0.856449
4,12,S/N,0.856449
4,12,N/N,0.564210
4,13,S/S,1.030291
4,13,N/S,1.062969
4,13,S/N,1.062969
4,13,N/N,1.197133
4,14,S/S,1.417135
4,14,N/S,1.191433
4,14,S/N,1.191433
4,14,N/N,1.055729
4,15,S/S,0.216482
4,15,N/S,0.112515
4,15,S/N,0.112515
4,15,N/N,0.187176
4,16,S/S,1.318528
4,16,N/S,0.770126
4,16,S/N,0.770126
4,16,N/N,0.600985
4,17,S/S,1.667315
4,17,N/S,1.070949
4,17,S/N,1.070949
4,17,N/N,0.647962
4,18,S/S,1.453235
4,18,N/S,1.071160
4,18,S/N,1.071160
4,18,N/N,0.923218
4,19,S/S,1.432375
4,19,N/S,1.243290
4,19,S/N,1.243290
4,19,N/N,1.095813
4,20,S/S,1.728357
4,20,N/S,1.077305
4,20,S/N,1.077305
4,20,N/N,1.076090
4,21,S/S,1.557913
4,21,N/S,1.091887
4,21,S/N,1.091887
4,21,N/N,1.043596
4,22,S/S,0.743056
4,22,N/S,0.878983
4,22,S/N,0.878983
4,22,N/N,1.081696
4,23,S/S,1.752709
4,23,N/S,1.348337
4,23,S/N,1.348337
4,23,N/N,1.689447
4,24,S/S,1.034139
4,24,N/S,0.583375
4,24,S/N,0.583375
4,24,N/N,0.308172
4,25,S/S,0.838278
4,25,N/S,0.693664
4,25,S/N,0.693664
4,25,N/N,0.797138
5,1,S/S,2.134834
5,1,N/S,1.587354
5,1,S/N,1.587354
5,1,N/N,1.637259
5,2,S/S,0.919491
5,2,N/S,0.625948
5,2,S/N,0.625948
5,2,N/N,0.738818
5,3,S/S,1.544280
5,3,N/S,1.287248
5,3,S/N,1.287248
5,3,N/N,1.484483
5,4,S/S,1.099364
5,4,N/S,0.423472
5,4,S/N,0.423472
5,4,N/N,0.079944
5,5,S/S,1.309618
5,5,N/S,0.943997
5,5,S/N,0.943997
5,5,N/N,0.736318
5,6,S/S,1.594067
5,6,N/S,1.100438
5,6,S/N,1.100438
5,6,N/N,1.102777
5,7,S/S,1.465706
5,7,N/S,0.853265
5,7,S/N,0.853265
5,7,N/N,0.879053
5,8,S/S,0.797619
5,8,N/S,0.145341
5,8,S/N,0.145341
5,8,N/N,-0.129923
5,9,S/S,1.022175
5,9,N/S,0.312244
5,9,S/N,0.312244
5,9,N/N,0.096966
5,10,S/S,1.632368
5,10,N/S,1.017510
5,10,S/N,1.017510
5,10,N/N,1.196287
5,11,S/S,1.064649
5,11,N/S,0.561686
5,11,S/N,0.561686
5,11,N/N,0.434049
5,12,S/S,0.439448
5,12,N/S,0.173489
5,12,S/N,0.173489
5,12,N/N,0.359771
5,13,S/S,0.844546
5,13,N/S,0.910038
5,13,S/N,0.910038
5,13,N/N,1.218062
5,14,S/S,1.793897
5,14,N/S,1.478769
5,14,S/N,1.478769
5,14,N/N,1.695542
5,15,S/S,0.342939
5,15,N/S,0.264304
5,15,S/N,0.264304
5,15,N/N,0.297365
5,16,S/S,1.422758
5,16,N/S,0.614608
5,16,S/N,0.614608
5,16,N/N,0.545012
5,17,S/S,1.091739
5,17,N/S,0.768321
5,17,S/N,0.768321
5,17,N/N,0.580841
5,18,S/S,0.896772
5,18,N/S,0.685486
5,18,S/N,0.685486
5,18,N/N,0.744596
5,19,S/S,1.816915
5,19,N/S,1.218551
5,19,S/N,1.218551
5,19,N/N,1.343020
5,20,S/S,1.689692
5,20,N/S,0.784821
5,20,S/N,0.784821
5,20,N/N,0.672077
5,21,S/S,1.531615
5,21,N/S,1.190896
5,21,S/N,1.190896
5,21,N/N,1.025489
5,22,S/S,1.364400
5,22,N/S,1.242926
5,22,S/N,1.242926
5,22,N/N,1.386097
5,23,S/S,1.928135
5,23,N/S,1.208515
5,23,S/N,1.208515
5,23,N/N,1.936151
5,24,S/S,1.406183
5,24,N/S,0.913715
5,24,S/N,0.913715
5,24,N/N,0.751996
5,25,S/S,0.533132
5,25,N/S,0.829781
5,25,S/N,0.829781
5,25,N/N,1.397269
6,1,S/S,2.008459
6,1,N/S,1.167959
6,1,S/N,1.167959
6,1,N/N,1.499062
6,2,S/S,1.190587
6,2,N/S,0.998542
6,2,S/N,0.998542
6,2,N/N,0.952162
6,3,S/S,1.036634
6,3,N/S,0.912969
6,3,S/N,0.912969
6,3,N/N,0.979809
6,4,S/S,0.617790
6,4,N/S,0.071665
6,4,S/N,0.071665
6,4,N/N,-0.055027
6,5,S/S,0.573769
6,5,N/S,0.201042
6,5,S/N,0.201042
6,5,N/N,0.038059
6,6,S/S,2.226256
6,6,N/S,1.643525
6,6,S/N,1.643525
6,6,N/N,1.775227
6,7,S/S,1.317511
6,7,N/S,0.331225
6,7,S/N,0.331225
6,7,N/N,0.938666
6,8,S/S,0.743950
6,8,N/S,-0.048844
6,8,S/N,-0.048844
6,8,N/N,-0.349453
6,9,S/S,1.199942
6,9,N/S,0.034776
6,9,S/N,0.034776
6,9,N/N,0.116193
6,10,S/S,1.556017
6,10,N/S,0.852076
6,10,S/N,0.852076
6,10,N/N,1.178426
6,11,S/S,0.689165
6,11,N/S,0.548662
6,11,S/N,0.548662
6,11,N/N,0.622541
6,12,S/S,0.325573
6,12,N/S,0.128970
6,12,S/N,0.128970
6,12,N/N,0.291907
6,13,S/S,1.246525
6,13,N/S,0.944390
6,13,S/N,0.944390
6,13,N/N,1.028750
6,14,S/S,1.042698
6,14,N/S,0.652985
6,14,S/N,0.652985
6,14,N/N,1.068914
6,15,S/S,0.602189
6,15,N/S,0.565833
6,15,S/N,0.565833
6,15,N/N,0.818322
6,16,S/S,1.348291
6,16,N/S,0.961914
6,16,S/N,0.961914
6,16,N/N,0.838094
6,17,S/S,0.896765
6,17,N/S,0.514298
6,17,S/N,0.514298
6,17,N/N,0.131875
6,18,S/S,0.332189
6,18,N/S,-0.091168
6,18,S/N,-0.091168
6,18,N/N,-0.125426
6,19,S/S,1.332319
6,19,N/S,0.762281
6,19,S/N,0.762281
6,19,N/N,1.025051
6,20,S/S,1.715299
6,20,N/S,1.110497
6,20,S/N,1.110497
6,20,N/N,0.784814
6,21,S/S,1.664626
6,21,N/S,1.481193
6,21,S/N,1.481193
6,21,N/N,1.671761
